route,surface,owner,local_status,prod_status,local_robots,prod_robots,local_xrobots,prod_xrobots,canonical,canonical_self,in_sitemap,jsonld_types,title_len,desc_len,h1_count,local_etag,prod_etag,content_encoding,local_ms,prod_ms,note
/,(root),build/prerender.js singleton + app.js,200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/,true,true,BreadcrumbList|ListItem|WebSite|SearchAction|EntryPoint|Organization,60,145,1,yes,no,br,152,1261,
/about,about,build/prerender.js singleton + app.js,200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/about,true,true,BreadcrumbList|ListItem|WebPage,58,154,1,yes,no,br,91,904,
/admin,admin,"site/app.js route() only (SPA_ONLY_ROUTES, server.js:2900)",200,200,"noindex,nofollow","index,follow,max-image-preview:large","noindex, nofollow",,https://rnawiki.com/,false,false,WebSite|SearchAction,67,251,0,yes,no,br,129,896,"canonical points elsewhere: https://rnawiki.com/; PROD INDEXABLE, branch noindexes it"
/anatomy,anatomy,build/prerender.js singleton + app.js,200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/anatomy,true,true,BreadcrumbList|ListItem|WebPage,51,152,1,yes,no,br,95,1337,
/az,az,build/prerender.js singleton + app.js,200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/az,true,true,BreadcrumbList|ListItem|WebPage,31,146,1,yes,no,br,96,899,
/body,body,build/prerender.js + site/bodymap.js,200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/body/leg,false,true,BreadcrumbList|ListItem|WebPage,60,143,1,yes,no,br,97,887,canonical points elsewhere: https://rnawiki.com/body/leg
/body/leg,body,build/prerender.js + site/bodymap.js,200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/body/leg,true,true,BreadcrumbList|ListItem|WebPage,60,143,1,yes,no,br,101,891,
/browse,browse,build/prerender.js singleton + app.js,200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/browse,true,true,BreadcrumbList|ListItem|WebPage,38,125,1,yes,no,br,104,896,
/c/17-estradiol,c,build/prerender.js + app.js route(),200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/c/17-estradiol,true,true,BreadcrumbList|ListItem|MedicalWebPage|Drug|FAQPage|Question|Answer,53,136,1,yes,no,br,109,898,
/c/2-4-dinitrophenol-dnp,c,build/prerender.js + app.js route(),200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/c/2-4-dinitrophenol-dnp,true,true,BreadcrumbList|ListItem|MedicalWebPage|Drug|FAQPage|Question|Answer,51,153,1,yes,no,br,104,899,
/c/5-htp-l-tryptophan,c,build/prerender.js + app.js route(),200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/c/5-htp-l-tryptophan,true,true,BreadcrumbList|ListItem|MedicalWebPage|Drug|FAQPage|Question|Answer,59,127,1,yes,no,br,110,897,
/c/acarbose,c,build/prerender.js + app.js route(),200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/c/acarbose,true,true,BreadcrumbList|ListItem|MedicalWebPage|Drug|FAQPage|Question|Answer,47,143,1,yes,no,br,112,894,
/c/acetyl-l-carnitine-alcar,c,build/prerender.js + app.js route(),200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/c/acetyl-l-carnitine-alcar,true,true,BreadcrumbList|ListItem|MedicalWebPage|Drug|FAQPage|Question|Answer,54,153,1,yes,no,br,54,259,
/c/agmatine-glycerol-theacrine-brief,c,build/prerender.js + app.js route(),200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/c/agmatine-glycerol-theacrine-brief,true,true,BreadcrumbList|ListItem|MedicalWebPage|Drug,57,151,1,yes,no,br,48,270,
/c/alpha-gpc,c,build/prerender.js + app.js route(),200,200,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",,,https://rnawiki.com/c/alpha-gpc,true,true,BreadcrumbList|ListItem|MedicalWebPage|Drug|FAQPage|Question|Answer,48,142,1,yes,no,br,46,282,
