trientine	APPROVED_MEDICINE	FDA Approved	Small Molecule
abatacept	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
pirfenidone	APPROVED_MEDICINE	FDA Approved	Small Molecule
abrocitinib	APPROVED_MEDICINE	FDA Approved	Small Molecule
trifluoperazine	APPROVED_MEDICINE	FDA Approved	Small Molecule
aesculus-x-carnea-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
abemaciclib	APPROVED_MEDICINE	FDA Approved	Small Molecule
melilotus-officinalis-top	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
coix-lacryma-jobi-ma-yuen-seed	MARKETED_PRODUCT_INGREDIENT	FDA Approved	Nutraceutical / Botanical
1-2-icosapentoyl-sn-glycero-3-phosphoserine	OFF_LABEL_OR_COMPOUNDED	Off-Label / Compounded	Small Molecule
sirolimus	APPROVED_MEDICINE	FDA Approved	Small Molecule
mequinol	APPROVED_MEDICINE	FDA Approved	Small Molecule
convolvulus-prostratis	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
trifluridine	APPROVED_MEDICINE	FDA Approved	Small Molecule
abiraterone	APPROVED_MEDICINE	FDA Approved	Small Molecule
molybdenum-ascorbate	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
crateva-magna-bark	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
adalimumab-adbm	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
abacavir-dolutegravir-lamivudine	COMBINATION_PRODUCT	FDA Approved	Small Molecule
juniper-tar	APPROVED_MEDICINE	FDA Approved	Small Molecule
tyrosine-alpha-ketoglutaric-acid	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
1-2-docosahexanoyl-sn-glycero-3-phosphoserine	OFF_LABEL_OR_COMPOUNDED	Off-Label / Compounded	Small Molecule
adapalene	APPROVED_MEDICINE	FDA Approved	Small Molecule
efavirenz-emtricitabine-and-tenofovir-alafenamide	COMBINATION_PRODUCT	FDA Approved	Small Molecule
corylus-americana-pollen	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Nutraceutical / Botanical
umeclidinium	APPROVED_MEDICINE	FDA Approved	Small Molecule
abobotulinumtoxina	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
citrus-x-limon-flowering-top-oil	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
diterpene	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
urea	APPROVED_MEDICINE	FDA Approved	Small Molecule
aconite	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
valproic-acid	APPROVED_MEDICINE	FDA Approved	Small Molecule
celandine	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
cramp-bark	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
apis-mellifera	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
acamprosate	APPROVED_MEDICINE	FDA Approved	Small Molecule
dimethicone-20	MARKETED_PRODUCT_INGREDIENT	FDA Approved	Small Molecule
