slug,name,publication_state,substance_type,availability,supervision,has_corpus_page,reviewed_claims,human_results,journey_steps,measurement_mode,indexable,critical_issues
0-01-0-2-mole-percent-bisacrylamide,"0.01-0.2 Mole Percent Bisacrylamide)",limited,prescription_medicine,prescription_only,required,false,0,0,0,clinician_questions,false,0
1-2-distearoyl-sn-glycero-3-phosphocholine,"1,2-Distearoyl-Sn-Glycero-3-Phosphocholine",preliminary,dietary_supplement,varies_by_jurisdiction,unknown,false,0,4,0,self_experiment,false,0
1-2-docosahexanoyl-sn-glycero-3-phosphoserine,"1,2-Docosahexanoyl-Sn-Glycero-3-Phosphoserine",limited,prescription_medicine,prescription_only,required,false,0,0,0,clinician_questions,false,0
1-2-hexanediol,"1,2-Hexanediol",limited,prescription_medicine,prescription_only,required,false,0,0,0,clinician_questions,false,0
1-2-icosapentoyl-sn-glycero-3-phosphoserine,"1,2-Icosapentoyl-Sn-Glycero-3-Phosphoserine",limited,prescription_medicine,prescription_only,required,false,0,0,0,clinician_questions,false,0
1-2-naphthoquinone,"1,2-Naphthoquinone",preliminary,dietary_supplement,varies_by_jurisdiction,unknown,false,0,6,0,self_experiment,false,0
1-3-bis-urea,"1,3-Bis Urea",preliminary,dietary_supplement,varies_by_jurisdiction,unknown,false,0,6,0,self_experiment,false,0
1-3-butanediol,"1,3-BUTANEDIOL",limited,unknown_type,unresolved,unknown,true,0,0,0,clinician_questions,false,0
1-3-dmaa,"1,3-Dmaa",preliminary,dietary_supplement,varies_by_jurisdiction,unknown,false,0,3,0,self_experiment,false,0
1-3-n-dipropyl-7-propargylxanthine,"1, 3, N-Dipropyl-7-Propargylxanthine",limited,dietary_supplement,varies_by_jurisdiction,unknown,false,0,0,0,self_experiment,false,0
1-4-dimethylpentylamine,"1,4-Dimethylpentylamine",limited,dietary_supplement,varies_by_jurisdiction,unknown,false,0,0,0,self_experiment,false,0
1-4-naphthoquinone,"1,4-Naphthoquinone",preliminary,dietary_supplement,varies_by_jurisdiction,unknown,false,0,6,0,self_experiment,false,0
1-androstenolone,"1-Androstenolone",preliminary,dietary_supplement,varies_by_jurisdiction,unknown,false,0,6,0,self_experiment,false,0
