slug,name,trade_name,sponsor,modality,approval_status,approval_year,target_gene,patient_friendly_indication,dossier_depth,machine_verified,smiles,chemical_formula,trial_count,url
0-01-0-2-mole-percent-bisacrylamide,0.01-0.2 Mole Percent Bisacrylamide),Anubis Barcelona Regul Oil,,Small Molecule,FDA Approved,,,,curated,false,,,0,https://rnawiki.com/d/0-01-0-2-mole-percent-bisacrylamide
1000-mw,1000 Mw),Anubis Barcelona / Massage Cream For Stretch Marks / Anubis Barcelona Vital Line,,Small Molecule,FDA Approved,,,,curated,false,,,0,https://rnawiki.com/d/1000-mw
10-hydroxy-2-decanoic-acid,10-Hydroxy-2-Decanoic Acid,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/10-hydroxy-2-decanoic-acid
11-hydroxy-yohimbine,11-Hydroxy Yohimbine,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/11-hydroxy-yohimbine
11-keto-beta-boswellic-acid,11-Keto-Beta-Boswellic Acid,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,3,https://rnawiki.com/d/11-keto-beta-boswellic-acid
11-ketotestosterone,11-Ketotestosterone,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,3,https://rnawiki.com/d/11-ketotestosterone
1-2-distearoyl-sn-glycero-3-phosphocholine,"1,2-Distearoyl-Sn-Glycero-3-Phosphocholine",Libido Stim Liquescence 3014 / Ret Pituitary/Sex 7012,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,true,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C44H88NO8P,4,https://rnawiki.com/d/1-2-distearoyl-sn-glycero-3-phosphocholine
1-2-docosahexanoyl-sn-glycero-3-phosphoserine,"1,2-Docosahexanoyl-Sn-Glycero-3-Phosphoserine",Enbrace Hr / Paxlyte,,Small Molecule,Off-Label / Compounded,,,,curated,true,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,C50H74NO10P,0,https://rnawiki.com/d/1-2-docosahexanoyl-sn-glycero-3-phosphoserine
1-2-hexanediol,"1,2-Hexanediol",Anubis Barcelona / Anubismed / Dr. Drop NMN Vital Balance (Drop No.1 Cream 90g),,Small Molecule,FDA Approved,,,,curated,true,CCCCC(CO)O,C6H14O2,0,https://rnawiki.com/d/1-2-hexanediol
1-2-icosapentoyl-sn-glycero-3-phosphoserine,"1,2-Icosapentoyl-Sn-Glycero-3-Phosphoserine",Enbrace Hr / Paxlyte,,Small Molecule,Off-Label / Compounded,,,,curated,true,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OC[C@@H](C(=O)O)N,C47H72NO10P,0,https://rnawiki.com/d/1-2-icosapentoyl-sn-glycero-3-phosphoserine
1-2-naphthoquinone,"1,2-Naphthoquinone",Kidnex IV / Lungex II,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,true,C1=CC=C2C(=C1)C=CC(=O)C2=O,C10H6O2,6,https://rnawiki.com/d/1-2-naphthoquinone
1-3-bis-urea,"1,3-Bis Urea",Genital Nosode Combination 9406 / Uric Acid Combination 9307,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,6,https://rnawiki.com/d/1-3-bis-urea
1-3-dmaa,"1,3-Dmaa",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,3,https://rnawiki.com/d/1-3-dmaa
13-ethyl-3-methoxy-gona-2-5-diene-17-one,"13-Ethyl-3-Methoxy-Gona-2,5 -Diene-17-One",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/13-ethyl-3-methoxy-gona-2-5-diene-17-one
1-3-n-dipropyl-7-propargylxanthine,"1, 3, N-Dipropyl-7-Propargylxanthine",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/1-3-n-dipropyl-7-propargylxanthine
1-4-dimethylpentylamine,"1,4-Dimethylpentylamine",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/1-4-dimethylpentylamine
14-hydroxydocosahexaenoic-acid,14-Hydroxydocosahexaenoic Acid,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,1,https://rnawiki.com/d/14-hydroxydocosahexaenoic-acid
1-4-naphthoquinone,"1,4-Naphthoquinone",Kidnex IV / Liverex I,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,true,C1=CC=C2C(=O)C=CC(=O)C2=C1,C10H6O2,6,https://rnawiki.com/d/1-4-naphthoquinone
17a-methyl-1-4-androstadiene-3b-17b-diol,"17a-Methyl-1,4-Androstadiene-3b, 17b-Diol",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/17a-methyl-1-4-androstadiene-3b-17b-diol
17beta-androstane-3-one-17a-ol,"17beta- -Androstane-3-One, 17a-Ol",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/17beta-androstane-3-one-17a-ol
17b-hydroxy-2a-17b-dimethyl-5a-androstan-3-one-azine,"17b-Hydroxy-2a,17b-Dimethyl-5a-Androstan-3-One-Azine",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/17b-hydroxy-2a-17b-dimethyl-5a-androstan-3-one-azine
17-hydroxydocosahexaenoic-acid,17-Hydroxydocosahexaenoic Acid,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,3,https://rnawiki.com/d/17-hydroxydocosahexaenoic-acid
18-hydroxyeicosahexaenoic-acid,18-Hydroxyeicosahexaenoic Acid,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/18-hydroxyeicosahexaenoic-acid
18-methylestr-4-en-3-one-17b-ol,18-Methylestr-4-En-3-One-17b-Ol,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/18-methylestr-4-en-3-one-17b-ol
19-nor-dhea,19-Nor-Dhea,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/19-nor-dhea
1-androstenolone,1-Androstenolone,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,6,https://rnawiki.com/d/1-androstenolone
1-androsterone,1-Androsterone,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,6,https://rnawiki.com/d/1-androsterone
1-deoxynojirimycin,1-Deoxynojirimycin,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,6,https://rnawiki.com/d/1-deoxynojirimycin
2000-5000-mw,2000-5000 Mw),Arthcal Turmeric Night Wrapping Mask,,Small Molecule,FDA Approved,,,,curated,false,,,0,https://rnawiki.com/d/2000-5000-mw
2000-mw,2000 Mw),Anubis Barcelona Vital Line / Xueyi Skin Care Sunscreen / Jaysuing Rice Probiotics Sunscreen / Celistar Microneedling Infusion,,Small Molecule,FDA Approved,,,,curated,false,,,0,https://rnawiki.com/d/2000-mw
2-17a-dimethyl-17b-hydroxy-5a-androstan-1-ene-3-one,"2, 17a-Dimethyl-17b-Hydroxy-5a-Androstan-1-Ene-3-One",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/2-17a-dimethyl-17b-hydroxy-5a-androstan-1-ene-3-one
2-3-7-8-tetrachlorodibenzo-p-dioxin,"2,3,7,8-Tetrachlorodibenzo-P-Dioxin",Household Detox / Toxagent Detox 6035 / Pop Detox 6045 / Tap Water Detox 6018,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,true,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,C12H4Cl4O2,0,https://rnawiki.com/d/2-3-7-8-tetrachlorodibenzo-p-dioxin
2-4-dinitrophenol,"2,4-Dinitrophenol","Marketed in the United States from 1933 under many names, including Formula 281 and Nitromet; sold online today as DNP","No sponsor. Its clinical use was introduced by Tainter, Cutting and Stockton at Stanford in 1933; it is now manufactured as an industrial chemical",Small Molecule,Withdrawn from Market,1933,None — DNP has no protein target,Weight loss — the drug works and the same mechanism is what kills people,flagship,true,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,C6H4N2O5,3,https://rnawiki.com/d/2-4-dinitrophenol
25-d-spirosta-3-5-diene,"25-D-Spirosta-3, 5-Diene",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/25-d-spirosta-3-5-diene
27-deoxyactein,27-Deoxyactein,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/27-deoxyactein
2-butoxyethyl-laurate,2-Butoxyethyl Laurate,Glycerin Combination 9304,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,"Dry, itchy, or irritated skin, drowsiness, vomiting, or nausea",curated,true,CCCCCCCCCCCC(=O)OCCOCCCC,C18H36O3,0,https://rnawiki.com/d/2-butoxyethyl-laurate
2c-b,"2C-B (4-Bromo-2,5-dimethoxyphenethylamine)","Sold briefly in Europe in the early 1990s as Nexus, Erox and Performax before scheduling; no approved product",First synthesised by Alexander Shulgin in 1974. No sponsor and no development programme; the recent human work is investigator-initiated at Maastricht University,Small Molecule,Controlled / No Approved Use,,HTR2A,Nothing. It is a Schedule I phenethylamine that has just become the subject of controlled brain-imaging research because its effects differ from psilocybin's in ways researchers want to understand,flagship,true,COC1=CC(=C(C=C1CCN)OC)Br,C10H14BrNO2,2,https://rnawiki.com/d/2c-b
2-cyclohexylethanamine,2-Cyclohexylethanamine,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/2-cyclohexylethanamine
2-mercaptoethanol,2-Mercaptoethanol,Lawn and Garden Detox 6026,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,"Eye, nose, or throat irritation, occasional headache, coughing, shortness of breath, fatigue, or red, itchy, irritated skin due to sensitivi",curated,true,C(CS)O,C2H6OS,2,https://rnawiki.com/d/2-mercaptoethanol
3000-mw,3000 Mw),Arthcal Turmeric Night Wrapping Mask,,Small Molecule,FDA Approved,,,,curated,false,,,0,https://rnawiki.com/d/3000-mw
3-3-diindolylmethane,"3,3'-Diindolylmethane",Menopause Relief,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,true,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43,C17H14N2,6,https://rnawiki.com/d/3-3-diindolylmethane
3-4-divanillyltetrahydrofuran,"3,4-Divanillyltetrahydrofuran",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/3-4-divanillyltetrahydrofuran
3500-mw,3500 Mw),Ligatend Liquescence / Jba Collagen-B Chicken Essence / Multi Food Antigens,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/3500-mw
3-5-dimethoxytyramine,"3,5-Dimethoxytyramine",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/3-5-dimethoxytyramine
3-7-keto-dhea,"3,7-Keto-Dhea",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,2,https://rnawiki.com/d/3-7-keto-dhea
3-alpha-hydroxyetioallocholan-17-one,3-Alpha-Hydroxyetioallocholan-17-One,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/3-alpha-hydroxyetioallocholan-17-one
3beta-hydroxy-5alpha-androst-1-en-17-one,3beta-Hydroxy-5alpha-Androst-1-En-17-One,,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/3beta-hydroxy-5alpha-androst-1-en-17-one
3b-hydroxy-androstana-3b-ol-17-one,"3b-Hydroxy-Androstana-3b-Ol,17-One",,,Nutraceutical / Botanical,Non-FDA / Dietary Supplement,,,,curated,false,,,0,https://rnawiki.com/d/3b-hydroxy-androstana-3b-ol-17-one
