COMBO:NAME:comocladia dentata bark leaf	comocladia-dentata-bark-leaf	tier2
COMBO:NAME:influenza b virus b tokyo eis13 175 2025 antigen	influenza-b-virus-b-tokyo-eis13-175-2025-antigen	tier1
COMBO:NAME:juglans cinerea branch bark root bark	juglans-cinerea-branch-bark-root-bark	tier2
COMBO:{K1:144O8QL0L1,K1:R3D835XVCR}	diclofenac-epolamine	tier1
COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}	cannabinoids	tier1
COMBO:{K1:1RTM4PAL0V,K1:QTL48N278K}	estropipate-2	tier2
COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N}	linagliptin-and-metformin	tier2
COMBO:{K1:46627O600J,K1:KR87B45RGH}	carbidopa-levodopa	tier2
COMBO:{K1:4G9EDB6V73,K1:R7EZ772VG2}	enlicitide-decanoate	tier1
COMBO:{K1:6C282481IP,K1:SZB83O1W42}	ertugliflozin	tier1
COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}	ioxaglate-meglumine	tier2
COMBO:{K1:8G388563M7,K1:TE0865N2ET}	telotristat-etiprate	tier1
COMBO:{K1:9100L32L2N,K1:JHC049LO86}	alogliptin-and-metformin	tier1
COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}	sitagliptin-metformin	tier1
COMBO:{K1:EL9943AG5J,K1:JE6H2O27P8,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}	efavirenz-emtricitabine-and-tenofovir-alafenamide	tier2
COMBO:{K1:LW2E03M5PG,K1:YO603Y8113}	darunavir-and-cobicistat	tier2
COMBO:{K1:M7Y086VB5G,K1:UPN4ITI8T4}	trimetrexate-glucuronate-2	tier1
COMBO:{K1:O3J8G9O825,K1:YO603Y8113}	darunavir-and-ritonavir	tier2
COMBO:{K1:O9S4K2S25E,K1:S2F83W92TK}	propoxyphene-napsylate	tier1
HOLD:existing:abarelix	abarelix	tier1
HOLD:existing:boldenone	boldenone	tier1
HOLD:existing:clobetasol	clobetasol	tier1
HOLD:existing:cortisone	cortisone	tier1
HOLD:existing:dromostanolone	dromostanolone	tier1
HOLD:existing:halobetasol	halobetasol	tier1
HOLD:existing:iodohippurate-sodium-i-131	iodohippurate-sodium-i-131	tier1
HOLD:existing:iothalamate-sodium-i-125	iothalamate-sodium-i-125	tier2
HOLD:existing:megestrol	megestrol	tier1
HOLD:existing:methylphenidate	methylphenidate	tier1
HOLD:existing:sodium-succinate	sodium-succinate	tier1
HOLD:existing:trenbolone	trenbolone	tier1
K1:00543AP1JV	delphinium-staphisagria-seed	tier2
K1:00OT1QX5U4	potassium-permanganate-2	tier2
K1:00UK7646FG	capsicum	tier1
K1:00X6I56YXR	cdx-3379	tier3
K1:01K63SUP8D	fluoxetine	tier2
K1:01SJA33642	zirconium-sulfate	tier2
K1:01T23W89FR	thiamylal	tier2
K1:022N12KJ0X	oxibendazole	tier2
K1:02AA4F4VLP	leucine	tier1
