field,tier1_pages,tier1_present_count,tier1_present_pct,tier1_absent_count,tier1_not_applicable_count,tier2_pages,tier2_present_count,tier2_present_pct,tier2_absent_count,tier2_not_applicable_count,tier3_pages,tier3_present_count,tier3_present_pct,tier3_absent_count,tier3_not_applicable_count,total_pages,total_present_count,total_present_pct,total_absent_count,total_not_applicable_count,tiers_present_in,universal_blank
adverseEvents,610,278,45.5738,328,4,4477,2300,51.3737,1643,534,0,0,0.0,0,0,5087,2578,50.6782,1971,538,1;2,false
approvalDate,614,446,72.6384,168,0,4454,2286,51.3247,2168,0,0,0,0.0,0,0,5068,2732,53.9069,2336,0,1;2,false
biomarkers,1109,1002,90.3517,107,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,1002,90.3517,107,0,1,false
boxedWarning,1719,264,15.3578,1455,0,4477,502,11.2129,3975,0,22636,17,0.0751,22619,0,28832,783,2.7157,28049,0,1;2;3,false
clocks,1109,96,8.6564,1013,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,96,8.6564,1013,0,1,false
contraindications,1719,857,49.8546,862,0,4477,1940,43.3326,2537,0,22636,267,1.1795,22369,0,28832,3064,10.6271,25768,0,1;2;3,false
controlled,1719,985,57.3008,734,0,4477,1952,43.6006,2525,0,22636,885,3.9097,21751,0,28832,3822,13.2561,25010,0,1;2;3,false
cyp_profile,1719,624,36.3002,1095,0,4477,1180,26.3569,3297,0,22636,1018,4.4973,21618,0,28832,2822,9.7877,26010,0,1;2;3,false
doseResponse,1109,775,69.8828,334,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,775,69.8828,334,0,1,false
doseStudied,1717,684,39.8369,1033,0,4454,1078,24.203,3376,0,0,0,0.0,0,0,6171,1762,28.5529,4409,0,1;2,false
endpointType,1109,1081,97.4752,28,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,1081,97.4752,28,0,1,false
everDosedInHumans,0,0,0.0,0,0,0,0,0.0,0,0,22636,22636,100.0,0,0,22636,22636,100.0,0,0,3,false
faers,1719,916,53.2868,803,0,4477,2001,44.6951,2476,0,0,0,0.0,0,0,6196,2917,47.0788,3279,0,1;2,false
hallmark,1109,545,49.1434,564,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,545,49.1434,564,0,1,false
highestPhase,0,0,0.0,0,0,0,0,0.0,0,0,22636,11487,50.7466,11149,0,22636,11487,50.7466,11149,0,3,false
humanCeiling,1109,1058,95.4013,51,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,1058,95.4013,51,0,1,false
identifiers,1719,1678,97.6149,41,0,4477,4335,96.8282,142,0,22636,20711,91.4958,1925,0,28832,26724,92.6887,2108,0,1;2;3,false
indication,610,548,89.8361,62,0,4477,4052,90.507,285,140,0,0,0.0,0,0,5087,4600,90.4266,347,140,1;2,false
interactions,1719,1045,60.7912,671,3,4477,1677,37.4581,2225,575,0,0,0.0,0,0,6196,2722,43.9316,2896,578,1;2,false
itp,1109,51,4.5987,1058,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,51,4.5987,1058,0,1,false
kinetics,1109,684,61.6772,408,17,0,0,0.0,0,0,0,0,0.0,0,0,1109,684,61.6772,408,17,1,false
labelKinetics,610,255,41.8033,349,6,4477,1924,42.9752,1955,598,0,0,0.0,0,0,5087,2179,42.8347,2304,604,1;2,false
mechanismClass,0,0,0.0,0,0,0,0,0.0,0,0,22636,6070,26.8157,12679,3887,22636,6070,26.8157,12679,3887,3,false
ongoingTrials,1109,861,77.6375,248,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,861,77.6375,248,0,1,false
organismLadder,1109,1080,97.385,29,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,1080,97.385,29,0,1,false
patentStatus,1719,1097,63.8162,0,622,4477,2204,49.2294,0,2273,22636,305,1.3474,0,22331,28832,3606,12.5069,0,25226,1;2;3,false
pathway,1109,677,61.046,432,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,677,61.046,432,0,1,false
potency,1719,316,18.3828,1403,0,4477,471,10.5204,4006,0,22636,831,3.6711,21805,0,28832,1618,5.6118,27214,0,1;2;3,false
publicationYears,1719,1072,62.3618,647,0,4477,1982,44.2707,2495,0,22636,12124,53.5607,10512,0,28832,15178,52.6429,13654,0,1;2;3,false
registry,1719,1272,73.9965,447,0,4477,2663,59.4818,1814,0,22636,4728,20.8871,17908,0,28832,8663,30.0465,20169,0,1;2;3,false
regulatory,1719,1630,94.8226,89,0,4477,4106,91.7132,371,0,22636,7136,31.525,15500,0,28832,12872,44.6448,15960,0,1;2;3,false
relatedOnTarget,0,0,0.0,0,0,0,0,0.0,0,0,22636,2167,9.5732,16498,3971,22636,2167,9.5732,16498,3971,3,false
sponsor,0,0,0.0,0,0,0,0,0.0,0,0,22636,4736,20.9224,17900,0,22636,4736,20.9224,17900,0,3,false
target,0,0,0.0,0,0,0,0,0.0,0,0,22636,7112,31.419,11736,3788,22636,7112,31.419,11736,3788,3,false
trialFailures,1719,931,54.1594,788,0,4477,1705,38.0835,2772,0,0,0,0.0,0,0,6196,2636,42.5436,3560,0,1;2,false
trialHistory,610,364,59.6721,246,0,4477,3167,70.7393,1310,0,0,0,0.0,0,0,5087,3531,69.4122,1556,0,1;2,false
whyStopped,0,0,0.0,0,0,0,0,0.0,0,0,22636,1811,8.0005,20825,0,22636,1811,8.0005,20825,0,3,false
withdrawal,610,323,52.9508,287,0,4477,200,4.4673,4277,0,0,0,0.0,0,0,5087,523,10.2811,4564,0,1;2,false
