field,tier1_pages_carrying,tier1_applicable,tier1_present,tier1_present_pct_of_applicable,tier1_present_pct_before,tier1_recorded_not_applicable,tier1_structural_not_applicable,tier1_pending_source_not_applicable,tier1_present_dropped_by_rule,tier2_pages_carrying,tier2_applicable,tier2_present,tier2_present_pct_of_applicable,tier2_present_pct_before,tier2_recorded_not_applicable,tier2_structural_not_applicable,tier2_pending_source_not_applicable,tier2_present_dropped_by_rule,tier3_pages_carrying,tier3_applicable,tier3_present,tier3_present_pct_of_applicable,tier3_present_pct_before,tier3_recorded_not_applicable,tier3_structural_not_applicable,tier3_pending_source_not_applicable,tier3_present_dropped_by_rule,total_applicable,total_present,total_present_pct_of_applicable,total_present_pct_before
adverseEvents,609,604,277,45.8609,45.5738,5,0,0,0,3517,3247,2046,63.012,51.3737,270,0,0,0,961,662,27,4.0785,0.0,299,0,0,0,4513,2350,52.0718,50.6782
approvalDate,613,613,445,72.5938,72.6384,0,0,0,0,3496,3496,2285,65.3604,51.3247,0,0,0,0,959,2,2,100.0,0.0,0,957,0,0,4111,2732,66.4559,53.9069
biomarkers,1109,1109,1002,90.3517,90.3517,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,1002,90.3517,90.3517
boxedWarning,1718,1718,240,13.9697,15.3578,0,0,0,0,3517,3517,472,13.4205,11.2129,0,0,0,0,23597,23597,14,0.0593,0.0751,0,0,0,0,28832,726,2.518,2.7157
clocks,1109,1109,96,8.6564,8.6564,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,96,8.6564,8.6564
contraindications,1718,1718,830,48.312,49.8546,0,0,0,0,3517,3517,1798,51.1231,43.3326,0,0,0,0,23597,23597,261,1.1061,1.1795,0,0,0,0,28832,2889,10.0201,10.6271
controlled,1718,1718,975,56.752,57.3008,0,0,0,0,3517,3517,1859,52.8575,43.6006,0,0,0,0,23597,23597,947,4.0132,3.9097,0,0,0,0,28832,3781,13.1139,13.2561
cyp_profile,1718,1718,622,36.2049,36.3002,0,0,0,0,3517,3517,1169,33.2386,26.3569,0,0,0,0,23597,23597,1027,4.3522,4.4973,0,0,0,0,28832,2818,9.7739,9.7877
doseResponse,1109,1109,775,69.8828,69.8828,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,775,69.8828,69.8828
doseStudied,1716,1716,682,39.7436,39.8369,0,0,0,0,3496,3496,1067,30.5206,24.203,0,0,0,0,959,959,13,1.3556,0.0,0,0,0,0,6171,1762,28.5529,28.5529
endpointType,1109,1109,1081,97.4752,97.4752,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,1081,97.4752,97.4752
everDosedInHumans,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,22636,22636,100.0,100.0,0,0,0,0,22636,22636,100.0,100.0
faers,1718,1718,915,53.2596,53.2868,0,0,0,0,3517,3517,1959,55.7009,44.6951,0,0,0,0,961,961,43,4.4745,0.0,0,0,0,0,6196,2917,47.0788,47.0788
hallmark,1109,1109,545,49.1434,49.1434,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,545,49.1434,49.1434
highestPhase,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,22636,11487,50.7466,50.7466,0,0,0,0,22636,11487,50.7466,50.7466
humanCeiling,1109,1109,1058,95.4013,95.4013,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,1058,95.4013,95.4013
identifiers,1718,1718,1677,97.6135,97.6149,0,0,0,0,3517,3517,3399,96.6449,96.8282,0,0,0,0,23597,23597,21648,91.7405,91.4958,0,0,0,0,28832,26724,92.6887,92.6887
indication,609,608,544,89.4737,89.8361,1,0,0,0,3517,3306,2967,89.7459,90.507,211,0,0,0,961,736,692,94.0217,0.0,225,0,0,0,4650,4203,90.3871,90.4266
interactions,1718,1714,1038,60.5601,60.7912,4,0,0,0,3517,3239,1623,50.1081,37.4581,278,0,0,0,961,659,9,1.3657,0.0,302,0,0,0,5612,2670,47.5766,43.9316
itp,1109,51,51,100.0,4.5987,0,1058,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,51,51,100.0,4.5987
kinetics,1109,1092,679,62.1795,61.6772,17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1092,679,62.1795,61.6772
labelKinetics,609,603,256,42.4544,41.8033,6,0,0,0,3517,3223,1901,58.9823,42.9752,294,0,0,0,961,657,18,2.7397,0.0,304,0,0,0,4483,2175,48.5166,42.8347
mechanismClass,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,18749,6070,32.3751,26.8157,3887,0,0,0,18749,6070,32.3751,26.8157
ongoingTrials,1109,1109,861,77.6375,77.6375,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,861,77.6375,77.6375
organismLadder,1109,1109,1080,97.385,97.385,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,1080,97.385,97.385
patentStatus,1718,1096,1096,100.0,63.8162,622,0,0,0,3517,2138,2138,100.0,49.2294,1379,0,0,0,23597,372,372,100.0,1.3474,23225,0,0,0,3606,3606,100.0,12.5069
pathway,1109,1109,677,61.046,61.046,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,677,61.046,61.046
potency,1718,1718,316,18.3935,18.3828,0,0,0,0,3517,3517,470,13.3637,10.5204,0,0,0,0,23597,23597,832,3.5259,3.6711,0,0,0,0,28832,1618,5.6118,5.6118
publicationYears,1718,1718,1072,62.3981,62.3618,0,0,0,0,3517,3517,1910,54.3076,44.2707,0,0,0,0,23597,23597,12196,51.6845,53.5607,0,0,0,0,28832,15178,52.6429,52.6429
registry,1718,1718,1270,73.9232,73.9965,0,0,0,0,3517,3517,2514,71.4814,59.4818,0,0,0,0,23597,23597,4879,20.6764,20.8871,0,0,0,0,28832,8663,30.0465,30.0465
regulatory,1718,1718,1628,94.7614,94.8226,0,0,0,0,3517,3517,3416,97.1282,91.7132,0,0,0,0,23597,23597,7825,33.161,31.525,0,0,0,0,28832,12869,44.6344,44.6448
relatedOnTarget,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,18665,2167,11.61,9.5732,3971,0,0,0,18665,2167,11.61,9.5732
sponsor,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,4736,4736,100.0,20.9224,0,17900,0,0,4736,4736,100.0,20.9224
target,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,18848,7112,37.7334,31.419,3788,0,0,0,18848,7112,37.7334,31.419
trialFailures,1718,1718,929,54.0745,54.1594,0,0,0,0,3517,3517,1657,47.114,38.0835,0,0,0,0,961,961,50,5.2029,0.0,0,0,0,0,6196,2636,42.5436,42.5436
trialHistory,609,609,362,59.4417,59.6721,0,0,0,0,3517,3517,2833,80.5516,70.7393,0,0,0,0,961,961,336,34.9636,0.0,0,0,0,0,5087,3531,69.4122,69.4122
whyStopped,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,1811,1811,100.0,8.0005,0,20825,0,0,1811,1811,100.0,8.0005
