field,tier1_pages_carrying,tier1_applicable,tier1_present,tier1_present_pct_of_applicable,tier1_present_pct_before,tier1_recorded_not_applicable,tier1_structural_not_applicable,tier1_pending_source_not_applicable,tier1_present_dropped_by_rule,tier2_pages_carrying,tier2_applicable,tier2_present,tier2_present_pct_of_applicable,tier2_present_pct_before,tier2_recorded_not_applicable,tier2_structural_not_applicable,tier2_pending_source_not_applicable,tier2_present_dropped_by_rule,tier3_pages_carrying,tier3_applicable,tier3_present,tier3_present_pct_of_applicable,tier3_present_pct_before,tier3_recorded_not_applicable,tier3_structural_not_applicable,tier3_pending_source_not_applicable,tier3_present_dropped_by_rule,total_applicable,total_present,total_present_pct_of_applicable,total_present_pct_before
adverseEvents,610,604,40,6.6225,6.5574,6,0,0,0,4477,3879,1405,36.2207,31.3826,598,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4483,1445,32.2329,28.4057
approvalDate,614,614,446,72.6384,72.6384,0,0,0,0,4454,4454,2286,51.3247,51.3247,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5068,2732,53.9069,53.9069
biomarkers,1109,1109,1002,90.3517,90.3517,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,1002,90.3517,90.3517
clocks,1109,1109,96,8.6564,8.6564,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,96,8.6564,8.6564
doseResponse,1109,1109,775,69.8828,69.8828,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,775,69.8828,69.8828
doseStudied,1717,1717,684,39.8369,39.8369,0,0,0,0,4454,4454,1078,24.203,24.203,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6171,1762,28.5529,28.5529
endpointType,1109,1109,1081,97.4752,97.4752,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,1081,97.4752,97.4752
everDosedInHumans,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,22636,22636,100.0,100.0,0,0,0,0,22636,22636,100.0,100.0
faers,1719,1719,792,46.0733,46.0733,0,0,0,0,4477,4477,1628,36.3636,36.3636,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6196,2420,39.0575,39.0575
hallmark,1109,1109,545,49.1434,49.1434,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,545,49.1434,49.1434
highestPhase,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,22636,11487,50.7466,50.7466,0,0,0,0,22636,11487,50.7466,50.7466
humanCeiling,1109,1109,1058,95.4013,95.4013,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,1058,95.4013,95.4013
indication,610,604,54,8.9404,8.8525,6,0,0,0,4477,3879,2368,61.0467,52.8926,598,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4483,2422,54.0263,47.6116
interactions,1719,1713,703,41.0391,40.8959,6,0,0,0,4477,3879,675,17.4014,15.0771,598,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5592,1378,24.6423,22.2402
itp,1109,51,51,100.0,4.5987,0,1058,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,51,51,100.0,4.5987
kinetics,1109,1092,491,44.9634,44.2741,17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1092,491,44.9634,44.2741
labelKinetics,610,604,31,5.1325,5.082,6,0,0,0,4477,3879,1209,31.1678,27.0047,598,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4483,1240,27.66,24.3759
mechanismClass,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,18665,2533,13.5709,11.1901,3971,0,0,0,18665,2533,13.5709,11.1901
ongoingTrials,1109,1109,861,77.6375,77.6375,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,861,77.6375,77.6375
organismLadder,1109,1109,1080,97.385,97.385,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,1080,97.385,97.385
patentStatus,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,0,0,0.0,0.0,22601,0,35,0,0,0,0.0,0.0
pathway,1109,1109,677,61.046,61.046,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1109,677,61.046,61.046
regulatory,1719,1719,1337,77.7778,77.7778,0,0,0,0,4477,4477,3366,75.1843,75.1843,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6196,4703,75.9038,75.9038
relatedOnTarget,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,18665,2167,11.61,9.5732,3971,0,0,0,18665,2167,11.61,9.5732
sponsor,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,4736,4736,100.0,20.9224,0,17900,0,0,4736,4736,100.0,20.9224
target,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,18665,2452,13.1369,10.8323,3971,0,0,0,18665,2452,13.1369,10.8323
trialFailures,1719,1719,931,54.1594,54.1594,0,0,0,0,4477,4477,1705,38.0835,38.0835,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6196,2636,42.5436,42.5436
trialHistory,610,610,364,59.6721,59.6721,0,0,0,0,4477,4477,3167,70.7393,70.7393,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5087,3531,69.4122,69.4122
whyStopped,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22636,1811,1811,100.0,8.0005,0,20825,0,0,1811,1811,100.0,8.0005
withdrawal,610,610,320,52.459,52.459,0,0,0,0,4477,65,65,100.0,4.4003,0,4412,0,132,0,0,0,0.0,0.0,0,0,0,0,675,385,57.037,10.1632
