field,tier1_pages,tier1_present_count,tier1_present_pct,tier1_absent_count,tier1_not_applicable_count,tier2_pages,tier2_present_count,tier2_present_pct,tier2_absent_count,tier2_not_applicable_count,tier3_pages,tier3_present_count,tier3_present_pct,tier3_absent_count,tier3_not_applicable_count,total_pages,total_present_count,total_present_pct,total_absent_count,total_not_applicable_count,tiers_present_in,universal_blank
adverseEvents,610,40,6.5574,564,6,4477,1405,31.3826,2474,598,0,0,0.0,0,0,5087,1445,28.4057,3038,604,1;2,false
approvalDate,614,446,72.6384,168,0,4454,2286,51.3247,2168,0,0,0,0.0,0,0,5068,2732,53.9069,2336,0,1;2,false
biomarkers,1109,1002,90.3517,107,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,1002,90.3517,107,0,1,false
clocks,1109,96,8.6564,1013,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,96,8.6564,1013,0,1,false
doseResponse,1109,775,69.8828,334,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,775,69.8828,334,0,1,false
doseStudied,1717,684,39.8369,1033,0,4454,1078,24.203,3376,0,0,0,0.0,0,0,6171,1762,28.5529,4409,0,1;2,false
endpointType,1109,1081,97.4752,28,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,1081,97.4752,28,0,1,false
everDosedInHumans,0,0,0.0,0,0,0,0,0.0,0,0,22636,22636,100.0,0,0,22636,22636,100.0,0,0,3,false
faers,1719,792,46.0733,927,0,4477,1628,36.3636,2849,0,0,0,0.0,0,0,6196,2420,39.0575,3776,0,1;2,false
hallmark,1109,545,49.1434,564,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,545,49.1434,564,0,1,false
highestPhase,0,0,0.0,0,0,0,0,0.0,0,0,22636,11487,50.7466,11149,0,22636,11487,50.7466,11149,0,3,false
humanCeiling,1109,1058,95.4013,51,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,1058,95.4013,51,0,1,false
indication,610,54,8.8525,550,6,4477,2368,52.8926,1511,598,0,0,0.0,0,0,5087,2422,47.6116,2061,604,1;2,false
interactions,1719,703,40.8959,1010,6,4477,675,15.0771,3204,598,0,0,0.0,0,0,6196,1378,22.2402,4214,604,1;2,false
itp,1109,51,4.5987,1058,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,51,4.5987,1058,0,1,false
kinetics,1109,491,44.2741,601,17,0,0,0.0,0,0,0,0,0.0,0,0,1109,491,44.2741,601,17,1,false
labelKinetics,610,31,5.082,573,6,4477,1209,27.0047,2670,598,0,0,0.0,0,0,5087,1240,24.3759,3243,604,1;2,false
mechanismClass,0,0,0.0,0,0,0,0,0.0,0,0,22636,2533,11.1901,16132,3971,22636,2533,11.1901,16132,3971,3,false
ongoingTrials,1109,861,77.6375,248,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,861,77.6375,248,0,1,false
organismLadder,1109,1080,97.385,29,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,1080,97.385,29,0,1,false
patentStatus,0,0,0.0,0,0,0,0,0.0,0,0,22636,0,0.0,35,22601,22636,0,0.0,35,22601,3,true
pathway,1109,677,61.046,432,0,0,0,0.0,0,0,0,0,0.0,0,0,1109,677,61.046,432,0,1,false
regulatory,1719,1337,77.7778,382,0,4477,3366,75.1843,1111,0,0,0,0.0,0,0,6196,4703,75.9038,1493,0,1;2,false
relatedOnTarget,0,0,0.0,0,0,0,0,0.0,0,0,22636,2167,9.5732,16498,3971,22636,2167,9.5732,16498,3971,3,false
sponsor,0,0,0.0,0,0,0,0,0.0,0,0,22636,4736,20.9224,17900,0,22636,4736,20.9224,17900,0,3,false
target,0,0,0.0,0,0,0,0,0.0,0,0,22636,2452,10.8323,16213,3971,22636,2452,10.8323,16213,3971,3,false
trialFailures,1719,931,54.1594,788,0,4477,1705,38.0835,2772,0,0,0,0.0,0,0,6196,2636,42.5436,3560,0,1;2,false
trialHistory,610,364,59.6721,246,0,4477,3167,70.7393,1310,0,0,0,0.0,0,0,5087,3531,69.4122,1556,0,1;2,false
whyStopped,0,0,0.0,0,0,0,0,0.0,0,0,22636,1811,8.0005,20825,0,22636,1811,8.0005,20825,0,3,false
withdrawal,610,320,52.459,290,0,4477,197,4.4003,4280,0,0,0,0.0,0,0,5087,517,10.1632,4570,0,1;2,false
