field,tier,pages_carrying_before,present_before,pages_carrying_after,present_after,delta,present_pct_before,present_pct_after,filled_by_sources,pages_filled_this_run,status
adverseEvents,1,610,40,610,278,238,6.5574,45.5738,inxight=229;openfda-label=11,238,filled
adverseEvents,2,4477,1405,4477,2300,895,31.3826,51.3737,inxight=491;openfda-label=491,895,filled
approvalDate,1,614,446,614,446,0,72.6384,72.6384,,0,unchanged
approvalDate,2,4454,2286,4454,2286,0,51.3247,51.3247,,0,unchanged
biomarkers,1,1109,1002,1109,1002,0,90.3517,90.3517,,0,unchanged
boxedWarning,1,0,0,1719,264,264,,15.3578,openfda-label=264,264,new_field
boxedWarning,2,0,0,4477,502,502,,11.2129,openfda-label=502,502,new_field
boxedWarning,3,0,0,22636,17,17,,0.0751,openfda-label=17,17,new_field
clocks,1,1109,96,1109,96,0,8.6564,8.6564,,0,unchanged
contraindications,1,0,0,1719,857,857,,49.8546,drugcentral=603;openfda-label=572,857,new_field
contraindications,2,0,0,4477,1940,1940,,43.3326,openfda-label=1474;drugcentral=1124,1940,new_field
contraindications,3,0,0,22636,267,267,,1.1795,drugcentral=218;openfda-label=54,267,new_field
controlled,1,0,0,1719,985,985,,57.3008,"tga-artg=787;hsa-singapore=756;openfda-ndc, as recorded on this page's regulatory field=42",985,new_field
controlled,2,0,0,4477,1952,1952,,43.6006,tga-artg=1543;hsa-singapore=1475,1952,new_field
controlled,3,0,0,22636,885,885,,3.9097,tga-artg=599;hsa-singapore=561,885,new_field
cyp_profile,1,0,0,1719,624,624,,36.3002,inxight=588;openfda-label=182,624,new_field
cyp_profile,2,0,0,4477,1180,1180,,26.3569,inxight=1093;openfda-label=367,1180,new_field
cyp_profile,3,0,0,22636,1018,1018,,4.4973,inxight=1016;openfda-label=3,1018,new_field
doseResponse,1,1109,775,1109,775,0,69.8828,69.8828,,0,unchanged
doseStudied,1,1717,684,1717,684,0,39.8369,39.8369,,0,unchanged
doseStudied,2,4454,1078,4454,1078,0,24.203,24.203,,0,unchanged
endpointType,1,1109,1081,1109,1081,0,97.4752,97.4752,,0,unchanged
everDosedInHumans,3,22636,22636,22636,22636,0,100.0,100.0,,0,unchanged
faers,1,1719,792,1719,916,124,46.0733,53.2868,drugcentral=124,124,filled
faers,2,4477,1628,4477,2001,373,36.3636,44.6951,drugcentral=373,373,filled
hallmark,1,1109,545,1109,545,0,49.1434,49.1434,,0,unchanged
highestPhase,3,22636,11487,22636,11487,0,50.7466,50.7466,,0,unchanged
humanCeiling,1,1109,1058,1109,1058,0,95.4013,95.4013,,0,unchanged
identifiers,1,0,0,1719,1678,1678,,97.6149,gsrs=1624;pubchem=1288;uniprot=1197,1678,new_field
identifiers,2,0,0,4477,4335,4335,,96.8282,gsrs=4208;pubchem=2582;uniprot=2086,4335,new_field
identifiers,3,0,0,22636,20711,20711,,91.4958,pubchem=16226;gsrs=14536;uniprot=4679,20711,new_field
indication,1,610,54,610,548,494,8.8525,89.8361,inxight=466;drugcentral=265;openfda-label=23,494,filled
indication,2,4477,2368,4477,4052,1684,52.8926,90.507,inxight=1110;openfda-label=815;drugcentral=664,1684,filled
interactions,1,1719,703,1719,1045,342,40.8959,60.7912,inxight=274;openfda-label=101,342,filled
interactions,2,4477,675,4477,1677,1002,15.0771,37.4581,inxight=662;openfda-label=540,1002,filled
itp,1,1109,51,1109,51,0,4.5987,4.5987,,0,unchanged
kinetics,1,1109,491,1109,684,193,44.2741,61.6772,inxight=144;openfda-label=78,193,filled
labelKinetics,1,610,31,610,255,224,5.082,41.8033,inxight=219;openfda-label=6,224,filled
labelKinetics,2,4477,1209,4477,1924,715,27.0047,42.9752,inxight=543;openfda-label=249,715,filled
mechanismClass,3,22636,2533,22636,6070,3537,11.1901,26.8157,iuphar=1864;inxight=1489;drugcentral=1069,3537,filled
ongoingTrials,1,1109,861,1109,861,0,77.6375,77.6375,,0,unchanged
organismLadder,1,1109,1080,1109,1080,0,97.385,97.385,,0,unchanged
patentStatus,1,0,0,1719,1097,1097,,63.8162,orange-purple-book=1097,1097,written onto a model that did not carry the field before
patentStatus,2,0,0,4477,2204,2204,,49.2294,orange-purple-book=2204,2204,written onto a model that did not carry the field before
patentStatus,3,22636,0,22636,305,305,0.0,1.3474,orange-purple-book=305,305,filled
pathway,1,1109,677,1109,677,0,61.046,61.046,,0,unchanged
potency,1,0,0,1719,316,316,,18.3828,chembl=316,316,new_field
potency,2,0,0,4477,471,471,,10.5204,chembl=471,471,new_field
potency,3,0,0,22636,831,831,,3.6711,chembl=831,831,new_field
publicationYears,1,0,0,1719,1072,1072,,62.3618,chembl=1072,1072,new_field
publicationYears,2,0,0,4477,1982,1982,,44.2707,chembl=1982,1982,new_field
publicationYears,3,0,0,22636,12124,12124,,53.5607,chembl=12124,12124,new_field
registry,1,0,0,1719,1272,1272,,73.9965,clinicaltrials=1272,1272,new_field
registry,2,0,0,4477,2663,2663,,59.4818,clinicaltrials=2663,2663,new_field
registry,3,0,0,22636,4728,4728,,20.8871,clinicaltrials=4728,4728,new_field
regulatory,1,1719,1337,1719,1630,293,77.7778,94.8226,inxight=270;tga-artg=103;drugcentral=51;hsa-singapore=36;ema=25;pmda=11,293,filled
regulatory,2,4477,3366,4477,4106,740,75.1843,91.7132,inxight=679;drugcentral=199;tga-artg=113;hsa-singapore=74;pmda=49;ema=15,740,filled
regulatory,3,0,0,22636,7136,7136,,31.525,inxight=6749;tga-artg=599;drugcentral=399;hsa-singapore=94;pmda=79;ema=67,7136,written onto a model that did not carry the field before
relatedOnTarget,3,22636,2167,22636,2167,0,9.5732,9.5732,,0,unchanged
sponsor,3,22636,4736,22636,4736,0,20.9224,20.9224,,0,unchanged
target,3,22636,2452,22636,7112,4660,10.8323,31.419,inxight=3319;uniprot=2325;iuphar=1911;drugcentral=232;chembl=35,4660,filled
trialFailures,1,1719,931,1719,931,0,54.1594,54.1594,,0,unchanged
trialFailures,2,4477,1705,4477,1705,0,38.0835,38.0835,,0,unchanged
trialHistory,1,610,364,610,364,0,59.6721,59.6721,,0,unchanged
trialHistory,2,4477,3167,4477,3167,0,70.7393,70.7393,,0,unchanged
whyStopped,3,22636,1811,22636,1811,0,8.0005,8.0005,,0,unchanged
withdrawal,1,610,320,610,323,3,52.459,52.9508,withdrawn=3,3,filled
withdrawal,2,4477,197,4477,200,3,4.4003,4.4673,withdrawn=3,3,filled
