key,tier,page_unii,page_inchikey,gsrs_unii,gsrs_preferred_name,gsrs_inchikey,gsrs_substance_class,source_url,source_date
K1:7IGF0S7R8I,2,7IGF0S7R8I,IMQLKJBTEOYOSI-GPIVLXJGSA-N,88496G1ERL,PHYTATE SODIUM,FENRSEGZMITUEF-ATTCVCFYSA-E,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:WCK1KIQ23Q,2,O1GX33ON8R,CYDMQBQPVICBEU-XRNKAMNCSA-N,1D06KZ672I,CHLORTETRACYCLINE BISULFATE,GQUMQTDURIYYIA-MRFRVZCGSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:470VQE23O3,3,470VQE23O3,YAMVZYRZAMBCED-UHFFFAOYSA-N,8PW272ITDS,ACTINOQUINOL SODIUM,KGBPIIYKHSGTAJ-UHFFFAOYSA-M,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:4F05V145YR,1,4F05V145YR,YMOXVLQZFAUUKI-UHFFFAOYSA-N,XRJ0P5FAYO,TYROPANOATE SODIUM,KTVKGXZZBQCBGD-UHFFFAOYSA-M,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:1N3O74HM92,1,1N3O74HM92,OWWLUIWOFHMHOQ-XGHATYIMSA-N,R6ZTY81RE1,PIPECURONIUM BROMIDE,TXWBOBJCRVVBJF-YTGGZNJNSA-L,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:F5EOM0LD8E,3,,FSKFPVLPFLJRQB-UHFFFAOYSA-N,8Z075K2TIG,TOLPERISONE HYDROCHLORIDE,ZBUVYROEHQQAKL-UHFFFAOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:PCU411F5L6,3,PCU411F5L6,VQKLRVZQQYVIJW-UHFFFAOYSA-N,1C2B1W91NK,DIHYDRALAZINE SULFATE,BWHAMWGGORIDBK-UHFFFAOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:YEF4JXN031,2,YEF4JXN031,WBPYTXDJUQJLPQ-VMXQISHHSA-N,5P4625C51T,TYLOSIN TARTRATE,ICVKYYINQHWDLM-KBEWXLTPSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:EQK9Q303C5,1,OW1N4G4R9W,SBUJHOSQTJFQJX-NOAMYHISSA-N,01N552709G,Kanamycin A sulfate monohydrate,VWSPLXPERFFCLK-KNQICTBBSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:7E2P22546V,3,63HPK6A5CW,ZHOWHMXTJFZXRB-UHFFFAOYSA-N,S3IG39T94B,AMIDEPHRINE MESYLATE,INSXAGGBFMXUIH-UHFFFAOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:3C9PSP36Z2,3,3C9PSP36Z2,VZJFGSRCJCXDSG-UHFFFAOYSA-N,TIV4Q933FU,HEXAMETHONIUM CHLORIDE,PYIHTIJNCRKDBV-UHFFFAOYSA-L,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:D58G680W0G,3,D58G680W0G,KMSKQZKKOZQFFG-YXRRJAAWSA-N,E7V83174BE,PIRARUBICIN HYDROCHLORIDE,ZPHYPKKFSHAVOE-YZIXBPQXSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:E2OU15WN0N,3,E2OU15WN0N,DJJCXFVJDGTHFX-XVFCMESISA-N,KD8E20071T,URIDINE MONOPHOSPHATE DISODIUM,KURVIXMFFSNONZ-WFIJOQBCSA-L,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:QCD9FA9PLW,2,QCD9FA9PLW,PFKGDYCESFRMAP-UHFFFAOYSA-L,3QDE968MKD,CALCIUM BENZOATE,NSQPPSOSXWOZNH-UHFFFAOYSA-L,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:MON17C96OK,3,MON17C96OK,XMSWGYQEWPUOKA-UHFFFAOYSA-N,6HX7RST519,MYFADOL HYDROCHLORIDE,ARCUFWKZXDWDIH-UHFFFAOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:A6F645Q9HQ,3,A6F645Q9HQ,BRABPYPSZVCCLR-UHFFFAOYSA-N,OR0RPY2Y2V,METHOXYPROMAZINE MALEATE,ZWLMLVIUWRUDBD-BTJKTKAUSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K2:MSWZFWKMSRAUBD-IVMDWMLBSA-N,2,,MSWZFWKMSRAUBD-IVMDWMLBSA-N,N08U5BOQ1K,GLUCOSAMINE,FZHXIRIBWMQPQF-SLPGGIOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:6PJ93I88XL,3,6PJ93I88XL,RFFLAFLAYFXFSW-UHFFFAOYSA-N,D149TYB5MK,"1,4-Dichlorobenzene",OCJBOOLMMGQPQU-UHFFFAOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:WD06X94M2D,1,WD06X94M2D,BZHJMEDXRYGGRV-UHFFFAOYSA-N,L9MK238N77,Vinyl Acetate,XTXRWKRVRITETP-UHFFFAOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:R16CO5Y76E,1,2JJ274J145,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2E48G1QI9Q,Acetic anhydride,WFDIJRYMOXRFFG-UHFFFAOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
K1:DHA8014SS1,2,DHA8014SS1,REYFJDPCWQRWAA-UHFFFAOYSA-N,VPR5FPH326,Antazoline phosphate,DUIGUKRYYAGJAF-UHFFFAOYSA-N,chemical,https://gsrs.ncats.nih.gov/assets/downloads/dump-public-2026-08-06.gsrs,2026-08-06
