page_a,page_b,width,jaccard,indexable_a,indexable_b,set_a,set_b
target/i23o1,target/indoleamine-2-3-dioxygenase,390,0.7524,false,false,hub,hub
target/bacterial-dna-gyrase,target/topoisomerase-iv,390,0.717,false,false,hub,hub
target/mycobacterium-tuberculosis,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.7118,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/smooth-muscle-contraction,390,0.7107,false,false,hub,hub
target/at1a1,target/at1a2,390,0.7073,false,false,hub,hub
target/aryl-hydrocarbon-receptor,target/aryl-hydrocarbon-receptor-aryl-hydrocarbon-receptor,390,0.7034,false,false,hub,hub
target/serotonin-2a-receptor-chembl322,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.701,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/mycobacterium-tuberculosis,390,0.6998,false,false,hub,hub
target/mycobacterium-tuberculosis,target/serotonin-2-receptor,390,0.699,false,false,hub,hub
target/alpha-2a-adrenergic-receptor,target/alpha-2b-adrenergic-receptor,390,0.6983,false,false,hub,hub
target/hmg-coa-reductase,target/mycobacterium-tuberculosis,390,0.6934,false,false,hub,hub
target/smooth-muscle-contraction,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6931,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/alpha-1a-adrenergic-receptor,390,0.693,false,false,hub,hub
target/estrogen-receptor-2,target/estrogen-receptor-estrogen-receptor,390,0.6911,false,false,hub,hub
target/mycobacterium-tuberculosis,target/serotonin-2a-receptor-chembl322,390,0.691,false,false,hub,hub
target/peptidoglycan-biosynthesis,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6897,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6889,false,false,hub,hub
target/serotonin-2-receptor,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6884,false,false,hub,hub
target/hepg2,target/serum-albumin,390,0.6878,false,false,hub,hub
target/mycobacterium-tuberculosis,target/smooth-muscle-contraction,390,0.6872,false,false,hub,hub
target/hmg-coa-reductase,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6869,false,false,hub,hub
target/peptidoglycan-biosynthesis,target/smooth-muscle-contraction,390,0.6863,false,false,hub,hub
target/mycobacterium-tuberculosis,target/peptidoglycan-biosynthesis,390,0.6838,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/peptidoglycan-biosynthesis,390,0.6822,false,false,hub,hub
target/aoc3,target/mycobacterium-tuberculosis,390,0.6813,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/mycobacterium-tuberculosis,390,0.6786,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/smooth-muscle-contraction,390,0.6786,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/angiogenesis,390,0.6755,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,390,0.6746,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6738,false,false,hub,hub
target/at1-receptor,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6731,false,false,hub,hub
target/kif11,target/kinesin-like-protein-kif11,390,0.6731,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/smooth-muscle-contraction,390,0.673,false,false,hub,hub
target/serotonin-2-receptor,target/serotonin-2a-receptor-chembl322,390,0.6729,false,false,hub,hub
target/at1-receptor,target/mycobacterium-tuberculosis,390,0.6715,false,false,hub,hub
target/kca2-2,target/kna1-2,390,0.6706,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/serotonin-2a-receptor-chembl322,390,0.6691,false,false,hub,hub
target/serotonin-2a-receptor-chembl322,target/smooth-muscle-contraction,390,0.6691,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/mycobacterium-tuberculosis,390,0.6682,false,false,hub,hub
target/hmg-coa-reductase,target/serotonin-2a-receptor-chembl322,390,0.6675,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/cysteinyl-leukotriene-receptor-1,390,0.6674,false,false,hub,hub
target/hmg-coa-reductase,target/serotonin-2-receptor,390,0.6674,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,390,0.6667,false,false,hub,hub
target/aoc3,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6667,false,false,hub,hub
target/m2-receptor,target/m5-receptor,390,0.6659,false,false,hub,hub
target/peptidoglycan-biosynthesis,target/serotonin-2a-receptor-chembl322,390,0.6659,false,false,hub,hub
target/ikkb,target/inhibitor-of-nuclear-factor-kappa-b-kinase-beta-subunit,390,0.6655,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6643,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/hmg-coa-reductase,390,0.6635,false,false,hub,hub
target/hmg-coa-reductase,target/smooth-muscle-contraction,390,0.6635,false,false,hub,hub
target/at1-receptor,target/kna1-2,390,0.6613,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/serotonin-2-receptor,390,0.6611,false,false,hub,hub
target/serotonin-2-receptor,target/smooth-muscle-contraction,390,0.6611,false,false,hub,hub
target/aoc3,target/at1-receptor,390,0.6604,false,false,hub,hub
target/at1-receptor,target/kca2-2,390,0.6604,false,false,hub,hub
target/hmg-coa-reductase,target/peptidoglycan-biosynthesis,390,0.6603,false,false,hub,hub
target/angiogenesis,target/hmdh,390,0.6601,false,false,hub,hub
target/glrb,target/trpm3,390,0.6586,false,false,hub,hub
target/kna1-2,target/mycobacterium-tuberculosis,390,0.658,false,false,hub,hub
target/peptidoglycan-biosynthesis,target/serotonin-2-receptor,390,0.658,false,false,hub,hub
target/g6pd,target/glrb,390,0.6579,false,false,hub,hub
target/kca2-2,target/mycobacterium-tuberculosis,390,0.6571,false,false,hub,hub
target/kca2-2,target/peptidoglycan-biosynthesis,390,0.6564,false,false,hub,hub
target/aoc3,target/serotonin-2-receptor,390,0.6557,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/peptidoglycan-biosynthesis,390,0.6557,false,false,hub,hub
target/kna1-2,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6557,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/hmdh,390,0.6554,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/kca2-2,390,0.6517,false,false,hub,hub
target/at1-receptor,target/serotonin-2-receptor,390,0.6505,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/peptidoglycan-biosynthesis,390,0.6503,false,false,hub,hub
target/aoc3,target/hmg-coa-reductase,390,0.6502,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/serotonin-2a-receptor-chembl322,390,0.6498,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/kna1-2,390,0.6487,false,false,hub,hub
target/aoc3,target/serotonin-2a-receptor-chembl322,390,0.6479,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/serotonin-2-receptor,390,0.6476,false,false,hub,hub
target/comt,target/hmdh,390,0.6476,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/serotonin-2a-receptor-chembl322,390,0.6475,false,false,hub,hub
target/at1-receptor,target/serotonin-2a-receptor-chembl322,390,0.6465,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/serotonin-2-receptor,390,0.6461,false,false,hub,hub
target/hmdh,target/pgrc1,390,0.6448,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/aoc3,390,0.6437,false,false,hub,hub
target/aoc3,target/smooth-muscle-contraction,390,0.6437,false,false,hub,hub
target/kca2-2,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.643,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/hmg-coa-reductase,390,0.6422,false,false,hub,hub
target/kpcd1,target/kpce,390,0.6417,false,false,hub,hub
target/at1-receptor,target/hmg-coa-reductase,390,0.6412,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/hmg-coa-reductase,390,0.6407,false,false,hub,hub
target/aoc3,target/peptidoglycan-biosynthesis,390,0.6407,false,false,hub,hub
target/kca2-2,target/smooth-muscle-contraction,390,0.64,false,false,hub,hub
target/tlr7,target/toll-like-receptor-7,390,0.6399,false,false,hub,hub
target/aryl-hydrocarbon-receptor,target/nitric-oxide-synthase-inducible,390,0.6397,false,false,hub,hub
target/kir2-3,target/vrac,390,0.6387,false,false,hub,hub
target/angiogenesis,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.6385,false,false,hub,hub
