page_a,page_b,rule,action,evidence
K1:321552050N,K2:KPUSUIKQQCFQCX-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Cyprolidol"",""b"":""Cyprolidol"",""inchikey_a"":""KPUSUIKQQCFQCX-VQTJNVASSA-N"",""inchikey_b"":""KPUSUIKQQCFQCX-UHFFFAOYSA-N"",""note"":""Cyprolidol (UNII 321552050N) carries defined stereochemistry; Cyprolidol (structure KPUSUIKQQCFQCX-UHFFFAOYSA-N) is recorded without it."",""origin"":""suspected-structural:KPUSUIKQQCFQCX"",""relation"":""stereoisomer_of"",""skeleton"":""KPUSUIKQQCFQCX""}"
K1:34PHS7TU43,K2:PFTAWBLQPZVEMU-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""(-)-EPICATECHIN"",""b"":""Catechins"",""inchikey_a"":""PFTAWBLQPZVEMU-UKRRQHHQSA-N"",""inchikey_b"":""PFTAWBLQPZVEMU-UHFFFAOYSA-N"",""note"":""(-)-EPICATECHIN is the (-)-stereoisomer of Catechins, which is recorded without defined stereochemistry."",""origin"":""suspected-structural:PFTAWBLQPZVEMU"",""relation"":""stereoisomer_of"",""skeleton"":""PFTAWBLQPZVEMU""}"
K1:34PHS7TU43,K1:FHB0GX3D44,R3-SAME-SKELETON,form_of,"{""a"":""(-)-EPICATECHIN"",""b"":""(-)-CATECHIN"",""inchikey_a"":""PFTAWBLQPZVEMU-UKRRQHHQSA-N"",""inchikey_b"":""PFTAWBLQPZVEMU-HIFRSBDPSA-N"",""note"":""(-)-CATECHIN is a diastereomer of (-)-EPICATECHIN."",""origin"":""suspected-structural:PFTAWBLQPZVEMU"",""relation"":""stereoisomer_of"",""skeleton"":""PFTAWBLQPZVEMU""}"
K1:34PHS7TU43,K1:8R1V1STN48,R3-SAME-SKELETON,form_of,"{""a"":""(-)-EPICATECHIN"",""b"":""Cianidanol"",""inchikey_a"":""PFTAWBLQPZVEMU-UKRRQHHQSA-N"",""inchikey_b"":""PFTAWBLQPZVEMU-DZGCQCFKSA-N"",""note"":""(-)-EPICATECHIN is a diastereomer of Cianidanol."",""origin"":""suspected-structural:PFTAWBLQPZVEMU"",""relation"":""stereoisomer_of"",""skeleton"":""PFTAWBLQPZVEMU""}"
K1:34PHS7TU43,K1:LD6B6TT8Q5,R3-SAME-SKELETON,form_of,"{""a"":""(-)-EPICATECHIN"",""b"":""Dexepicatechin"",""inchikey_a"":""PFTAWBLQPZVEMU-UKRRQHHQSA-N"",""inchikey_b"":""PFTAWBLQPZVEMU-ZFWWWQNUSA-N"",""note"":""(-)-EPICATECHIN is the enantiomer of Dexepicatechin."",""origin"":""suspected-structural:PFTAWBLQPZVEMU"",""relation"":""stereoisomer_of"",""skeleton"":""PFTAWBLQPZVEMU""}"
K1:60BN6CDL0K,K2:DZBKAUMYTFPJIS-HSZRJFAPSA-N,R3-SAME-SKELETON,form_of,"{""a"":""BMS-791826"",""b"":""BMS-791826"",""inchikey_a"":""DZBKAUMYTFPJIS-QHCPKHFHSA-N"",""inchikey_b"":""DZBKAUMYTFPJIS-HSZRJFAPSA-N"",""note"":""BMS-791826 (structure DZBKAUMYTFPJIS-HSZRJFAPSA-N) is the (R)-enantiomer of BMS-791826 (UNII 60BN6CDL0K), the (S)-enantiomer."",""origin"":""suspected-structural:DZBKAUMYTFPJIS"",""relation"":""stereoisomer_of"",""skeleton"":""DZBKAUMYTFPJIS""}"
K1:O1Q96UZ63W,K2:RBZNJGHIKXAKQE-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Derenofylline"",""b"":""Derenofylline"",""inchikey_a"":""RBZNJGHIKXAKQE-HDJSIYSDSA-N"",""inchikey_b"":""RBZNJGHIKXAKQE-UHFFFAOYSA-N"",""note"":""Derenofylline (UNII O1Q96UZ63W) carries defined stereochemistry; Derenofylline (structure RBZNJGHIKXAKQE-UHFFFAOYSA-N) is recorded without it."",""origin"":""suspected-structural:RBZNJGHIKXAKQE"",""relation"":""stereoisomer_of"",""skeleton"":""RBZNJGHIKXAKQE""}"
K1:X34Z8N66T3,K2:IBTISPLPBBHVSU-TYSFLOMESA-N,R3-SAME-SKELETON,form_of,"{""a"":""Namitecan"",""b"":""NAMITECAN"",""inchikey_a"":""IBTISPLPBBHVSU-UVOOVGFISA-N"",""inchikey_b"":""IBTISPLPBBHVSU-TYSFLOMESA-N"",""note"":""NAMITECAN (structure IBTISPLPBBHVSU-TYSFLOMESA-N) is a diastereomer of Namitecan (UNII X34Z8N66T3)."",""origin"":""suspected-structural:IBTISPLPBBHVSU"",""relation"":""stereoisomer_of"",""skeleton"":""IBTISPLPBBHVSU""}"
K1:5277GPA358,K2:KSOVGRCOLZZTPF-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Cenisertib"",""b"":""Cenisertib"",""inchikey_a"":""KSOVGRCOLZZTPF-QMKUDKLTSA-N"",""inchikey_b"":""KSOVGRCOLZZTPF-UHFFFAOYSA-N"",""note"":""Cenisertib (UNII 5277GPA358) carries defined stereochemistry; Cenisertib (structure KSOVGRCOLZZTPF-UHFFFAOYSA-N) is recorded without it."",""origin"":""suspected-structural:KSOVGRCOLZZTPF"",""relation"":""stereoisomer_of"",""skeleton"":""KSOVGRCOLZZTPF""}"
K1:TP732M43NA,K2:KJBRSTPUILEBDR-YBNFDXCTSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Exaluren"",""b"":""CHEMBL2220482"",""inchikey_a"":""KJBRSTPUILEBDR-DBMIJKFDSA-N"",""inchikey_b"":""KJBRSTPUILEBDR-YBNFDXCTSA-N"",""note"":""CHEMBL2220482 is a diastereomer of Exaluren."",""origin"":""suspected-structural:KJBRSTPUILEBDR"",""relation"":""stereoisomer_of"",""skeleton"":""KJBRSTPUILEBDR""}"
