page_a,page_b,resolved_page_b,name_a,name_b,classification,reach,tier,confidence,licence_ground,second_evidence,corpus_confirms,existing_relations,first_pass_reason,duplicate_of_row,chain_held_by_first_pass
HOLD:existing:anhydrous-citric-acid,K1:XF417D3PSL,K1:XF417D3PSL,Anhydrous Citric Acid,Anhydrous Citric Acid,LICENSED-MERGE,band,2,high,both pages carry the identical full InChIKey recorded in the corpus,R2 identical full InChIKey: both hold InChIKey KRKNYBCHXYNGOX-UHFFFAOYSA-N,same_full_inchikey; moiety_match; fragment_match,same_structure_as,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,,yes
HOLD:existing:potassium-citrate,,K1:86R1NVR0HW,Potassium Citrate,POTASSIUM CITRATE ANHYDROUS,LICENSED-MERGE,band,2,high,both pages carry the identical full InChIKey recorded in the corpus,R0b same full InChIKey inside the 'potassium' name group: HOLD:existing:potassium-citrate and K1:86R1NVR0HW both hold QEEAPRPFLLJWCF-UHFFFAOYSA-K,same_full_inchikey,same_structure_as,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",,no
HOLD:existing:potassium-citrate,K1:86R1NVR0HW,K1:86R1NVR0HW,Potassium Citrate,POTASSIUM CITRATE ANHYDROUS,LICENSED-MERGE,band,2,high,both pages carry the identical full InChIKey recorded in the corpus,R2 identical full InChIKey: both hold InChIKey QEEAPRPFLLJWCF-UHFFFAOYSA-K,same_full_inchikey,same_structure_as,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,188,yes
K1:5J49Q6B70F,K2:OGWKCGZFUXNPDA-XQKSVPLYSA-N,K2:OGWKCGZFUXNPDA-XQKSVPLYSA-N,Vincristine,Vincristine,LICENSED-FORM_OF,band,2,medium,"the two pages carry one InChIKey skeleton and different full keys, which §3.4 and §5.1 split and link","R3 InChIKey skeleton OGWKCGZFUXNPDA shared; OGWKCGZFUXNPDA-CFWMRBGOSA-N vs OGWKCGZFUXNPDA-XQKSVPLYSA-N; the records carry the same name (Vincristine / Vincristine) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",same_skeleton_different_full,form_of; stereoisomer_of,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,,yes
K1:86R1NVR0HW,,HOLD:existing:potassium-citrate,POTASSIUM CITRATE ANHYDROUS,Potassium Citrate,LICENSED-MERGE,band,2,high,both pages carry the identical full InChIKey recorded in the corpus,R0b same full InChIKey inside the 'potassium' name group: K1:86R1NVR0HW and HOLD:existing:potassium-citrate both hold QEEAPRPFLLJWCF-UHFFFAOYSA-K,same_full_inchikey,same_structure_as,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",188,no
K1:B22547B95K,K1:XF417D3PSL,K1:XF417D3PSL,Trisodium Citrate Dihydrate,Anhydrous Citric Acid,LICENSED-MERGE,band,2,high,a GSRS salt-to-parent link confirmed by the FDA active moiety the corpus records and by the parent skeleton the evidence names,R4 §3.1 salt or solvate: Trisodium Citrate Dihydrate is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate; FDA records the active moiety of Trisodium Citrate Dihydrate as Anhydrous Citric Acid (XF417D3PSL),structure_conflict; moiety_match; fragment_match,active_moiety_of,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,,yes
HOLD:existing:sodium-succinate,K1:P699N4QOWE,K1:P699N4QOWE,Sodium Succinate (C4H5NaO4),Monosodium Succinate,LICENSED-MERGE,rest,1,high,both pages carry the identical full InChIKey recorded in the corpus,R2 identical full InChIKey: both hold InChIKey KZQSXALQTHVPDQ-UHFFFAOYSA-M,same_full_inchikey,same_structure_as,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,,yes
K1:UVL329170W,K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,Cisapride,Cisapride,LICENSED-FORM_OF,rest,1,medium,"the two pages carry one InChIKey skeleton and different full keys, which §3.4 and §5.1 split and link","R3 InChIKey skeleton DCSUBABJRXZOMT shared; DCSUBABJRXZOMT-IRLDBZIGSA-N vs DCSUBABJRXZOMT-UHFFFAOYSA-N; the records carry the same name (Cisapride / Cisapride) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",same_skeleton_different_full,form_of; stereoisomer_of,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,,yes
K1:V10579P3QZ,K2:BWWVAEOLVKTZFQ-ISVUSNJMSA-N,K2:BWWVAEOLVKTZFQ-ISVUSNJMSA-N,Amdinocillin,Mecillinam,LICENSED-FORM_OF,rest,1,medium,"the two pages carry one InChIKey skeleton and different full keys, which §3.4 and §5.1 split and link","R3 InChIKey skeleton BWWVAEOLVKTZFQ shared; BWWVAEOLVKTZFQ-NTZNESFSSA-N vs BWWVAEOLVKTZFQ-ISVUSNJMSA-N; the records carry the same name (Amdinocillin / Mecillinam) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",same_unii; same_skeleton_different_full; moiety_match; fragment_match,form_of; stereoisomer_of,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,,yes
"COMBO:{IK:DSFGXPJYDCSWTA-SECBINFHSA-N,K1:2679MF687A}","COMBO:{K1:2679MF687A,K1:TN1B5910V2}","COMBO:{K1:2679MF687A,K1:TN1B5910V2}",Xantinol Nicotinate,XANTHINOL NIACINATE,LICENSED-FORM_OF,rest,2,medium,"the two pages carry one InChIKey skeleton and different full keys, which §3.4 and §5.1 split and link",RC the component sets differ only in the stereo form of one component: IK:DSFGXPJYDCSWTA-SECBINFHSA-N and K1:TN1B5910V2 share skeleton DSFGXPJYDCSWTA with different stereo,same_skeleton_different_full,,"two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal",,no
