key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with
K1:EM5OCB9YJ6,Abiraterone Acetate,Abiraterone Acetate (C26H33NO2),C26H33NO2,molecular formula,abiraterone,K1:U6XMS339F5
K1:U6XMS339F5,ABIRATERONE DECANOATE,ABIRATERONE DECANOATE (C34H49NO2),C34H49NO2,molecular formula,abiraterone,K1:EM5OCB9YJ6
K1:T58MSI464G,Acarbose,Acarbose (structure CEMXHAPUFJOOSV),structure CEMXHAPUFJOOSV,InChIKey skeleton,acarbose,K2:XUFXOAAUWZOOIT-UGEKTDRHSA-N
K2:XUFXOAAUWZOOIT-UGEKTDRHSA-N,Acarbose,Acarbose (structure XUFXOAAUWZOOIT),structure XUFXOAAUWZOOIT,InChIKey skeleton,acarbose,K1:T58MSI464G
K1:GZP2782OP0,Aceneuramic acid,Aceneuramic acid (structure KBGAYAKRZNYFFG),structure KBGAYAKRZNYFFG,InChIKey skeleton,aceneuramic acid,K2:SQVRNKJHWKZAKO-USOVHJGOSA-N
K2:SQVRNKJHWKZAKO-USOVHJGOSA-N,Aceneuramic acid,Aceneuramic acid (structure SQVRNKJHWKZAKO),structure SQVRNKJHWKZAKO,InChIKey skeleton,aceneuramic acid,K1:GZP2782OP0
K1:415SHH325A,Adenosine phosphate,Adenosine phosphate (Adrenergic receptor),Adrenergic receptor,Inxight primary target,adenosine,K1:61D2G4IYVH;K1:K72T3FS567
K1:61D2G4IYVH,Adenosine Diphosphate,Adenosine Diphosphate (Purinergic receptor P2Y1),Purinergic receptor P2Y1,Inxight primary target,adenosine,K1:415SHH325A;K1:K72T3FS567
K1:K72T3FS567,ADENOSINE,ADENOSINE (Adenosine receptor),Adenosine receptor,Inxight primary target,adenosine,K1:415SHH325A;K1:61D2G4IYVH
K2:AECDBHGVIIRMOI-UHFFFAOYSA-N,AEW-541,AEW-541 (C27H29N5O),C27H29N5O,molecular formula,aew 541,K2:USVCWSAJUAARAL-MEMLXQNLSA-N
K2:USVCWSAJUAARAL-MEMLXQNLSA-N,AEW-541,AEW-541 (C26H27N5O),C26H27N5O,molecular formula,aew 541,K2:AECDBHGVIIRMOI-UHFFFAOYSA-N
K1:926F8X7TNO,AG-24322,AG-24322 (structure MEKASOQEXYKAKM),structure MEKASOQEXYKAKM,InChIKey skeleton,ag 24322,K2:RBOKLZGCVRXGEP-XTQSDGFTSA-N
K2:RBOKLZGCVRXGEP-XTQSDGFTSA-N,AG-24322,AG-24322 (structure RBOKLZGCVRXGEP),structure RBOKLZGCVRXGEP,InChIKey skeleton,ag 24322,K1:926F8X7TNO
K1:F4216019LN,Albendazole,Albendazole (Tubulin),Tubulin,Inxight primary target,albendazole,K1:J39B52TV34
K1:J39B52TV34,Albendazole oxide,Albendazole oxide (microtubule polymerization),microtubule polymerization,Inxight primary target,albendazole,K1:F4216019LN
K1:7QWA1RIO01,Alpha-Tocopherol,Alpha-Tocopherol (UNII 7QWA1RIO01),UNII 7QWA1RIO01,FDA UNII,alpha tocopherol,K1:A7E6112E4N;K1:LU4B53JYVE;K1:N9PR3490H9;K1:WR1WPI7EW8
K1:A7E6112E4N,".ALPHA.-TOCOPHEROL ACETATE, D-",".ALPHA.-TOCOPHEROL ACETATE, D- (UNII A7E6112E4N)",UNII A7E6112E4N,FDA UNII,alpha tocopherol,K1:7QWA1RIO01;K1:LU4B53JYVE;K1:N9PR3490H9;K1:WR1WPI7EW8
K1:LU4B53JYVE,".ALPHA.-TOCOPHEROL SUCCINATE, D-",".ALPHA.-TOCOPHEROL SUCCINATE, D- (UNII LU4B53JYVE)",UNII LU4B53JYVE,FDA UNII,alpha tocopherol,K1:7QWA1RIO01;K1:A7E6112E4N;K1:N9PR3490H9;K1:WR1WPI7EW8
K1:N9PR3490H9,".ALPHA.-TOCOPHEROL, D-",".ALPHA.-TOCOPHEROL, D- (UNII N9PR3490H9)",UNII N9PR3490H9,FDA UNII,alpha tocopherol,K1:7QWA1RIO01;K1:A7E6112E4N;K1:LU4B53JYVE;K1:WR1WPI7EW8
K1:WR1WPI7EW8,".ALPHA.-TOCOPHEROL ACETATE, DL-",".ALPHA.-TOCOPHEROL ACETATE, DL- (UNII WR1WPI7EW8)",UNII WR1WPI7EW8,FDA UNII,alpha tocopherol,K1:7QWA1RIO01;K1:A7E6112E4N;K1:LU4B53JYVE;K1:N9PR3490H9
K1:34S289N54E,Aluminum Sulfate,Aluminum Sulfate (H2Al2O13S3),H2Al2O13S3,molecular formula,aluminum,K1:I7T908772F
K1:I7T908772F,ALUMINUM SULFATE ANHYDROUS,ALUMINUM SULFATE ANHYDROUS (Al2O12S3),Al2O12S3,molecular formula,aluminum,K1:34S289N54E
K1:01Q9PC255D,Ammonium Chloride,Ammonium Chloride (UNII 01Q9PC255D),UNII 01Q9PC255D,FDA UNII,ammonium,K1:67M901L9NQ;K1:NJ5VT0FKLJ;K1:R0JB3224WS
K1:67M901L9NQ,Ammonium Lactate,Ammonium Lactate (UNII 67M901L9NQ),UNII 67M901L9NQ,FDA UNII,ammonium,K1:01Q9PC255D;K1:NJ5VT0FKLJ;K1:R0JB3224WS
K1:NJ5VT0FKLJ,Ammonium Carbonate,Ammonium Carbonate (UNII NJ5VT0FKLJ),UNII NJ5VT0FKLJ,FDA UNII,ammonium,K1:01Q9PC255D;K1:67M901L9NQ;K1:R0JB3224WS
K1:R0JB3224WS,Ammonium Bromide,Ammonium Bromide (UNII R0JB3224WS),UNII R0JB3224WS,FDA UNII,ammonium,K1:01Q9PC255D;K1:67M901L9NQ;K1:NJ5VT0FKLJ
K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N,ANGIOTENSIN-II,ANGIOTENSIN-II (C44H67N13O12),C44H67N13O12,molecular formula,angiotensin ii,K2:CZGUSIXMZVURDU-JZXHSEFVSA-N
K2:CZGUSIXMZVURDU-JZXHSEFVSA-N,Angiotensin ii,Angiotensin ii (C50H71N13O12),C50H71N13O12,molecular formula,angiotensin ii,K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N
K1:GFW2K84S4L,Apilimod,Apilimod (C23H26N6O2),C23H26N6O2,molecular formula,apilimod,K2:VIUWNARVSJPVFA-UHFFFAOYSA-N
K2:VIUWNARVSJPVFA-UHFFFAOYSA-N,APILIMOD,APILIMOD (C18H18N2O4S),C18H18N2O4S,molecular formula,apilimod,K1:GFW2K84S4L
K1:94ZLA3W45F,Arginine,Arginine (C6H14N4O2),C6H14N4O2,molecular formula,arginine,K1:F7LTH1E20Y;K1:LZB1G2I725;K1:TU1X77K34Q
K1:F7LTH1E20Y,ARGININE HYDROCHLORIDE,ARGININE HYDROCHLORIDE (C6H15ClN4O2),C6H15ClN4O2,molecular formula,arginine,K1:94ZLA3W45F;K1:LZB1G2I725;K1:TU1X77K34Q
K1:LZB1G2I725,Arginine Aspartate,Arginine Aspartate (C10H21N5O6),C10H21N5O6,molecular formula,arginine,K1:94ZLA3W45F;K1:F7LTH1E20Y;K1:TU1X77K34Q
K1:TU1X77K34Q,ARGININE GLUTAMATE,ARGININE GLUTAMATE (C11H23N5O6),C11H23N5O6,molecular formula,arginine,K1:94ZLA3W45F;K1:F7LTH1E20Y;K1:LZB1G2I725
K1:S7V92P67HO,Arsenic Trioxide,Arsenic Trioxide (structure IKWTVSLWAPBBKU),structure IKWTVSLWAPBBKU,InChIKey skeleton,arsenic trioxide,K2:MOQADKPFYVWPSE-UHFFFAOYSA-N
K2:MOQADKPFYVWPSE-UHFFFAOYSA-N,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE (structure MOQADKPFYVWPSE),structure MOQADKPFYVWPSE,InChIKey skeleton,arsenic trioxide,K1:S7V92P67HO
K1:03J5ZE7KA5,Atropine Sulfate,Atropine Sulfate (Muscarinic acetylcholine receptor M1),Muscarinic acetylcholine receptor M1,Inxight primary target,atropine,K1:3Y03IC177D
K1:3Y03IC177D,Atropine oxide,Atropine oxide (Muscarinic acetylcholine receptor),Muscarinic acetylcholine receptor,Inxight primary target,atropine,K1:03J5ZE7KA5
K1:0VK51DA1T2,Barium Chloride,Barium Chloride (BaCl2),BaCl2,molecular formula,barium,K1:24GP945V5T;K1:TI8NM689HW;K1:WKC4T7680A
K1:24GP945V5T,Barium,Barium (Ba),Ba,molecular formula,barium,K1:0VK51DA1T2;K1:TI8NM689HW;K1:WKC4T7680A
K1:TI8NM689HW,Barium Bromide,Barium Bromide (BaBr2),BaBr2,molecular formula,barium,K1:0VK51DA1T2;K1:24GP945V5T;K1:WKC4T7680A
K1:WKC4T7680A,Barium Iodide,Barium Iodide (BaI2),BaI2,molecular formula,barium,K1:0VK51DA1T2;K1:24GP945V5T;K1:TI8NM689HW
K1:X3D0O800AJ,Becampanel,Becampanel (structure ABFMMCZFKUIJGQ),structure ABFMMCZFKUIJGQ,InChIKey skeleton,becampanel,K2:DDOAQMGXVXFNSH-UHFFFAOYSA-N
K2:DDOAQMGXVXFNSH-UHFFFAOYSA-N,Becampanel,Becampanel (structure DDOAQMGXVXFNSH),structure DDOAQMGXVXFNSH,InChIKey skeleton,becampanel,K1:X3D0O800AJ
K1:F5UM2KM3W7,Benzalkonium Chloride,Benzalkonium Chloride (UNII F5UM2KM3W7),UNII F5UM2KM3W7,FDA UNII,benzalkonium,K2:VVZBFOKBSDGVGZ-UHFFFAOYSA-N
K2:VVZBFOKBSDGVGZ-UHFFFAOYSA-N,Benzalkonium chloride,Benzalkonium chloride (UNII 7N6JUD5X6Y),UNII 7N6JUD5X6Y,FDA UNII,benzalkonium,K1:F5UM2KM3W7
K1:9842X06Q6M,Betamethasone,Betamethasone (C22H29FO5),C22H29FO5,molecular formula,betamethasone,K1:YJO1F9W10R
K1:YJO1F9W10R,Betamethasone Phosphate,Betamethasone Phosphate (C22H30FO8P),C22H30FO8P,molecular formula,betamethasone,K1:9842X06Q6M
K1:A6I4E79QF1,Bismuth Oxide,Bismuth Oxide (Bi2O3),Bi2O3,molecular formula,bismuth,K1:U015TT5I8H
K1:U015TT5I8H,Bismuth,Bismuth (Bi),Bi,molecular formula,bismuth,K1:A6I4E79QF1
K1:8631NP8608,BIVALIRUDIN TRIFLUOROACETATE,BIVALIRUDIN TRIFLUOROACETATE (UNII 8631NP8608),UNII 8631NP8608,FDA UNII,bivalirudin,K1:TN9BEX005G
K1:TN9BEX005G,Bivalirudin,Bivalirudin (UNII TN9BEX005G),UNII TN9BEX005G,FDA UNII,bivalirudin,K1:8631NP8608
K1:49SD6G16U5,Bolandiol,Bolandiol (C18H28O2),C18H28O2,molecular formula,bolandiol,K2:JFAXVZXNIGIDDA-ABBKQRNASA-N
K2:JFAXVZXNIGIDDA-ABBKQRNASA-N,Bolandiol,Bolandiol (C24H36O4),C24H36O4,molecular formula,bolandiol,K1:49SD6G16U5
K1:24QAP1VCUX,"Bornyl ACETATE, (-)-","Bornyl ACETATE, (-)- ((-))",(-),stereo descriptor in the recorded name,bornyl,K1:U3GJ0TB404
K1:U3GJ0TB404,"Bornyl CHLORIDE, (+)-","Bornyl CHLORIDE, (+)- ((+))",(+),stereo descriptor in the recorded name,bornyl,K1:24QAP1VCUX
K1:483W67CPF4,Boron Oxide,Boron Oxide (B2O3),B2O3,molecular formula,boron,K1:N9E3X5056Q;K1:S043P4DV22
K1:N9E3X5056Q,Boron,Boron (B),B,molecular formula,boron,K1:483W67CPF4;K1:S043P4DV22
K1:S043P4DV22,Boron Citrate,Boron Citrate (C6H5BO7),C6H5BO7,molecular formula,boron,K1:483W67CPF4;K1:N9E3X5056Q
K1:2M3055079H,Brivudine,Brivudine (C11H13BrN2O5),C11H13BrN2O5,molecular formula,brivudine,K1:O7N0Y11U8K
K1:O7N0Y11U8K,Brivudine Monophosphate,Brivudine Monophosphate (C11H14BrN2O8P),C11H14BrN2O8P,molecular formula,brivudine,K1:2M3055079H
K1:ZP7R667SGD,BUTYL CHLORIDE,BUTYL CHLORIDE (C4H9Cl),C4H9Cl,molecular formula,butyl,K2:WPWHSFAFEBZWBB-UHFFFAOYSA-N
K2:WPWHSFAFEBZWBB-UHFFFAOYSA-N,Butyl,Butyl (C4H9),C4H9,molecular formula,butyl,K1:ZP7R667SGD
K1:00BH33GNGH,Cadmium,Cadmium (Cd),Cd,molecular formula,cadmium,K1:7726AXS0WH;K1:J6K4F9V3BA;K1:M0975E7Z8Z
K1:7726AXS0WH,Cadmium Bromide,Cadmium Bromide (Br2Cd),Br2Cd,molecular formula,cadmium,K1:00BH33GNGH;K1:J6K4F9V3BA;K1:M0975E7Z8Z
K1:J6K4F9V3BA,Cadmium Chloride,Cadmium Chloride (CdCl2),CdCl2,molecular formula,cadmium,K1:00BH33GNGH;K1:7726AXS0WH;K1:M0975E7Z8Z
K1:M0975E7Z8Z,Cadmium Fluoride,Cadmium Fluoride (CdF2),CdF2,molecular formula,cadmium,K1:00BH33GNGH;K1:7726AXS0WH;K1:J6K4F9V3BA
K1:M4I0D6VV5M,Calcium Chloride,Calcium Chloride (UNII M4I0D6VV5M),UNII M4I0D6VV5M,FDA UNII,calcium,K1:O3B55K4YKI;K1:OFM21057LP;K1:PF5DZW74VN;K1:SY7Q814VUP;K1:WAT0DDB505
K1:O3B55K4YKI,Calcium Fluoride,Calcium Fluoride (UNII O3B55K4YKI),UNII O3B55K4YKI,FDA UNII,calcium,K1:M4I0D6VV5M;K1:OFM21057LP;K1:PF5DZW74VN;K1:SY7Q814VUP;K1:WAT0DDB505
K1:OFM21057LP,Calcium Chloride Anhydrous,Calcium Chloride Anhydrous (UNII OFM21057LP),UNII OFM21057LP,FDA UNII,calcium,K1:M4I0D6VV5M;K1:O3B55K4YKI;K1:PF5DZW74VN;K1:SY7Q814VUP;K1:WAT0DDB505
K1:PF5DZW74VN,Calcium Hydroxide,Calcium Hydroxide (UNII PF5DZW74VN),UNII PF5DZW74VN,FDA UNII,calcium,K1:M4I0D6VV5M;K1:O3B55K4YKI;K1:OFM21057LP;K1:SY7Q814VUP;K1:WAT0DDB505
K1:SY7Q814VUP,CALCIUM,CALCIUM (UNII SY7Q814VUP),UNII SY7Q814VUP,FDA UNII,calcium,K1:M4I0D6VV5M;K1:O3B55K4YKI;K1:OFM21057LP;K1:PF5DZW74VN;K1:WAT0DDB505
K1:WAT0DDB505,Calcium Sulfate,Calcium Sulfate (UNII WAT0DDB505),UNII WAT0DDB505,FDA UNII,calcium,K1:M4I0D6VV5M;K1:O3B55K4YKI;K1:OFM21057LP;K1:PF5DZW74VN;K1:SY7Q814VUP
K1:4X4EG5ARZ4,Cefotaxime S-OXIDE,Cefotaxime S-OXIDE (C16H17N5O8S2),C16H17N5O8S2,molecular formula,cefotaxime,K1:N2GI8B1GK7
K1:N2GI8B1GK7,Cefotaxime,Cefotaxime (C16H17N5O7S2),C16H17N5O7S2,molecular formula,cefotaxime,K1:4X4EG5ARZ4
K1:1KSV9V4Y4I,Cesium,Cesium (Cs),Cs,molecular formula,cesium,K1:GNR9HML8BA
K1:GNR9HML8BA,Cesium Chloride,Cesium Chloride (ClCs),ClCs,molecular formula,cesium,K1:1KSV9V4Y4I
K1:5ZA2S6B08X,Cetyl Palmitate,Cetyl Palmitate (C32H64O2),C32H64O2,molecular formula,cetyl,K1:78K2L26L8N;K1:I19DN3Q5ZP
K1:78K2L26L8N,Cetyl Oleate,Cetyl Oleate (C34H66O2),C34H66O2,molecular formula,cetyl,K1:5ZA2S6B08X;K1:I19DN3Q5ZP
K1:I19DN3Q5ZP,Cetyl Laurate,Cetyl Laurate (C28H56O2),C28H56O2,molecular formula,cetyl,K1:5ZA2S6B08X;K1:78K2L26L8N
K1:418M5916WG,CHLORAL HYDRATE,CHLORAL HYDRATE (C2H3Cl3O2),C2H3Cl3O2,molecular formula,chloral,K1:FLI06WS32H
K1:FLI06WS32H,Chloral,Chloral (C2HCl3O),C2HCl3O,molecular formula,chloral,K1:418M5916WG
K1:66974FR9Q1,Chloramphenicol,Chloramphenicol (C11H12Cl2N2O5),C11H12Cl2N2O5,molecular formula,chloramphenicol,K1:ZCX619U9A1
K1:ZCX619U9A1,Chloramphenicol Succinate,Chloramphenicol Succinate (C15H16Cl2N2O8),C15H16Cl2N2O8,molecular formula,chloramphenicol,K1:66974FR9Q1
K1:45I14D8O27,Choline chloride,Choline chloride (C5H14ClNO),C5H14ClNO,molecular formula,choline,K1:7THJ3EG9SY;K1:KD510K1IQW;K1:N91BDP6H0X;K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M
K1:7THJ3EG9SY,Choline Hydroxide,Choline Hydroxide (C5H15NO2),C5H15NO2,molecular formula,choline,K1:45I14D8O27;K1:KD510K1IQW;K1:N91BDP6H0X;K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M
K1:KD510K1IQW,Choline salicylate,Choline salicylate (C12H19NO4),C12H19NO4,molecular formula,choline,K1:45I14D8O27;K1:7THJ3EG9SY;K1:N91BDP6H0X;K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M
K1:N91BDP6H0X,Choline,Choline (C5H14NO+),C5H14NO+,molecular formula,choline,K1:45I14D8O27;K1:7THJ3EG9SY;K1:KD510K1IQW;K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M
K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M,CHOLINE BITARTRATE,CHOLINE BITARTRATE (C9H19NO7),C9H19NO7,molecular formula,choline,K1:45I14D8O27;K1:7THJ3EG9SY;K1:KD510K1IQW;K1:N91BDP6H0X
K1:AQ86ZJ9U98,Chromic Phosphate,Chromic Phosphate (CrO4P),CrO4P,molecular formula,chromic,K1:WZB719DDER;K1:Y0C99N5TMZ
K1:WZB719DDER,Chromic Bromide,Chromic Bromide (Br3Cr),Br3Cr,molecular formula,chromic,K1:AQ86ZJ9U98;K1:Y0C99N5TMZ
K1:Y0C99N5TMZ,Chromic Sulfate,Chromic Sulfate (Cr2O12S3),Cr2O12S3,molecular formula,chromic,K1:AQ86ZJ9U98;K1:WZB719DDER
K1:3U02EL437C,Clindamycin,Clindamycin (C18H33ClN2O5S),C18H33ClN2O5S,molecular formula,clindamycin,K1:EH6D7113I8
K1:EH6D7113I8,Clindamycin Phosphate,Clindamycin Phosphate (C18H34ClN2O8PS),C18H34ClN2O8PS,molecular formula,clindamycin,K1:3U02EL437C
K1:85061HTR8T,Clocortolone Acetate,Clocortolone Acetate (C24H30ClFO5),C24H30ClFO5,molecular formula,clocortolone,K1:QBL8IZH14X
K1:QBL8IZH14X,Clocortolone Pivalate,Clocortolone Pivalate (C27H36ClFO5),C27H36ClFO5,molecular formula,clocortolone,K1:85061HTR8T
K1:0B5M38T47H,Cobaltous Phosphate,Cobaltous Phosphate (Co3O8P2),Co3O8P2,molecular formula,cobaltous,K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34
K1:26SK597UWV,Cobaltous Gluconate,Cobaltous Gluconate (C12H22CoO14),C12H22CoO14,molecular formula,cobaltous,K1:0B5M38T47H;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34
K1:2H2166872F,Cobaltous Nitrate Hexahydrate,Cobaltous Nitrate Hexahydrate (H12CoN2O12),H12CoN2O12,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34
K1:7H73A68FUV,Cobaltous Carbonate,Cobaltous Carbonate (CCoO3),CCoO3,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:2H2166872F;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34
K1:7M7RX75BAL,Cobaltous Bromide,Cobaltous Bromide (Br2Co),Br2Co,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:H7965X29HX;K1:RTJ1W9DF34
K1:H7965X29HX,Cobaltous Sulfate,Cobaltous Sulfate (CoO4S),CoO4S,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:RTJ1W9DF34
K1:RTJ1W9DF34,Cobaltous Iodide,Cobaltous Iodide (CoI2),CoI2,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX
K2:PSOXOVKYGWBTPB-UHFFFAOYSA-N,COMPOUND 17,COMPOUND 17 (C29H28F3NO5S2),C29H28F3NO5S2,molecular formula,compound 17,K2:SEDFZSHSBUXKAC-NIYFSFCBSA-N
K2:SEDFZSHSBUXKAC-NIYFSFCBSA-N,COMPOUND 17,COMPOUND 17 (C27H26N6O),C27H26N6O,molecular formula,compound 17,K2:PSOXOVKYGWBTPB-UHFFFAOYSA-N
K1:451W47IQ8X,Compound solution of sodium chloride,Compound solution of sodium chloride (Sodium Chloride),Sodium Chloride,FDA substance register name,compound solution of,K1:TU7HW0W0QT
K1:TU7HW0W0QT,Compound solution of sodium lactate,Compound solution of sodium lactate (Sodium lactate),Sodium lactate,FDA substance register name,compound solution of,K1:451W47IQ8X
K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N,CPD 2,CPD 2 (C40H52N8O10S2),C40H52N8O10S2,molecular formula,cpd 2,K2:FYMVGXGSNIVSKY-NRFANRHFSA-N;K2:JGQPZPLJOBHHBK-UFXYQILXSA-N;K2:QUQTXFIMYFMULC-OGOZKGDESA-N
K2:FYMVGXGSNIVSKY-NRFANRHFSA-N,CPD-2,CPD-2 (C23H19N5O),C23H19N5O,molecular formula,cpd 2,K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N;K2:JGQPZPLJOBHHBK-UFXYQILXSA-N;K2:QUQTXFIMYFMULC-OGOZKGDESA-N
K2:JGQPZPLJOBHHBK-UFXYQILXSA-N,CPD 2,CPD 2 (C42H45ClN8O7S),C42H45ClN8O7S,molecular formula,cpd 2,K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N;K2:FYMVGXGSNIVSKY-NRFANRHFSA-N;K2:QUQTXFIMYFMULC-OGOZKGDESA-N
K2:QUQTXFIMYFMULC-OGOZKGDESA-N,CPD 2,CPD 2 (C55H68N8O13S2),C55H68N8O13S2,molecular formula,cpd 2,K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N;K2:FYMVGXGSNIVSKY-NRFANRHFSA-N;K2:JGQPZPLJOBHHBK-UFXYQILXSA-N
K1:0HP2H86BS6,Cupric Nitrate Hexahydrate,Cupric Nitrate Hexahydrate (H12CuN2O12),H12CuN2O12,molecular formula,cupric,K1:1KC430K0ZN;K1:LRX7AJ16DT;K1:N8NP6FR80R;K1:P484053J2Y;K1:S2QG84156O
K1:1KC430K0ZN,Cupric Bromide,Cupric Bromide (Br2Cu),Br2Cu,molecular formula,cupric,K1:0HP2H86BS6;K1:LRX7AJ16DT;K1:N8NP6FR80R;K1:P484053J2Y;K1:S2QG84156O
K1:LRX7AJ16DT,Cupric Sulfate,Cupric Sulfate (H10CuO9S),H10CuO9S,molecular formula,cupric,K1:0HP2H86BS6;K1:1KC430K0ZN;K1:N8NP6FR80R;K1:P484053J2Y;K1:S2QG84156O
K1:N8NP6FR80R,Cupric Phosphate,Cupric Phosphate (Cu3O8P2),Cu3O8P2,molecular formula,cupric,K1:0HP2H86BS6;K1:1KC430K0ZN;K1:LRX7AJ16DT;K1:P484053J2Y;K1:S2QG84156O
K1:P484053J2Y,CUPRIC CHLORIDE ANHYDROUS,CUPRIC CHLORIDE ANHYDROUS (Cl2Cu),Cl2Cu,molecular formula,cupric,K1:0HP2H86BS6;K1:1KC430K0ZN;K1:LRX7AJ16DT;K1:N8NP6FR80R;K1:S2QG84156O
