key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
HOLD:existing:menadiol,Menadiol,Menadiol (UNII VQ093653DO),UNII VQ093653DO,FDA UNII,menadiol,K1:4TGB4HYC3M;K1:GRL65FEU3T,page-title
K1:00BH33GNGH,Cadmium,Cadmium (Cd),Cd,molecular formula,cadmium,K1:7726AXS0WH;K1:J6K4F9V3BA;K1:M0975E7Z8Z,page-title
K1:01Q9PC255D,Ammonium Chloride,Ammonium Chloride (UNII 01Q9PC255D),UNII 01Q9PC255D,FDA UNII,ammonium,K1:67M901L9NQ;K1:NJ5VT0FKLJ;K1:R0JB3224WS,page-title
K1:02F3473H9O,Magnesium Chloride,Magnesium Chloride (structure DHRRIBDTHFBPNG),structure DHRRIBDTHFBPNG,InChIKey skeleton,magnesium,K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:03J5ZE7KA5,Atropine Sulfate,Atropine Sulfate (Muscarinic acetylcholine receptor M1),Muscarinic acetylcholine receptor M1,Inxight primary target,atropine,K1:3Y03IC177D,page-title
K1:0570F37359,Voxilaprevir,Voxilaprevir (C40H52F4N6O9S),C40H52F4N6O9S,molecular formula,voxilaprevir,K2:MKDALIOACIEUJM-XCFCBFDASA-N,page-title
K1:06O0TC0VSM,Fucoxanthin,Fucoxanthin (C42H58O6),C42H58O6,molecular formula,fucoxanthin,K2:MNUMHDZZMWCBBX-JWAQYZNWSA-N,page-title
K1:06XEA2VD56,Sorbitan oleate,Sorbitan oleate (SORBITAN MONOOLEATE),SORBITAN MONOOLEATE,FDA substance register name,sorbitan,K1:6W9PS8B71J;K1:77K6Z421KU,page-title
K1:0B5M38T47H,Cobaltous Phosphate,Cobaltous Phosphate (Co3O8P2),Co3O8P2,molecular formula,cobaltous,K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34,page-title
K1:0HP2H86BS6,Cupric Nitrate Hexahydrate,Cupric Nitrate Hexahydrate (H12CuN2O12),H12CuN2O12,molecular formula,cupric,K1:1KC430K0ZN;K1:LRX7AJ16DT;K1:N8NP6FR80R;K1:P484053J2Y;K1:S2QG84156O,page-title
K1:0I2XIN602U,Ferric Chloride Hexahydrate,Ferric Chloride Hexahydrate (H12Cl3FeO6),H12Cl3FeO6,molecular formula,ferric,K1:3HWS7HF5XD;K1:434C3EI07T;K1:63G354M39Z;K1:9RDO128EH7;K1:N6BAA189V1;K1:U38V3ZVV3V;K1:UVP74NG1C5;K1:W108RK810P,page-title
K1:0J6Z13X3WO,Zinc Sulfate Anhydrous,Zinc Sulfate Anhydrous (UNII 0J6Z13X3WO),UNII 0J6Z13X3WO,FDA UNII,zinc,K1:86Q357L16B;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:N57JI2K7WP;K1:SOI2LOH54Z,page-title
K1:0MFM55849I,MAGALDRATE ANHYDROUS,MAGALDRATE ANHYDROUS (H31Al5Mg10O39S2),H31Al5Mg10O39S2,molecular formula,magaldrate,K1:6V88E24N5T,page-title
K1:0SPD480WFH,METHENOLONE ENANTHATE,METHENOLONE ENANTHATE (C27H42O3),C27H42O3,molecular formula,methenolone,K1:W75590VPKQ,page-title
K1:0U46U6E8UK,Nadide,Nadide (C21H27N7O14P2),C21H27N7O14P2,molecular formula,nadide,K1:BY8P107XEP,page-title
K1:0VK51DA1T2,Barium Chloride,Barium Chloride (BaCl2),BaCl2,molecular formula,barium,K1:24GP945V5T;K1:TI8NM689HW;K1:WKC4T7680A,page-title
K1:0YPR65R21J,SODIUM SULFATE,SODIUM SULFATE (H20Na2O14S),H20Na2O14S,molecular formula,sodium,K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:12133JR80S,Guanosine,Guanosine (cell proliferation),cell proliferation,Inxight primary target,guanosine,K1:16597955EP,page-title
