old_slug,target_drug_id,reason
1-3-dmaa,dimethylamylamine,MERGED
1-androsterone,1-androstenolone,MERGED
3-7-keto-dhea,7-keto-dehydroepiandrosterone,MERGED
3-alpha-hydroxyetioallocholan-17-one,androsterone,MERGED
3beta-hydroxy-5alpha-androst-1-en-17-one,1-androstenolone,MERGED
4-terpineol,terpinen-4-ol,MERGED
5-alpha-hydroxy-laxogenin,laxosterone,MERGED
5-androsten-3beta-ol-17-one,prasterone,MERGED
5-methyltetrahydrofolate-glucosamine,levomefolate,MERGED
7-keto-dhea,7-keto-dehydroepiandrosterone,MERGED
abobotulinumtoxina,botulinum-toxin-type-a,MERGED
acacia,gum-arabic,MERGED
acer-saccharum-sap,maple-syrup,MERGED
acetic-acid-glacial,acetic-acid,MERGED
acetylcysteine-lysine,acetylcysteine,MERGED
acetyl-hexapeptide-8-amide,acetyl-hexapeptide-8,MERGED
acetyl-l-carnitine,acetylcarnitine,MERGED
acetyl-l-carnitine-arginate,acetylcarnitine,MERGED
achillea-millefolium-whole,achillea-millefolium,MERGED
aconite,aconitum-napellus,MERGED
aconitum-lycoctonum,aconitum-lycoctonum-whole,MERGED
aconitum-napellus-whole,aconitum-napellus,MERGED
acremonium-strictum,sarocladium-strictum,MERGED
actaea-spicata-root,actaea-spicata,MERGED
ademetionine,sam-e,MERGED
adenosine-monophosphate,adenosine-phosphate,MERGED
adeps-bovis,tallow,MERGED
adeps-suillus,lard,MERGED
adonis-vernalis-whole,adonis-vernalis,MERGED
ado-trastuzumab-emtansine,trastuzumab-emtansine,MERGED
aescin,escin,MERGED
aesculus-x-carnea-flower,aesculus-carnea-flower,MERGED
aethusa-cynapium-whole,aethusa-cynapium,MERGED
agrimonia-eupatoria-whole,agrimonia-eupatoria,MERGED
air,medical-air,MERGED
albumen,egg-white,MERGED
albumin,albumin-human,MERGED
albumin-iodinated-i-131-serum,human-serum-albumin-i-131,MERGED
aloe-barbadensis-leaf,aloe-vera,MERGED
aloe-barbadensis-leaf-powder,aloe-vera,MERGED
aloe-vera-leaf,aloe-vera,MERGED
alpha-galactosidase,agalsidase-beta,MERGED
alpha-hydroxyisocaproic-acid,leucic-acid,MERGED
alpha-ketoglutarate,calcium-alpha-ketoglutarate,MERGED
alpha-ketoglutaric-acid,calcium-alpha-ketoglutarate,MERGED
alpha-tocopherol-acetate-dl,alpha-tocopherol,MERGED
alpha-tocopherol-dl,alpha-tocopherol,MERGED
alpha-tocopherol-succinate-d,alpha-tocopherol-acetate-d,MERGED
alseroxylon,rauwolfia-serpentina,MERGED
alumina,aluminum-oxide,MERGED
aluminum-zirconium-octachlorohydrex-gly,glycine,MERGED
aluminum-zirconium-pentachlorohydrex-gly,glycine,MERGED
aluminum-zirconium-tetrachlorohydrex-gly,glycine,MERGED
aluminum-zirconium-trichlorohydrate,aluminum-zirconium-octachlorohydrate,MERGED
aluminum-zirconium-trichlorohydrex-gly,glycine,MERGED
ambrosia-artemisiifolia-whole,ambrosia-artemisiifolia,MERGED
aminobutyric-acid,gamma-aminobutyric-acid,MERGED
aminophylline,theophylline,MERGED
aminosalicylate,aminosalicylic-acid,MERGED
ammonium,ammonia,MERGED
ammonium-cation,ammonia,MERGED
ammonium-glycyrrhizinate,glycyrrhizin,MERGED
ampelopsin,dihydromyricetin,MERGED
amphetamine-adipate,amphetamine-dl-aspartate,MERGED
amphetamine-aspartate-dextroamphetamine,amphetamine-dl-aspartate,MERGED
ampicillin-ampicillin,ampicillin,MERGED
anagallis-arvensis-extract,anagallis-arvensis,MERGED
anagallis-arvensis-whole,anagallis-arvensis,MERGED
anemone-pratensis,pulsatilla-pratensis,MERGED
angelica-sinensis-root,dong-quai,MERGED
anisum,anise,MERGED
anthocyanidins,anthocyanin,MERGED
anthocyanins,anthocyanin,MERGED
anthoxanthum-odoratum-whole,anthoxanthum-odoratum,MERGED
aqua,sterile-water-for-irrigation,MERGED
arachidic-acid,icosanoic-acid,MERGED
arctium-lappa-root,burdock,MERGED
arginine-alpha-ketoglutarate,calcium-alpha-ketoglutarate,MERGED
arginine-alpha-ketoisocaproate,calcium-alpha-ketoisocaproate,MERGED
arginine-pidolate,arginine-pyroglutamate,MERGED
arnica,arnica-montana,MERGED
arnica-montana-whole,arnica-montana,MERGED
arsenic-acid,calcium-arsenate,MERGED
artemisia-cina-pre-flowering-top,artemisia-cina-flower,MERGED
asafetida,asafoetida,MERGED
asarum-europaeum-whole,asarum-europaeum,MERGED
asian-ginseng,ginseng,MERGED
aspen,populus-tremula-flowering-top,MERGED
aspergillus-niger-var-niger,aspergillus-niger,MERGED
astemizole,kelp,MERGED
astragalus-mongholicus-root,astragalus-propinquus-root,MERGED
atropa-belladonna,belladonna,MERGED
azilsartan-kamedoxomil,azilsartan-medoxomil,MERGED
bakers-yeast,saccharomyces-cerevisiae,MERGED
balsam-pear,bitter-melon,MERGED
balsam-peru,balsam-of-peru,MERGED
baptisia-tinctoria-whole,baptisia-tinctoria,MERGED
barium-acetate,barium,MERGED
barium-citrate,barium,MERGED
bee-propolis,propolis,MERGED
bellis-perennis-whole,bellis-perennis,MERGED
benzophenone-3,oxybenzone,MERGED
bepotastine-besilate,bepotastine,MERGED
berberis-aquifolium-root-bark,mahonia-aquifolium-root-bark,MERGED
bergamot-oil,bergamot,MERGED
beta-galactosidase,lactase,MERGED
beta-vulgaris,beta-vulgaris-whole,MERGED
bethroot,trillium-erectum-root,MERGED
betula-alba-leaf,betula-pubescens-leaf,MERGED
bicarbonate-ion,bicarbonate,MERGED
bictegravir-emtricitabine-and-tenofovir-alafenamide,tenofovir-alafenamide,MERGED
bifidobacteria,bifidobacterium,MERGED
bifidobacterium-animalis-lactis,lactobacillus,MERGED
bindweed,convolvulus-arvensis-whole,MERGED
bioflavonoid,rutin,MERGED
bis-ethylhexyloxyphenol-methoxyphenyl-triazine,bemotrizinol,MERGED
bismuth-citrate,bismuth,MERGED
bismuth-phosphate,bismuth,MERGED
bismuth-subgallate,gallic-acid,MERGED
bisoctrizole,methylene-bis-benzotriazolyl-tetramethylbutylphenol,MERGED
black-hellebore,helleborus-niger-root,MERGED
black-mustard,black-mustard-seed,MERGED
black-seed,black-seed-oil,MERGED
bladderwrack,fucus-vesiculosus,MERGED
blonde-psyllium,blond-psyllium,MERGED
blue-cohosh,caulophyllum-thalictroides-root,MERGED
boneset,eupatorium-perfoliatum-whole,MERGED
bos-taurus-bile,ox-bile,MERGED
bos-taurus-pituitary-gland,bos-taurus-pituitary-gland-posterior,MERGED
brassica-rapa-subsp-oleifera-pollen,brassica-rapa-pollen,MERGED
brewers-yeast,saccharomyces-cerevisiae,MERGED
bromelains,bromelain,MERGED
broom,bromine,MERGED
bryonia,bryonia-alba-root,MERGED
bryonia-cretica-subsp-dioica-root,bryonia-dioica-root,MERGED
button-mushroom,cultivated-mushroom,MERGED
butyl-methoxydibenzoylmethane,avobenzone,MERGED
butyric-acid,sodium-butyrate,MERGED
butyrospermum-parkii-butter,shea-butter,MERGED
cabozantinib-s-malate,cabozantinib,MERGED
cacao,cocoa,MERGED
cajeput,cajuput-oil,MERGED
calamus,acorus-calamus-root,MERGED
calcipotriene-hydrate,calcipotriene,MERGED
calcitonin-salmon-recombinant,calcitonin-salmon,MERGED
calcium-arginine-alpha-ketoisocaproate,calcium-alpha-ketoisocaproate,MERGED
calcium-ascorbate,sodium-ascorbate,MERGED
calcium-beta-hydroxybutyrate,beta-hydroxybutyrate,MERGED
calcium-bicarbonate,bicarbonate,MERGED
calcium-magnesium-phytate,calcium-phytate,MERGED
calcium-phosphate,calcium-phosphate-dibasic,MERGED
calcium-picrate,picric-acid,MERGED
calcium-sulfate,calcium-sulfate-unspecified-form,MERGED
california-poppy,eschscholzia-californica,MERGED
caltha-palustris,caltha-palustris-whole,MERGED
camellia-sinensis-leaf,green-tea,MERGED
camu-camu-extract,camu-camu,MERGED
candelilla-wax,candelilla,MERGED
capsaisin,capsaicin,MERGED
capsella-bursa-pastoris-whole,capsella-bursa-pastoris,MERGED
caraway-seed,caraway,MERGED
carbidopa-hydrate,carbidopa,MERGED
carbon,activated-charcoal,MERGED
carbonate,bicarbonate,MERGED
carbonate-ion,bicarbonate,MERGED
carbon-dioxide-usp,carbon-dioxide,MERGED
carboxymethylcellulose-sodium-unspecified-form,carboxymethylcellulose-sodium-unspecified,MERGED
carotenoid,carotenoids,MERGED
carya-tomentosa-pollen,carya-alba-pollen,MERGED
castor,castor-oil,MERGED
cayenne,capsicum,MERGED
cefadroxil-cefadroxil,cefadroxil,MERGED
centaury,centaurium-erythraea,MERGED
centella-asiatica-leaf,gotu-kola,MERGED
centella-asiatica-whole,centella-asiatica,MERGED
cervus-elaphus-velvet,deer-velvet,MERGED
cetostearyl-alcohol,cetearyl-alcohol,MERGED
cetraria-islandica-whole,cetraria-islandica-subsp-islandica,MERGED
ceylon-cinnamon,cinnamon,MERGED
chaparral,larrea-tridentata-leaf,MERGED
charcoal-powder,charcoal,MERGED
chard,swiss-chard,MERGED
chelidonium-majus-whole,chelidonium-majus,MERGED
chelone-glabra,chelone-glabra-whole,MERGED
chenopodium,chenopodium-ambrosioides,MERGED
cherry,menthol-unspecified-form,MERGED
chickweed,stellaria-media,MERGED
chicory,chicory-root,MERGED
chimaphila-umbellata-whole,chimaphila-umbellata,MERGED
chinese-rhubarb-root,rheum-officinale-root,MERGED
chlorhexidine-digluconate,chlorhexidine,MERGED
chloride-ion,hydrochloric-acid,MERGED
chocolate,cocoa,MERGED
choline-fenofibrate,fenofibric-acid,MERGED
chromium-ascorbate,sodium-ascorbate,MERGED
chromium-dinicotinate,niacin,MERGED
chromium-nicotinate,niacin,MERGED
cimicifuga-racemosa-root,black-cohosh,MERGED
cinchona,cinchona-officinalis-bark,MERGED
cinnamomum,cinnamon,MERGED
cinnamon-bark,cinnamon,MERGED
citicholine,citicoline,MERGED
citronella-oil,lavender-oil,MERGED
citrulline-malate,l-citrulline,MERGED
citrulline-nitrate,l-citrulline,MERGED
clavulanic-acid,clavulanate,MERGED
clematis-vitalba-pre-flowering-top,clematis-vitalba-top,MERGED
clitoria-ternatea-flower,butterfly-pea,MERGED
clopidogrel-bisulfate,clopidogrel,MERGED
clostridioides-difficile,clostridium-difficile,MERGED
cloves,clove,MERGED
codeine-polistirex,codeine,MERGED
coenzyme-q-10,coenzyme-q10,MERGED
coffee-bean,coffee,MERGED
cola,cocaine,MERGED
cola-nut,cola-nitida-seed,MERGED
collagenase,collagenase-clostridium-histolyticum,MERGED
colloidal-silver,silver,MERGED
colocynth,citrullus-colocynthis-fruit-pulp,MERGED
copper-cu-64-dotatate,lutetium-oxodotreotide-lu-177,MERGED
copper-oxodotreotide-cu-64,lutetium-oxodotreotide-lu-177,MERGED
coral,oyster-shell-calcium-carbonate-crude,MERGED
cordycepic-acid,mannitol,MERGED
corticotropin,repository-corticotropin,MERGED
cotton-fiber,cotton,MERGED
coumaric-acid,hydroxycinnamic-acid,MERGED
cow-milk,milk,MERGED
cowslip,caltha-palustris-whole,MERGED
cramp-bark,viburnum-opulus-bark,MERGED
cream,cow-milk-fat,MERGED
crocanthemum-canadense,helianthemum-canadense,MERGED
crocus-sativus-flower,saffron-extract,MERGED
cubeb,piper-cubeba-fruit,MERGED
cupressus-sempervirens-leaf-oil,cypress,MERGED
curcuma,curcumin,MERGED
cyanocobalamin-co-57,vitamin-b12,MERGED
cyanocobalamin-co-58,vitamin-b,MERGED
cyclamic-acid,sodium-cyclamate,MERGED
