key,slug,tier,display_name,indexable
"COMBO:{IK:BRLQWZUYTZBJKN-UHFFFAOYSA-N,K1:506T60A25R}",glusoferron,3,GLUSOFERRON,f
"COMBO:{IK:DNIAPMSPPWPWGF-VKHMYHEASA-N,K1:1ULL0QJ8UC}",dapagliflozin,1,DAPAGLIFLOZIN PROPANEDIOL,f
"COMBO:{IK:DSFGXPJYDCSWTA-SECBINFHSA-N,K1:2679MF687A}",xantinol-nicotinate,3,Xantinol Nicotinate,f
"COMBO:{IK:DSLZVSRJTYRBFB-AJSXGEPRSA-N,K1:GOO8ZCK7RT}",dexisometheptene-mucate,3,DEXISOMETHEPTENE MUCATE,f
"COMBO:{IK:JAZBEHYOTPTENJ-RCHUDCCISA-N,IK:OQOCQFSPEWCSDO-RCHUDCCISA-N,IK:YUFFSWGQGVEMMI-RCHUDCCISA-N}",omega-3-pentaenoic-acids,3,OMEGA-3-PENTAENOIC ACIDS,f
"COMBO:{IK:SBFXHXZNBNFPHV-CROXOCCCSA-N,K1:05D48LUM4Z,K1:202229IR8Y,K1:IK4C1OC8NE}",ergoloid-mesylates,2,ERGOLOID MESYLATES,f
"COMBO:{IK:XUFIWSHGXVLULG-IBLUXPFWSA-N,K1:AV4A72IATD}",chembl3039597,3,CHEMBL3039597,f
"COMBO:{K1:00A9JB14O6,K1:2027T69J24}",metesind-glucuronate,3,METESIND GLUCURONATE,f
"COMBO:{K1:01704YP3MO,K1:HN3OFO5036}",aminophenazone-cyclamate,3,AMINOPHENAZONE CYCLAMATE,f
"COMBO:{K1:04Z20NMK31,K1:5A614L51CT}",inosine-pranobex,2,INOSINE PRANOBEX,f
"COMBO:{K1:071P4J77HF,K1:GN5P7K3T8S}",clofezone,3,CLOFEZONE,f
"COMBO:{K1:0HU2UI27HF,K1:TE7660XO1C}",glycine-propionyl-l-carnitine,1,Glycine Propionyl-L-Carnitine,f
"COMBO:{K1:0I55128JYK,K1:TE7660XO1C}",theophylline-sodium-glycinate,1,THEOPHYLLINE SODIUM GLYCINATE,f
"COMBO:{K1:0I8Y3P32UF,K1:724L30Y2QR}",berberine-ursodeoxycholate,3,BERBERINE URSODEOXYCHOLATE,f
"COMBO:{K1:0J48LPH2TH,K1:9G64RSX1XD}",co-zidocapt,3,CO-ZIDOCAPT,f
"COMBO:{K1:0RBV727H71,K1:2K2DJ01BB7,K1:78YC2MAX4O,K1:7S686LQT6T,K1:9KJL21T0QJ,K1:AAN7QOV9EA,K1:HR3EZB17BI,K1:NS3OZT14QT,K1:ZAD9OKH9JC}",omega-3-carboxylic-acids,1,OMEGA-3-CARBOXYLIC ACIDS,f
"COMBO:{K1:0RH81L854J,K1:F06SGE49M6}",magnesium-pyridoxal-5-phosphate-glutamate,3,MAGNESIUM PYRIDOXAL 5-PHOSPHATE GLUTAMATE,f
"COMBO:{K1:144O8QL0L1,K1:R3D835XVCR}",diclofenac-epolamine,1,DICLOFENAC EPOLAMINE,f
"COMBO:{K1:16CHD79MIX,K1:6HG8UB2MUY}",iothalamate-meglumine,2,IOTHALAMATE MEGLUMINE,f
"COMBO:{K1:17ERJ0MKGI,K1:80M03YXJ7I}",sacubitril,1,Sacubitril / Valsartan,f
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",cannabinoids,1,NABIXIMOLS,t
"COMBO:{K1:1EJ6Z6Q368,K1:EOR26LQQ24}",bempedoic-acid-ezetimibe,2,"Bempedoic Acid, Ezetimibe",f
"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X}",taurine-alpha-ketoglutarate,3,Taurine Alpha-Ketoglutarate,f
"COMBO:{K1:1J444QC288,K1:80M03YXJ7I}",amlodipine-valsartan,2,Amlodipine / Valsartan,f
"COMBO:{K1:1L4806J2QF,K1:W9WZN9A0GM}",adapalene-benzoyl-peroxide,2,"Adapalene, Benzoyl Peroxide",f
"COMBO:{K1:1RTM4PAL0V,K1:9G34HU7RV0}",piperazine-edetate-calcium,2,PIPERAZINE EDETATE CALCIUM,f
"COMBO:{K1:1RTM4PAL0V,K1:M494UE2YEP}",acefylline-piperazine,2,ACEFYLLINE PIPERAZINE,f
"COMBO:{K1:1RTM4PAL0V,K1:QTL48N278K}",estropipate-2,2,ESTROPIPATE,f
"COMBO:{K1:1ULL0QJ8UC,K1:8I7IO46IVQ}",dapagliflozin-saxagliptin,2,"Dapagliflozin, Saxagliptin",f
"COMBO:{K1:1ULL0QJ8UC,K1:9100L32L2N}",dapagliflozin-metformin,2,"Dapagliflozin, Metformin",f
"COMBO:{K1:200168S0CL,K1:M494UE2YEP}",ambroxol-acefyllinate,3,AMBROXOL ACEFYLLINATE,f
"COMBO:{K1:23521W1S24,K1:9EM05410Q9}",amoxicillin-clavulanic-acid,3,AMOXICILLIN/CLAVULANIC ACID,f
"COMBO:{K1:23OW28RS7P,K1:R9M4FJE48E}",quinupristin-dalfopristin,3,QUINUPRISTIN/DALFOPRISTIN,f
"COMBO:{K1:25X51I8RD4,K1:PQ6CK8PD0R}",niacinamide-ascorbate,2,Niacinamide Ascorbate,f
"COMBO:{K1:2679MF687A,K1:TE7660XO1C}",chromium-dinicotinate-glycinate,3,Chromium Dinicotinate Glycinate,f
"COMBO:{K1:2679MF687A,K1:TN1B5910V2}",xanthinol-niacinate,2,XANTHINOL NIACINATE,f
"COMBO:{K1:2N6K9DRA24,K2:RFMMMVDNIPUKGG-UHFFFAOYSA-N}",deanol-aceglumate,3,DEANOL ACEGLUMATE,f
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1}",dolutegravir-and-lamivudine,2,Dolutegravir and Lamivudine,f
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS}",abacavir-dolutegravir-lamivudine,2,"Abacavir, Dolutegravir, Lamivudine",f
"COMBO:{K1:2WTB3V159F,K1:F0R1QK73KB}",vitamin-b,2,CYANOCOBALAMIN CO 58,f
"COMBO:{K1:3N2N8OOR7X,K1:9DLQ4CIU6V}",ipragliflozin-l-proline,3,IPRAGLIFLOZIN L-PROLINE,f
"COMBO:{K1:3QN8BYN5QF,K1:DIQ16UC154}",fingolimod-lauryl,2,FINGOLIMOD LAURYL SULFATE,f
"COMBO:{K1:3SCV180C9W,K1:418M5916WG}",chloral-betaine,2,CHLORAL BETAINE,f
"COMBO:{K1:3T006GV98U,K1:XV74C1N1AE}",quinhydrone,3,Quinhydrone,f
"COMBO:{K1:3THM379K8A,K1:8ID597Z82X}",pyridoxal-alpha-ketoglutarate,3,Pyridoxal Alpha-Ketoglutarate,f
"COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N}",linagliptin-and-metformin,2,Linagliptin and Metformin,f
"COMBO:{K1:4071IF7E93,K1:OP0UW79H66}",methylcobalamin,1,Methylcobalamin,f
"COMBO:{K1:418M5916WG,K1:T3CHA1B51H}",dichloralphenazone,3,DICHLORALPHENAZONE,f
"COMBO:{K1:423D2T571U,K1:81K9V7M3A3}",marvelon,3,MARVELON,f
"COMBO:{K1:46627O600J,K1:KR87B45RGH}",carbidopa-levodopa,2,"Carbidopa, Levodopa",f
"COMBO:{K1:4G9EDB6V73,K1:C3ZUM5A33F}",amxt-1501-dicaprate,3,AMXT-1501 DICAPRATE,f
"COMBO:{K1:4G9EDB6V73,K1:R7EZ772VG2}",enlicitide-decanoate,1,ENLICITIDE DECANOATE,f
"COMBO:{K1:4QD397987E,K1:8ID597Z82X}",histidine-alpha-ketoglutarate,3,Histidine Alpha-Ketoglutarate,f
"COMBO:{K1:4RII332O0R,K1:6HG8UB2MUY}",iodamide-meglumine,1,IODAMIDE MEGLUMINE,f
"COMBO:{K1:4TI98Z838E,K1:5B2546MB5Z,K1:T18F433X4S}",elagolix-sodium-estradiol-norethindrone,1,"Elagolix Sodium, Estradiol, Norethindrone",f
"COMBO:{K1:4Z8Y51M438,K1:Q42T66VG0C}",penicillin-g-procaine,2,PENICILLIN G PROCAINE,f
"COMBO:{K1:58447S8P4L,K1:MXF9G4I1V5}",sulfatolamide,3,SULFATOLAMIDE,f
"COMBO:{K1:5UVC90J1LK,K1:6HG8UB2MUY}",diatrizoate-meglumine,2,DIATRIZOATE MEGLUMINE,f
"COMBO:{K1:61H4T033E5,K1:MU72812GK0}",creatine-orotate,3,Creatine Orotate,f
"COMBO:{K1:6287WC5J2L,K1:V7NW98OB34}",phytoestrogen,3,Phytoestrogen,f
"COMBO:{K1:6315412YVF,K1:6HG8UB2MUY}",delafloxacin-meglumine,2,DELAFLOXACIN MEGLUMINE,f
"COMBO:{K1:63937KV33D,K1:65R938S4DV}",erythromycin-lactobionate,2,ERYTHROMYCIN LACTOBIONATE,f
"COMBO:{K1:63937KV33D,K1:B1F50160Z2}",erythromycin-gluceptate,2,ERYTHROMYCIN GLUCEPTATE,f
"COMBO:{K1:642I97LB5B,K1:W8TYE9V9BX}",prethcamide,3,PRETHCAMIDE,f
"COMBO:{K1:6C282481IP,K1:SZB83O1W42}",ertugliflozin,1,ERTUGLIFLOZIN PIDOLATE,t
"COMBO:{K1:6DC9Q167V3,K1:A0JWA85V8F}",atorvastatin-calcium-propylene-glycol-solvate,1,Atorvastatin Calcium Propylene Glycol Solvate,f
"COMBO:{K1:6DC9Q167V3,K1:YO603Y8113}",darunavir-propylene-glycolate,2,Darunavir Propylene Glycolate,f
"COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC}",fosaprepitant-dimeglumine,2,FOSAPREPITANT DIMEGLUMINE,f
"COMBO:{K1:6HG8UB2MUY,K1:8FG9H9D31J}",tafamidis,2,TAFAMIDIS MEGLUMINE,f
"COMBO:{K1:6HG8UB2MUY,K1:CM1N99QR1M}",meglumine-metrizoate-2,2,MEGLUMINE METRIZOATE,f
"COMBO:{K1:6HG8UB2MUY,K1:NS1Y283HW4}",iodoxamate,1,IODOXAMATE MEGLUMINE,f
"COMBO:{K1:6HG8UB2MUY,K1:QE1Q24M65Y}",aramchol-meglumine,3,ARAMCHOL MEGLUMINE,f
"COMBO:{K1:6HG8UB2MUY,K1:S125DW66N8}",bevirimat-dimeglumine,3,BEVIRIMAT DIMEGLUMINE,f
"COMBO:{K1:6HG8UB2MUY,K1:TKQ858A3VW}",iodipamide-meglumine,2,IODIPAMIDE MEGLUMINE,f
"COMBO:{K1:6HG8UB2MUY,K1:X015V3LF01}",tetrazolast-meglumine,3,TETRAZOLAST MEGLUMINE,f
"COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}",ioxaglate-meglumine,2,IOXAGLATE MEGLUMINE,f
"COMBO:{K1:7673326042,K1:P7V86EYZ5L}",irinotecan-sucrosofate,3,IRINOTECAN SUCROSOFATE,f
"COMBO:{K1:78OY3Z0P7Z,K1:R9QTB5E82N}",acrisorcin,1,ACRISORCIN,f
"COMBO:{K1:7A314HQM0I,K1:PQ6CK8PD0R}",technetium-tc-99m-ferpentetate-kit,1,Technetium Tc-99m Ferpentetate Kit,f
"COMBO:{K1:8558G7RUTR,K1:MU72812GK0}",creatine-pyruvate,1,Creatine Pyruvate,f
"COMBO:{K1:8G388563M7,K1:TE0865N2ET}",telotristat-etiprate,1,TELOTRISTAT ETIPRATE,f
"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}",dimenhydrinate,2,DIMENHYDRINATE,f
"COMBO:{K1:8GTS82S83M,K1:M494UE2YEP}",etanautine,3,ETANAUTINE,f
"COMBO:{K1:8ID597Z82X,K1:E524N2IXA3}",ornithine-alpha-ketoglutarate,3,ORNITHINE OXOGLURATE,f
"COMBO:{K1:8ID597Z82X,K1:KV2JZ1BI6Z}",pyridoxine-alpha-ketoglutarate,3,Pyridoxine Alpha-Ketoglutarate,f
"COMBO:{K1:8ID597Z82X,K1:MU72812GK0}",creatine-alpha-ketoglutarate,3,Creatine Alpha-Ketoglutarate,f
"COMBO:{K1:8W8T17847W,K1:R16CO5Y76E}",carbaspirin-calcium,3,CARBASPIRIN CALCIUM,f
"COMBO:{K1:9100L32L2N,K1:HDC1R2M35U}",empagliflozin-metformin,2,"Empagliflozin, Metformin",f
"COMBO:{K1:9100L32L2N,K1:JHC049LO86}",alogliptin-and-metformin,1,Alogliptin and Metformin,f
"COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}",sitagliptin-metformin,1,"Metformin Hydrochloride, Sitagliptin",t
"COMBO:{K1:A49OS0F91S,K1:EFW857872Q}",butamben-picrate,1,BUTAMBEN PICRATE,f
"COMBO:{K1:A4DU555RMD,K1:VP36V95O3T}",crelosidenib-gentisate,3,CRELOSIDENIB GENTISATE,f
