old_slug,new_slug,reason
abarelix-2,abarelix,MERGED: K2:AIWRTTMUVOZGPW-HSPKUQOVSA-N adopted the unnumbered slug of a page it absorbed
aducanumab-avwa,aducanumab,MERGED into K1:105J35OE21 by the adjudicated identity decisions (3.4)
amivantamab-vmjw,amivantamab,MERGED into K1:0JSR7Z0NB6 by the adjudicated identity decisions (3.4)
anhydrous-citric-acid-2,anhydrous-citric-acid,MERGED: K1:XF417D3PSL adopted the unnumbered slug of a page it absorbed
anifrolumab-fnia,anifrolumab,MERGED into K1:38RL9AE51Q by the adjudicated identity decisions (3.4)
ansuvimab-zykl,ansuvimab,MERGED into K1:TG8IQ19NG2 by the adjudicated identity decisions (3.4)
atacicept-vymj,atacicept,MERGED into K1:K3D9A0ICQ3 by the adjudicated identity decisions (3.4)
avalglucosidase-alfa-ngpt,avalglucosidase-alfa,MERGED into K1:EO144CP0X9 by the adjudicated identity decisions (3.4)
axatilimab-csfr,axatilimab,MERGED into K1:R96Z451BMC by the adjudicated identity decisions (3.4)
belantamab-mafodotin-blmf,belantamab-mafodotin,MERGED into K1:DB1041CXDG by the adjudicated identity decisions (3.4)
benzhydrocodone-2,benzhydrocodone,MERGED into HOLD:existing:benzhydrocodone by identity pass 3.2
benzonatate-2,benzonatate,MERGED into K1:5P4DHS6ENR by identity pass 3.2
benzquinamide-2,benzquinamide,MERGED into HOLD:existing:benzquinamide by identity pass 3.2
bevacizumab-vikg,bevacizumab,MERGED into K1:2S9ZZM9Q9V by the adjudicated identity decisions (3.4)
bimekizumab-bkzx,bimekizumab,MERGED into K1:09495UIM6V by the adjudicated identity decisions (3.4)
brolucizumab-dbll,brolucizumab,MERGED into K1:XSZ53G39H5 by the adjudicated identity decisions (3.4)
burosumab-twza,burosumab,MERGED into K1:G9WJT6RD29 by the adjudicated identity decisions (3.4)
calaspargase-pegol-mknl,calaspargase-pegol,MERGED into K1:T9FVH03HMZ by the adjudicated identity decisions (3.4)
calcitonin-human-2,calcitonin-human,MERGED into K1:I0IO929019 by identity pass 3.2
calcitonin-salmon-2,calcitonin-salmon,MERGED into K1:7SFC6U2VI5 by identity pass 3.2
cefprozil-2,cefprozil,MERGED into K1:4W0459ZA4V by identity pass 3.2
