page_a,page_b,why_unresolved,evidence
HOLD:existing:clobetasol,K1:ADN79D536H,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Clobetasol"", ""b"": ""CLOBETASOL"", ""inchikey_a"": ""CBGUOGMQLZIXBE-XGQKBEPLSA-N"", ""inchikey_b"": ""FCSHDIVRCWTZOX-DVTGEIKXSA-N"", ""origin"": ""suspected-nominal:clobetasol"", ""unii"": ""ADN79D536H"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
HOLD:existing:cortisone,K1:V27W9254FZ,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Cortisone"", ""b"": ""Cortisone"", ""inchikey_a"": ""ITRJWOMZKQRYTA-RFZYENFJSA-N"", ""inchikey_b"": ""MFYSYFVPBJMHGN-ZPOLXVRWSA-N"", ""origin"": ""suspected-nominal:cortisone"", ""unii"": ""V27W9254FZ"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
HOLD:existing:megestrol,K1:EA6LD1M70M,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Megestrol"", ""b"": ""Megestrol"", ""inchikey_a"": ""RQZAXGRLVPAYTJ-GQFGMJRRSA-N"", ""inchikey_b"": ""VXIMPSPISRVBPZ-NWUMPJBXSA-N"", ""origin"": ""unii:EA6LD1M70M"", ""unii"": ""EA6LD1M70M"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
K1:01Q9PC255D,K1:5138Q19F1X,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Ammonium Chloride"", ""b"": ""Ammonia"", ""gsrs_relationship"": null, ""inchikey_a"": ""NLXLAEXVIDQMFP-UHFFFAOYSA-N"", ""inchikey_b"": ""QGZKDVFQNNGYKY-UHFFFAOYSA-N"", ""name_a"": ""ammonium"", ""name_b"": ""ammonia"", ""origin"": ""slug-collision:ammonia"", ""unii_a"": ""01Q9PC255D"", ""unii_b"": ""5138Q19F1X""}"
K1:094ZI81Y45,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Tamoxifen"", ""b"": ""Anhydrous Citric Acid"", ""inchikey_child"": ""NKANXQFJJICGDU-QPLCGJKRSA-N"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""tamoxifen"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:0RH81L854J,K4:glutamine nitrate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Glutamine"", ""b"": ""Glutamine Nitrate"", ""inchikey_a"": ""ZDXPYRJPNDTMRX-VKHMYHEASA-N"", ""inchikey_b"": null, ""normalised"": ""glutamine"", ""origin"": ""name:glutamine"", ""unii_a"": ""0RH81L854J"", ""unii_b"": null}"
K1:11P2JDE17B,K1:7GB7U7M282,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""BETA-ALANINE"", ""b"": ""Hypoglycine A"", ""gsrs_relationship"": null, ""inchikey_a"": ""UCMIRNVEIXFBKS-UHFFFAOYSA-N"", ""inchikey_b"": ""OOJZCXFXPZGUBJ-RITPCOANSA-N"", ""name_a"": ""beta alanine"", ""name_b"": ""hypoglycine a"", ""origin"": ""slug-collision:beta-alanine"", ""unii_a"": ""11P2JDE17B"", ""unii_b"": ""7GB7U7M282""}"
K1:11P2JDE17B,K1:OF5P57N2ZX,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""BETA-ALANINE"", ""b"": ""Alanine"", ""gsrs_relationship"": null, ""inchikey_a"": ""UCMIRNVEIXFBKS-UHFFFAOYSA-N"", ""inchikey_b"": ""QNAYBMKLOCPYGJ-REOHCLBHSA-N"", ""name_a"": ""beta alanine"", ""name_b"": ""alanine"", ""origin"": ""suspected-nominal:alanine"", ""unii_a"": ""11P2JDE17B"", ""unii_b"": ""OF5P57N2ZX""}"
K1:169D1260KM,K1:EAO03PE1TC,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""NITROPRUSSIDE"", ""b"": ""SODIUM NITROPRUSSIDE"", ""gsrs_relationship"": null, ""inchikey_a"": ""YEESUBCSWGVPCE-UHFFFAOYSA-N"", ""inchikey_b"": ""SPBWMYPZWNFWES-UHFFFAOYSA-N"", ""name_a"": ""nitroprusside"", ""name_b"": ""sodium nitroprusside"", ""origin"": ""suspected-nominal:nitroprusside"", ""unii_a"": ""169D1260KM"", ""unii_b"": ""EAO03PE1TC""}"
K1:17LEI49C2G,K1:3A9RD92BS4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""GALLIUM MALTOLATE"", ""b"": ""Maltol"", ""inchikey_child"": ""ASYYOZSDALANRF-UHFFFAOYSA-K"", ""inchikey_parent"": ""XPCTZQVDEJYUGT-UHFFFAOYSA-N"", ""name_child"": ""gallium maltolate"", ""name_parent"": ""maltol"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:1PIO77PW2X,K1:XGF7L72M0F,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Fish"", ""b"": ""Fish Oil"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""fish"", ""name_b"": ""fish oil"", ""origin"": ""suspected-nominal:fish"", ""unii_a"": ""1PIO77PW2X"", ""unii_b"": ""XGF7L72M0F""}"
K1:1XU104G55N,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:1XU104G55N"", ""K1:P4SG24WI5Q""], ""origin"": ""suspected-nominal:colesevelam""}"
K1:1XU104G55N,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:P4SG24WI5Q"", ""K1:1XU104G55N""], ""origin"": ""slug-collision:colesevelam""}"
K1:1Y17CTI5SR,K3:CHEMBL2108974,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Insulin human"", ""b"": ""INSULIN HUMAN ZINC"", ""inchikey_a"": ""PBGKTOXHQIOBKM-FHFVDXKLSA-N"", ""inchikey_b"": null, ""normalised"": ""insulin human"", ""origin"": ""name:insulin human"", ""unii_a"": ""1Y17CTI5SR"", ""unii_b"": null}"
K1:241ATL177A,K1:L7HT8F1ZOD,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Soybean Oil"", ""b"": ""Soybean"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""soybean oil"", ""name_b"": ""soybean"", ""origin"": ""suspected-nominal:soybean"", ""unii_a"": ""241ATL177A"", ""unii_b"": ""L7HT8F1ZOD""}"
K1:26GW6E5M72,K1:M4F288ZCTR,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Heparin (PORCINE; 7000 MW)"", ""b"": ""HEPARIN CALCIUM"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""heparin porcine 7000 mw"", ""name_b"": ""heparin"", ""origin"": ""suspected-nominal:heparin"", ""unii_a"": ""26GW6E5M72"", ""unii_b"": ""M4F288ZCTR""}"
K1:3LE3D9D6OY,K1:G2SH0XKK91,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Vitamin A Acetate"", ""b"": ""Retinol"", ""gsrs_relationship"": null, ""inchikey_a"": ""QGNJRVVDBSJHIZ-QHLGVNSISA-N"", ""inchikey_b"": ""FPIPGXGPPPQFEQ-OVSJKPMPSA-N"", ""name_a"": ""vitamin a"", ""name_b"": ""retinol"", ""origin"": ""slug-collision:vitamin-a"", ""unii_a"": ""3LE3D9D6OY"", ""unii_b"": ""G2SH0XKK91""}"
K1:411VRN1TV4,K1:8M4L3H2ZVZ,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Nitric Acid"", ""b"": ""SODIUM NITRATE"", ""gsrs_relationship"": null, ""inchikey_a"": ""GRYLNZFGIOXLOG-UHFFFAOYSA-N"", ""inchikey_b"": ""VWDWKYIASSYTQR-UHFFFAOYSA-N"", ""name_a"": ""nitric acid"", ""name_b"": ""sodium"", ""origin"": ""suspected-nominal:nitrate"", ""unii_a"": ""411VRN1TV4"", ""unii_b"": ""8M4L3H2ZVZ""}"
K1:411VRN1TV4,K1:RU45X2JN0Z,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Nitric Acid"", ""b"": ""Potassium Nitrate"", ""gsrs_relationship"": null, ""inchikey_a"": ""GRYLNZFGIOXLOG-UHFFFAOYSA-N"", ""inchikey_b"": ""FGIUAXJPYTZDNR-UHFFFAOYSA-N"", ""name_a"": ""nitric acid"", ""name_b"": ""potassium"", ""origin"": ""suspected-nominal:nitrate"", ""unii_a"": ""411VRN1TV4"", ""unii_b"": ""RU45X2JN0Z""}"
K1:438HCF2X0M,K1:L7CHH2B2J0,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Defibrotide (BOVINE)"", ""b"": ""DEFIBROTIDE SODIUM"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""defibrotide bovine"", ""name_b"": ""defibrotide"", ""origin"": ""suspected-nominal:defibrotide"", ""unii_a"": ""438HCF2X0M"", ""unii_b"": ""L7CHH2B2J0""}"
K1:45P3261C7T,K1:BQN1B9B9HA,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Sodium Carbonate"", ""b"": ""Potassium Carbonate"", ""gsrs_relationship"": null, ""inchikey_a"": ""CDBYLPFSWZWCQE-UHFFFAOYSA-L"", ""inchikey_b"": ""BWHMMNNQKKPAPP-UHFFFAOYSA-L"", ""name_a"": ""sodium"", ""name_b"": ""potassium"", ""origin"": ""suspected-nominal:carbonate"", ""unii_a"": ""45P3261C7T"", ""unii_b"": ""BQN1B9B9HA""}"
K1:45P3261C7T,K1:H0G9379FGK,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Sodium Carbonate"", ""b"": ""Calcium Carbonate"", ""gsrs_relationship"": null, ""inchikey_a"": ""CDBYLPFSWZWCQE-UHFFFAOYSA-L"", ""inchikey_b"": ""VTYYLEPIZMXCLO-UHFFFAOYSA-L"", ""name_a"": ""sodium"", ""name_b"": ""calcium"", ""origin"": ""suspected-nominal:carbonate"", ""unii_a"": ""45P3261C7T"", ""unii_b"": ""H0G9379FGK""}"
