key,page,name,from_kind,to_kind,source,rule,reason
COMBO:NAME:cairina moschata heart liver autolysate,Cairina Moschata Heart/Liver Autolysate,CAIRINA MOSCHATA HEART/LIVER,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:cairina moschata heart liver autolysate,Cairina Moschata Heart/Liver Autolysate,ANAS BARBARIE HEPATIS ET,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:cairina moschata heart liver autolysate,Cairina Moschata Heart/Liver Autolysate,ANAS BARBARIAE HEPATIS ET CORDIS,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:cairina moschata heart liver autolysate,Cairina Moschata Heart/Liver Autolysate,CAIRINA MOSCHATA HEART/LIVER AUTOLYSATE PELLET,salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
COMBO:NAME:cairina moschata heart liver autolysate,Cairina Moschata Heart/Liver Autolysate,"ANAS BARBARIAE, HEPATIS ET CORDIS EXTRACTUM",salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:cairina moschata heart liver autolysate,Cairina Moschata Heart/Liver Autolysate,ANAS BARBARIE HEPATIS ET CORDIS EXTRACTUM,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:hamamelis virginiana root bark stem bark,Hamamelis Virginiana Root Bark/Stem Bark,HAMAMELIS VIRGIANA,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:hawthorn leaf with flower,Hawthorn Leaf with Flower,"MALT, HAWTHORN",salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:hydroxyethyl starch 130 0 4,HYDROXYETHYL STARCH 130/0.4,hes,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:875Y4127EA
COMBO:NAME:hydroxyethyl starch 130 0 4,HYDROXYETHYL STARCH 130/0.4,hydroxyethyl starch,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:875Y4127EA
COMBO:NAME:hydroxyethyl starch 130 0 4,HYDROXYETHYL STARCH 130/0.4,hydroxyethylstarch,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:875Y4127EA
COMBO:NAME:influenza a virus a victoria 2454 2019 ivr 207 antigen,Influenza A Virus A/Victoria/2454/2019 Ivr-207 Antigen,FLU NOSODE 2021-2022,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:sennosides a and b,Sennosides A and B,SENNA,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:sennosides a and b,Sennosides A and B,SENNOSIDES,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:sennosides a and b,Sennosides A and B,CALCIUM SENNOSIDES,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:sennosides a and b,Sennosides A and B,SENNOSIDES 8.6 MG,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:sinapis arvensis flowering fruiting top,Sinapis Arvensis Flowering/Fruiting Top,SINAPIS ARVENSIS,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
COMBO:NAME:sinapis arvensis flowering fruiting top,Sinapis Arvensis Flowering/Fruiting Top,"SINAPIS ARVENSIS, FLOS",salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
"COMBO:{IK:DNIAPMSPPWPWGF-VKHMYHEASA-N,K1:1ULL0QJ8UC}",DAPAGLIFLOZIN PROPANEDIOL,Dapagliflozin || Metformin,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
"COMBO:{K1:144O8QL0L1,K1:R3D835XVCR}",DICLOFENAC EPOLAMINE,DICLOFENAC EPOLAMINE 1.3% PATCH,salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",NABIXIMOLS,cannabidiol,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:19GBJ60SN5
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",NABIXIMOLS,cannabis,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:19GBJ60SN5, K1:7J8897W37S, K1:FTS5RM302N"
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",NABIXIMOLS,cbd,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:19GBJ60SN5, K1:7J8897W37S"
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",NABIXIMOLS,delta-9-tetrahydrocannabinol,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:7J8897W37S
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",NABIXIMOLS,sativex oromucosal spray,common,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",NABIXIMOLS,tetrahydrocannabinol,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:7J8897W37S
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",NABIXIMOLS,thc,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:19GBJ60SN5, K1:7J8897W37S"
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",NABIXIMOLS,thc/cbd spray,common,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
"COMBO:{K1:23521W1S24,K1:9EM05410Q9}",AMOXICILLIN/CLAVULANIC ACID,amoxicillin,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:9EM05410Q9
"COMBO:{K1:23521W1S24,K1:9EM05410Q9}",AMOXICILLIN/CLAVULANIC ACID,clavulanic acid,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:23521W1S24
"COMBO:{K1:423D2T571U,K1:81K9V7M3A3}",MARVELON,desogestrel,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:81K9V7M3A3
"COMBO:{K1:423D2T571U,K1:81K9V7M3A3}",MARVELON,ethinylestradiol,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:423D2T571U
"COMBO:{K1:4QD397987E,K1:8ID597Z82X}",Histidine Alpha-Ketoglutarate,Histidine Alphaketoglutarate,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
"COMBO:{K1:6C282481IP,K1:SZB83O1W42}",ERTUGLIFLOZIN PIDOLATE,sglt2i,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:1ULL0QJ8UC, K1:6C282481IP, K1:HDC1R2M35U"
"COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC}",FOSAPREPITANT DIMEGLUMINE,aprepitant,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:1NF15YR6UY
"COMBO:{K1:7673326042,K1:P7V86EYZ5L}",IRINOTECAN SUCROSOFATE,irinotecan,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:7673326042, K1:DY02T48R2B, K1:H727SQ6OHQ"
"COMBO:{K1:7673326042,K1:P7V86EYZ5L}",IRINOTECAN SUCROSOFATE,liposomal irinotecan,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:7673326042
"COMBO:{K1:7673326042,K1:P7V86EYZ5L}",IRINOTECAN SUCROSOFATE,nal-iri,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:7673326042
"COMBO:{K1:7673326042,K1:P7V86EYZ5L}",IRINOTECAN SUCROSOFATE,pep02,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:7673326042
"COMBO:{K1:8G388563M7,K1:TE0865N2ET}",TELOTRISTAT ETIPRATE,te,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:7Z6522T8N9, K1:8G388563M7"
