key,printed_name,reason,evidence
K1:55VNK5440P,AN-9,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:62T278S1MX,DNQX,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:78QVZ7RG8L,PALA,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:80P1Q21652,JS-K,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:8BK3483OW5,NU-3,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:8LZ6Q43V2S,NBQX,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:9Q765ZIF8L,T-62,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:BI12FRY055,TOFA,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:BS16QT99Q1,AKBA,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:C7X2M0VVNH,LIME,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:DOB7Y3RSX0,HPPH,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:IJ5CEP760Y,RH-1,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:M876330O56,H-89,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:NA92ZAR7N2,PJ34,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:PP549Z0645,DASB,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:R16CO5Y76E,ASA,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K1:SA2ND7EHY4,PP1,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K1:TX3R141LEP,Z160,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:UKI9MLD5OI,DOM,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K1:V77772N32H,2C-B,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:XDK89456WM,S-23,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:Z41H3C5BT9,J147,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K1:Z8MXU5GH4Q,IRGD,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:AAHNBILIYONQLX-UHFFFAOYSA-N,GSM1,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:AQTPWCUIYUOEMG-INIZCTEOSA-N,2W4,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:AUWUGRCKTQSGJY-HHHXNRCGSA-N,2SF,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:BWBUPDTUXQDHSX-AWEZNQCLSA-N,640,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:BXCPYBFBMAWDDY-UHFFFAOYSA-N,CPS2,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:CQCWHSDMJBAGDC-UHFFFAOYSA-N,9UA,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:CXJCGSPAPOTTSF-VURMDHGXSA-N,2WU7,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:DDLZLOKCJHBUHD-WAVHTBQISA-N,6BIO,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:DSUZLJDXUJUTGI-LLVKDONJSA-N,28A,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:FOECKIWHCOYYFL-UHFFFAOYSA-N,PPTN,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:FQAXDSVNYVVQSE-UHFFFAOYSA-N,51E,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:HDMHBHNRWDNNCD-UHFFFAOYSA-N,HEPT,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:HDZWHJYZJWLTAG-UHFFFAOYSA-N,105,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:HKXSBJJCHBFTMB-UHFFFAOYSA-N,C18,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:KYOIGHSNTIJBPW-UHFFFAOYSA-N,9D,bare abbreviation,the printed name is 2 capital characters and the record holds no title-case common or INN synonym for it
K2:LGWDVWIZDPGCFG-UHFFFAOYSA-N,7DQ,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:LPCWQWNRCGWRFC-UHFFFAOYSA-N,6,bare abbreviation,the printed name is 1 capital characters and the record holds no title-case common or INN synonym for it
K2:LRJAGMBMPSXEFP-UDPUMDPQSA-N,17,bare abbreviation,the printed name is 2 capital characters and the record holds no title-case common or INN synonym for it
K2:LUHCYAOYQIFNRN-UHFFFAOYSA-N,10A,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:MRHRACKJKBOJEI-UHFFFAOYSA-N,TH65,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:NDVQUNZCNAMROD-RZUBCFFCSA-N,2,bare abbreviation,the printed name is 1 capital characters and the record holds no title-case common or INN synonym for it
K2:OTKTZEZTFCAULO-DEOSSOPVSA-N,26D,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:PIJSEUOSRTYUJM-UHFFFAOYSA-N,MR24,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:QMDKVNSQXPVCRD-RQNOJGIXSA-N,49L,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
