form,reason,interaction_pages
corticosteroids,ambiguous: 6 pages carry this name and they are not forms of one substance,472
immunosuppressants,"names a class or a group, not this page's substance (no variant of 'azathioprine' and no UNII name for it)",178
tricyclic antidepressants,ambiguous: 2 pages carry this name and they are not forms of one substance,169
beta blockers,ambiguous: 4 pages carry this name and they are not forms of one substance,149
ace inhibitors,"names a class or a group, not this page's substance (no variant of 'ramipril' and no UNII name for it)",143
steroids,ambiguous: 5 pages carry this name and they are not forms of one substance,130
benzodiazepines,ambiguous: 4 pages carry this name and they are not forms of one substance,124
ssris,ambiguous: 6 pages carry this name and they are not forms of one substance,112
systemic corticosteroids,ambiguous: 2 pages carry this name and they are not forms of one substance,111
protease inhibitors,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",110
selective serotonin reuptake inhibitors,ambiguous: 4 pages carry this name and they are not forms of one substance,103
nonsteroidal anti inflammatory drugs,"names a class or a group, not this page's substance (no variant of 'naproxen' and no UNII name for it)",100
calcium channel blockers,"names a class or a group, not this page's substance (no variant of 'amlodipine' and no UNII name for it)",90
salicylates,"names a class or a group, not this page's substance (no variant of 'salsalate' and no UNII name for it)",87
non steroidal anti inflammatory drugs,"names a class or a group, not this page's substance (no variant of 'naproxen' and no UNII name for it)",84
snris,"names a class or a group, not this page's substance (no variant of 'duloxetine' and no UNII name for it)",72
angiotensin receptor blockers,"names a class or a group, not this page's substance (no variant of 'losartan' and no UNII name for it)",71
oral anticoagulants,"names a class or a group, not this page's substance (no variant of 'acenocoumarol' and no UNII name for it)",70
proton pump inhibitors,ambiguous: 4 pages carry this name and they are not forms of one substance,70
hmg coa reductase inhibitors,"names a class or a group, not this page's substance (no variant of 'atorvastatin' and no UNII name for it)",64
macrolide antibiotics,"names a class or a group, not this page's substance (no variant of 'azithromycin anhydrous' and no UNII name for it)",56
loop diuretics,ambiguous: 2 pages carry this name and they are not forms of one substance,44
sulfonylureas,"names a class or a group, not this page's substance (no variant of 'glibenclamide' and no UNII name for it)",44
systemic steroids,"names a class or a group, not this page's substance (no variant of 'prednisone' and no UNII name for it)",37
fluoroquinolones,"names a class or a group, not this page's substance (no variant of 'ciprofloxacin' and no UNII name for it)",32
magnesium as,ambiguous: 6 pages carry this name and they are not forms of one substance,31
somatostatin analogs,"names a class or a group, not this page's substance (no variant of 'octreotide' and no UNII name for it)",29
thiazolidinediones,ambiguous: 2 pages carry this name and they are not forms of one substance,28
gabapentinoids,"names a class or a group, not this page's substance (no variant of 'pregabalin' and no UNII name for it)",21
pde5 inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,21
vitamin k antagonists,ambiguous: 2 pages carry this name and they are not forms of one substance,18
glp 1 receptor agonists,ambiguous: 2 pages carry this name and they are not forms of one substance,16
antiplatelet drugs,"names a class or a group, not this page's substance (no variant of 'clopidogrel' and no UNII name for it)",15
doacs,ambiguous: 2 pages carry this name and they are not forms of one substance,14
fish oils,ambiguous: 2 pages carry this name and they are not forms of one substance,14
immunoglobulins,"names a class or a group, not this page's substance (no variant of 'human immunoglobulin g' and no UNII name for it)",13
retinoids,"names a class or a group, not this page's substance (no variant of 'tretinoin' and no UNII name for it)",13
sglt2 inhibitors,ambiguous: 3 pages carry this name and they are not forms of one substance,13
calcineurin inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,12
intravenous immunoglobulins,"names a class or a group, not this page's substance (no variant of 'human immunoglobulin g' and no UNII name for it)",12
jak inhibitors,"names a class or a group, not this page's substance (no variant of 'oclacitinib' and no UNII name for it)",12
cholinesterase inhibitors,ambiguous: 3 pages carry this name and they are not forms of one substance,11
esters,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",11
direct oral anticoagulants,ambiguous: 3 pages carry this name and they are not forms of one substance,10
globulins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",10
mtor inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,10
oral steroids,"names a class or a group, not this page's substance (no variant of 'methylprednisolone' and no UNII name for it)",10
pancreas,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",10
calcium as,ambiguous: 5 pages carry this name and they are not forms of one substance,9
cannabinoids,"names a class or a group, not this page's substance (no variant of 'nabiximols' and no UNII name for it)",9
vasopressors,"names a class or a group, not this page's substance (no variant of 'norepinephrine' and no UNII name for it)",9
alymsys,"names a class or a group, not this page's substance (no variant of 'bevacizumab' and no UNII name for it)",8
anti cd20 antibodies,"names a class or a group, not this page's substance (no variant of 'rituximab' and no UNII name for it)",8
calcium supplements,"names a class or a group, not this page's substance (no variant of 'calcium unii sy7q814vup' and no UNII name for it)",8
sglt 2 inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,8
eye drops,ambiguous: 2 pages carry this name and they are not forms of one substance,7
pancreatic enzymes,"names a class or a group, not this page's substance (no variant of 'pancreatin' and no UNII name for it)",7
blood vessels,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",6
tyrosine kinase inhibitors,"names a class or a group, not this page's substance (no variant of 'dasatinib anhydrous' and no UNII name for it)",6
artificial tears,"names a class or a group, not this page's substance (no variant of 'carboxymethylcellulose sodium 0 7 carboxymethyl substitution per saccharide 600 mpa s at 2' and no UNII name for it)",5
metformin hydrochloride extended release tablets,"names a class or a group, not this page's substance (no variant of 'metformin c4h11n5' and no UNII name for it)",5
thienopyridines,"names a class or a group, not this page's substance (no variant of 'prasugrel' and no UNII name for it)",5
amphetamine sulfate tablets,"names a class or a group, not this page's substance (no variant of 'dexamfetamine' and no UNII name for it)",4
fatty acids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",4
pd 1 pd l1 inhibitors,"names a class or a group, not this page's substance (no variant of 'nivolumab' and no UNII name for it)",4
testes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",4
veratrum alkaloids,"names a class or a group, not this page's substance (no variant of 'veratrum viride root' and no UNII name for it)",4
antithyroid drugs,"names a class or a group, not this page's substance (no variant of 'thiamazole' and no UNII name for it)",3
