source_string,pages,example_page,seen_in,rendered_as
unspecified,15140,COMBO:NAME:caprylic capric triglyceride,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
France,79,"COMBO:{K1:3SCV180C9W,K1:418M5916WG}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Germany,76,HOLD:existing:cisapride,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Worldwide,42,K1:0223RD59PE,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Norway,27,K1:03A5ORL08Q,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Bangladesh,26,K1:27T1I13L6G,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Italy,25,"COMBO:{K1:4Z8Y51M438,K1:Q42T66VG0C}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Sweden,24,"COMBO:{K1:LQU92IU8LL,K1:YQE403BP4D}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Oman,24,"COMBO:{K1:QLZ991V4A2,K1:TZ47U051FI}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Venezuela,23,K1:0SY050L61N,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Turkey,21,"COMBO:{K1:QLZ991V4A2,K1:TZ47U051FI}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Spain,21,K1:00U7GX0NLM,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
India,20,"COMBO:{K1:3SCV180C9W,K1:418M5916WG}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Philippines,18,"COMBO:{K1:4Z8Y51M438,K1:Q42T66VG0C}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Greece,18,"COMBO:{K1:63937KV33D,K1:65R938S4DV}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Egypt,16,K1:0SY050L61N,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
