molecule_chembl_id,molecule_name,page_key,page_display_name,tier,confirmed_by_corpus_chembl_id
CHEMBL1003,CLAVULANATE POTASSIUM,K1:23521W1S24,Clavulanic acid,2,True
CHEMBL1010,CEFOTAXIME SODIUM,K1:N2GI8B1GK7,Cefotaxime,2,True
CHEMBL1026,FENOLDOPAM MESYLATE,K1:INU8H2KAWG,Fenoldopam,2,True
CHEMBL1026,FENOLDOPAM MESYLATE,K1:Y9ESM282DO,Fenoldopam,1,False
CHEMBL1034,DICLOFENAC SODIUM,K1:144O8QL0L1,Diclofenac,1,True
CHEMBL107217,DITIOCARB SODIUM,K1:99Z2744345,Ditiocarb,3,True
CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,K1:9G6U5L461Q,ICOTINIB,3,False
CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,K1:J4T82NDH7E,Erlotinib,2,True
CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,K1:S65743JHBS,Gefitinib,2,False
CHEMBL1082607,SALMETEROL XINAFOATE,K1:2I4BC502BT,Salmeterol,2,True
CHEMBL1083385,CLOPIDOGREL BISULFATE,K1:A74586SNO7,Clopidogrel,2,True
CHEMBL1083385,CLOPIDOGREL BISULFATE,K1:OM90ZUW7M1,Ticlopidine,2,False
CHEMBL1083993,AMIODARONE HYDROCHLORIDE,K1:N3RQ532IUT,Amiodarone,2,True
CHEMBL1084172,VILANTEROL TRIFENATATE,K1:028LZY775B,Vilanterol,2,True
CHEMBL1092,TRIHEXYPHENIDYL HYDROCHLORIDE,K1:2Z97SF443Z,Trihexyphenidyl,2,False
CHEMBL1092,TRIHEXYPHENIDYL HYDROCHLORIDE,K1:6RC5V8B7PO,Trihexyphenidyl,2,True
CHEMBL1095292,BRETYLIUM TOSYLATE,K1:RZR75EQ2KJ,Bretylium,2,True
CHEMBL1097279,CANGRELOR TETRASODIUM,K1:6AQ1Y404U7,Cangrelor,2,True
CHEMBL1097620,IOTHALAMATE SODIUM,"COMBO:{K1:16CHD79MIX,K1:6HG8UB2MUY}",IOTHALAMATE MEGLUMINE,2,False
CHEMBL1097620,IOTHALAMATE SODIUM,K1:16CHD79MIX,Iotalamic acid,2,True
CHEMBL1098285,DISTIGMINE BROMIDE,K1:T940307O7B,Distigmine,2,True
CHEMBL1116,RALOXIFENE HYDROCHLORIDE,K1:YX9162EO3I,Raloxifene,1,True
CHEMBL1120,BISMUTH SUBSALICYLATE,K1:62TEY51RR1,Bismuth Subsalicylate,2,True
CHEMBL1120,BISMUTH SUBSALICYLATE,K1:A6I4E79QF1,Bismuth Oxide,2,False
CHEMBL1120,BISMUTH SUBSALICYLATE,K1:H19J064BA5,Bismuth Subnitrate,2,False
CHEMBL1120,BISMUTH SUBSALICYLATE,K1:U015TT5I8H,Bismuth,2,False
CHEMBL1126,PENICILLIN G SODIUM,"COMBO:{K1:4Z8Y51M438,K1:Q42T66VG0C}",PENICILLIN G PROCAINE,2,False
CHEMBL1126,PENICILLIN G SODIUM,K1:Q42T66VG0C,Penicillin G,2,True
CHEMBL1133,OXYBUTYNIN CHLORIDE,K1:5BRQ29UUB7,Aroxybutynin,3,False
CHEMBL1133,OXYBUTYNIN CHLORIDE,K1:K9P6MC7092,Oxybutynin,2,True
CHEMBL1134,DECAMETHONIUM BROMIDE,K1:C1CG1S3T2W,Decamethonium,1,True
CHEMBL11359,CISPLATIN,K1:BG3F62OND5,Carboplatin,2,False
CHEMBL11359,CISPLATIN,K1:GZ8I2X2FZK,Sebriplatin,2,False
CHEMBL11359,CISPLATIN,K1:Q20Q21Q62J,Cisplatin,2,True
CHEMBL115435,SUPLATAST TOSILATE,K1:4T0HO29O56,Suplatast,3,True
CHEMBL1161633,CHLORATE,K1:08Z8093742,CHLORATE,2,True
CHEMBL1184,ACETYLCHOLINE CHLORIDE,K1:14ZY3JP7M6,Helicobacter Pylori DNA,2,False
CHEMBL1184,ACETYLCHOLINE CHLORIDE,K1:N9YNS0M02X,Acetylcholine,1,True
CHEMBL1200322,ESCITALOPRAM OXALATE,K1:0DHU5B8D6V,Citalopram,2,False
CHEMBL1200322,ESCITALOPRAM OXALATE,K1:4O4S742ANY,Escitalopram,1,True
CHEMBL1200323,LABETALOL HYDROCHLORIDE,K1:R5H8897N95,Labetalol,2,True
CHEMBL1200326,NICARDIPINE HYDROCHLORIDE,K1:CZ5312222S,Nicardipine,2,True
CHEMBL1200330,PILOCARPINE HYDROCHLORIDE,K1:01MI4Q9DI3,Pilocarpine,2,True
CHEMBL1200330,PILOCARPINE HYDROCHLORIDE,K1:EWL6971ETP,Cilmostim,2,False
CHEMBL1200332,PROTRIPTYLINE HYDROCHLORIDE,K1:4NDU154T12,Protriptyline,2,True
CHEMBL1200333,TECHNETIUM TC 99M PYROPHOSPHATE,K1:5L76I61H2B,Technetium Tc-99m Pyrophosphate,2,True
CHEMBL1200333,TECHNETIUM TC 99M PYROPHOSPHATE,K1:6EW75241VU,Technetium TC-99M,2,False
CHEMBL1200333,TECHNETIUM TC 99M PYROPHOSPHATE,K1:PPP8783IQ1,Technetium TC-99M Pertechnetate,2,False
CHEMBL1200338,PINACIDIL,K1:BB4UGO5K0D,Pinacidil anhydrous,2,False
CHEMBL1200338,PINACIDIL,K1:Y08IPB8MZH,Pinacidil,1,False
CHEMBL1200339,PHENYLEPHRINE HYDROCHLORIDE,K1:1WS297W6MV,Phenylephrine,1,True
CHEMBL1200340,OSELTAMIVIR PHOSPHATE,K1:20O93L6F9H,Oseltamivir,2,True
CHEMBL1200343,PERINDOPRIL ERBUMINE,K1:Y5GMK36KGY,Perindopril,1,True
CHEMBL1200343,PERINDOPRIL ERBUMINE,K2:TVYLLZQTGLZFBW-UHFFFAOYSA-N,Tramadol,2,False
CHEMBL1200346,GADODIAMIDE,K1:84F6U3J2R6,Gadodiamide,2,False
CHEMBL1200347,ISOPROPAMIDE IODIDE,K1:8B9I31H724,Isopropamide,1,True
CHEMBL1200348,SULCONAZOLE NITRATE,K1:5D9HAA5Q5S,Sulconazole,2,True
CHEMBL1200354,SODIUM TETRADECYL SULFATE,K1:6326W0DRHY,Tetradecyl Hydrogen Sulfate (ESTER),2,True
CHEMBL1200354,SODIUM TETRADECYL SULFATE,K4:tetradecyl,Sodium Tetradecyl,2,False
CHEMBL1200357,MOXALACTAM DISODIUM,K1:VUF6C936Z3,Latamoxef,1,True
CHEMBL1200360,IOFETAMINE HYDROCHLORIDE I 123,HOLD:existing:iofetamine-hydrochloride-i-123,Iofetamine Hydrochloride I-123,1,False
CHEMBL1200360,IOFETAMINE HYDROCHLORIDE I 123,K1:LV23B78IJC,Iofetamine (123i),2,True
CHEMBL1200367,ECHOTHIOPHATE IODIDE,K1:0F350BVT6S,Echothiophate,2,True
CHEMBL1200379,APRACLONIDINE HYDROCHLORIDE,K1:843CEN85DI,Apraclonidine,2,True
CHEMBL1200383,BENZTROPINE MESYLATE,K1:1NHL2J4X8K,Benzatropine,2,True
CHEMBL1200388,CLOXACILLIN SODIUM,K1:O6X5QGC2VB,Cloxacillin,2,True
CHEMBL1200389,BRIMONIDINE TARTRATE,K1:E6GNX3HHTE,Brimonidine,2,True
CHEMBL1200395,ORPHENADRINE CITRATE,K1:AL805O9OG9,Orphenadrine,2,True
CHEMBL1200397,BUTENAFINE HYDROCHLORIDE,K1:91Y494NL0X,Butenafine,2,True
CHEMBL1200398,BUTOCONAZOLE NITRATE,K1:0Q771797PH,Butoconazole,2,True
CHEMBL1200399,BUSPIRONE HYDROCHLORIDE,K1:TK65WKS8HL,Buspirone,2,True
CHEMBL1200402,AMLODIPINE BESYLATE,K1:1J444QC288,Amlodipine,1,True
CHEMBL1200402,AMLODIPINE BESYLATE,K1:UDM7Q7QWP8,Benazepril,2,False
CHEMBL1200406,DIMENHYDRINATE,"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}",DIMENHYDRINATE,2,True
CHEMBL1200406,DIMENHYDRINATE,K1:3L5TQ84570,Meclozine,1,False
CHEMBL1200409,LIDOCAINE HYDROCHLORIDE,K1:512OYT1CRR,Cocoa Butter,2,False
CHEMBL1200409,LIDOCAINE HYDROCHLORIDE,K1:98PI200987,Lidocaine,1,True
CHEMBL1200410,PROCARBAZINE HYDROCHLORIDE,K1:35S93Y190K,Procarbazine,2,True
CHEMBL1200411,ROPINIROLE HYDROCHLORIDE,K1:030PYR8953,Ropinirole,1,True
CHEMBL1200411,ROPINIROLE HYDROCHLORIDE,K1:83619PEU5T,Pramipexole,1,False
CHEMBL1200413,TETRAHYDROZOLINE HYDROCHLORIDE,K1:134FM9ZZ6M,Pheniramine,2,False
CHEMBL1200413,TETRAHYDROZOLINE HYDROCHLORIDE,K1:S9U025Y077,Tetryzoline,2,True
CHEMBL1200415,TECHNETIUM TC 99M OXIDRONATE,K1:71MR4V32TI,Oxidronic acid,2,False
CHEMBL1200415,TECHNETIUM TC 99M OXIDRONATE,K1:MG4KI49HHJ,TECHNETIUM TC 99M OXIDRONATE,2,True
CHEMBL1200418,DOBUTAMINE HYDROCHLORIDE,K1:3S12J47372,Dobutamine,2,True
CHEMBL1200419,MOLINDONE HYDROCHLORIDE,K1:RT3Y3QMF8N,Molindone,2,True
CHEMBL1200419,MOLINDONE HYDROCHLORIDE,K1:W3XP4529RW,"MOLINDONE, (R)-",2,False
CHEMBL1200421,TECHNETIUM TC 99M MEBROFENIN,K1:7PV0B6ED98,Mebrofenin,2,False
CHEMBL1200421,TECHNETIUM TC 99M MEBROFENIN,K1:F2NQ468L52,TECHNETIUM TC 99M MEBROFENIN,2,True
CHEMBL1200425,PARGYLINE HYDROCHLORIDE,K1:9MV14S8G3E,Pargyline,1,True
CHEMBL1200431,GADOPENTETATE DIMEGLUMINE,K1:AU0V1LM3JT,Gadolinium,2,False
CHEMBL1200431,GADOPENTETATE DIMEGLUMINE,K1:V7OK6J19HQ,Gadopentetate,2,True
CHEMBL1200432,METHYLDOPATE HYDROCHLORIDE,K1:2579Z4P04J,Methyldopate,2,True
CHEMBL1200432,METHYLDOPATE HYDROCHLORIDE,K1:M4R0H12F6M,Methyldopa,2,False
CHEMBL1200434,OXTRIPHYLLINE,K1:0I55128JYK,Theophylline Anhydrous,2,True
CHEMBL1200437,QUINIDINE GLUCONATE,K1:ITX08688JL,Quinidine,2,True
CHEMBL1200439,IODOHIPPURATE SODIUM I 123,HOLD:existing:iodohippurate-sodium-i-123,Iodohippurate Sodium I-123,1,False
CHEMBL1200439,IODOHIPPURATE SODIUM I 123,K1:G4586WF35M,Iodohippuric Acid I-123,1,True
CHEMBL1200446,TRIPELENNAMINE HYDROCHLORIDE,K1:3C5ORO99TY,Tripelennamine,2,True
CHEMBL1200448,TILUDRONATE DISODIUM,K1:6PNS59HP4Y,Tiludronic acid,2,True
CHEMBL1200454,VALGANCICLOVIR HYDROCHLORIDE,K1:GCU97FKN3R,Valganciclovir,2,True
CHEMBL1200454,VALGANCICLOVIR HYDROCHLORIDE,K1:P9G3CKZ4P5,Ganciclovir,2,False
CHEMBL1200457,GADOVERSETAMIDE,K1:N78PI4C683,Versetamide,1,False
CHEMBL1200457,GADOVERSETAMIDE,K1:RLM74T3Z9D,Gadoversetamide,2,True
CHEMBL1200461,MIDODRINE HYDROCHLORIDE,K1:6YE7PBM15H,Midodrine,2,True
CHEMBL1200467,HYDROXYZINE PAMOATE,K1:30S50YM8OG,Hydroxyzine,2,True
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,K1:O9M39HTM5W,Promazine,2,True
CHEMBL1200470,ESOMEPRAZOLE SODIUM,K1:0K5C5T2QPG,Lansoprazole,1,False
CHEMBL1200470,ESOMEPRAZOLE SODIUM,K1:D8TST4O562,Pantoprazole,2,False
CHEMBL1200470,ESOMEPRAZOLE SODIUM,K1:KG60484QX9,Omeprazole,2,False
CHEMBL1200470,ESOMEPRAZOLE SODIUM,K1:N3PA6559FT,Esomeprazole,1,True
CHEMBL1200471,PYRITHIONE ZINC,K1:6GK82EC25D,Pyrithione,2,True
CHEMBL1200473,CYCLOPENTOLATE HYDROCHLORIDE,K1:I76F4SHP7J,Cyclopentolate,2,True
CHEMBL1200474,DEMECLOCYCLINE HYDROCHLORIDE,K1:5R5W9ICI6O,Demeclocycline,2,True
CHEMBL1200478,DYCLONINE HYDROCHLORIDE,K1:078A24Q30O,Dyclonine,2,True
CHEMBL1200480,OCTREOTIDE ACETATE,K1:6E20216Q0L,Somatostatin,2,False
CHEMBL1200480,OCTREOTIDE ACETATE,K1:7PBO3W74TY,TYR(3)-OCTREOTIDE I-123,3,False
CHEMBL1200480,OCTREOTIDE ACETATE,K1:M312JJ6Z32,INDIUM IN 111 PENTETREOTIDE,2,False
CHEMBL1200480,OCTREOTIDE ACETATE,K1:N2UJM5NBF6,Maxacalcitol,3,False
CHEMBL1200480,OCTREOTIDE ACETATE,K1:RWM8CCW8GP,Octreotide,1,True
CHEMBL1200480,OCTREOTIDE ACETATE,K2:WNBILILJFBJQFP-SDLVTCPTSA-N,SANDOSTATIN,1,False
CHEMBL1200482,CEFOPERAZONE SODIUM,K1:7U75I1278D,Cefoperazone,1,True
CHEMBL1200485,SORAFENIB TOSYLATE,K1:9ZOQ3TZI87,Sorafenib,1,True
CHEMBL1200487,ETHACRYNATE SODIUM,K1:M5DP350VZV,Etacrynic acid,2,True
