key,tier,displayName,trials,matchedNames,roles,pageStructuralAnchor,confirmedByUniiOrInchikey,reason
COMBO:NAME:bordetella pertussis fimbriae 2 3 antigen,3,Bordetella Pertussis Fimbriae 2/3 Antigen,27,DAPTACEL®; DAPTACEL® (Diphtheria and Tetanus Toxoids and Acellular Pertussis vaccine); DAPTACEL™; Daptacel; Vaxelis,intervention; otherName,unii:1O0600285A,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:conjugated estrogens medroxyprogesterone,2,Conjugated Estrogens/Medroxyprogesterone,1,conjugated estrogens 0.45 mg/ medroxyprogesterone acetate 1.5 mg,intervention,unii:IU5QR144QX,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:follitropin alfa beta,1,Follitropin Alfa/Beta,91,150IU Gonal-F; FOLLISTIM; FOLLISTIM AQ; Follistim; Follistim®,intervention; otherName,unii:076WHW89TW,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:hydroxyethyl starch 130 0 4,1,HYDROXYETHYL STARCH 130/0.4,41,"HES 130/0.4; HES 130/0.4 (VolulyteⓇ, Fresenius Kabi, Canada); HES 130/0.4 (Voluven); Hydroxyethyl Starch 130/0.4 (Voluven); Hydroxyethyl starch 130/0,4 (HES 130,04)",intervention; otherName,unii:1GVO236S58,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:influenza a virus a singapore gp20238 2024 ivr 277 antigen,3,Influenza A Virus A/Singapore/Gp20238/2024 Ivr-277 Antigen,103,FluZone; Fluzone; Fluzone (IM); Fluzone (approved for children down to 6 months); Fluzone (standard dose),intervention; otherName,unii:K4FM6E4Y6H,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:influenza a virus a switzerland 6849 2025 ivr 278 antigen,3,Influenza A Virus A/Switzerland/6849/2025 Ivr-278 Antigen,103,FluZone; Fluzone; Fluzone (IM); Fluzone (approved for children down to 6 months); Fluzone (standard dose),intervention; otherName,unii:HXR8NY4JTE,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:influenza b virus b michigan 01 2021 antigen,3,Influenza B Virus B/Michigan/01/2021 Antigen,103,FluZone; Fluzone; Fluzone (IM); Fluzone (approved for children down to 6 months); Fluzone (standard dose),intervention; otherName,unii:FF9YP4D23C,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:influenza b virus b tokyo eis13 175 2025 antigen,1,Influenza B Virus B/Tokyo/Eis13-175/2025 Antigen,23,FLUAD; FLUAD®; FluAd; Fluad; Fluad®,intervention; otherName,unii:VVB6PF5KXX,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:rubella virus strain wistar ra 27 3 live antigen,2,Rubella Virus Strain Wistar Ra 27/3 Live Antigen,43,M-M-R II; M-M-R II®; M-M-R II™; M-M-R-II; M-M-R® II,intervention; otherName,unii:52202H034Z,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:sennosides a and b,2,Sennosides A and B,18,SENNA; Senna; Senna 217 Mg Oral Tablet; Senna tablets; Sennosides,intervention; otherName,unii:1B5FPI42EN,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:svn53 67 m57 klh peptide vaccine,3,SVN53-67/M57-KLH PEPTIDE VACCINE,5,SVN53-67/M57-KLH Peptide Vaccine,intervention,unii:HK7BJ56KSP,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
COMBO:NAME:varicella zoster virus strain oka merck live antigen,3,Varicella-Zoster Virus Strain Oka/Merck Live Antigen,35,VARIVAX; VARIVAX®; VARIVAX™; Varivax; Varivax®,intervention; otherName,unii:GPV39ZGD8C,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{IK:DNIAPMSPPWPWGF-VKHMYHEASA-N,K1:1ULL0QJ8UC}",1,DAPAGLIFLOZIN PROPANEDIOL,323,5 mg Forxiga® (dapagliflozin) tablet; DAPAGLIFLOZIN PROPANEDIOL; Dapagliflozin; Dapagliflozin (Forxiga); Dapagliflozin (Forxiga®),intervention; otherName; stored,unii:887K2391VH; inchikey:JVHXJTBJCFBINQ-ADAARDCZSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{IK:DSLZVSRJTYRBFB-AJSXGEPRSA-N,K1:GOO8ZCK7RT}",3,DEXISOMETHEPTENE MUCATE,2,TNX-201; TNX-201 140 mg,intervention,inchikey:DSLZVSRJTYRBFB-AJSXGEPRSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{IK:JAZBEHYOTPTENJ-RCHUDCCISA-N,IK:OQOCQFSPEWCSDO-RCHUDCCISA-N,IK:YUFFSWGQGVEMMI-RCHUDCCISA-N}",3,OMEGA-3-PENTAENOIC ACIDS,3,MAT9001; MAT9001 (omega-3 pentaenoic acid),intervention; otherName,unii:317SQ4W8IJ; inchikey:YUFFSWGQGVEMMI-RCHUDCCISA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{IK:SBFXHXZNBNFPHV-CROXOCCCSA-N,K1:05D48LUM4Z,K1:202229IR8Y,K1:IK4C1OC8NE}",2,ERGOLOID MESYLATES,2,Ergoloid Mesylates; Ergoloid Mesylates tablet,intervention,unii:X3S33EX3KW; inchikey:DEQITUUQPICUMR-HJPBWRTMSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:04Z20NMK31,K1:5A614L51CT}",2,INOSINE PRANOBEX,7,Inosine pranobex,intervention,unii:W1SO0V223F; inchikey:UGQMRVRMYYASKQ-KQYNXXCUSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:0I8Y3P32UF,K1:724L30Y2QR}",3,BERBERINE URSODEOXYCHOLATE,12,"HTD1801; HTD1801 (BUDCA); HTD1801 Tablets, 1000 mg",intervention,unii:VM8KQ3W8GM; inchikey:RUDATBOHQWOJDD-UZVSRGJWSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:0RBV727H71,K1:2K2DJ01BB7,K1:78YC2MAX4O,K1:7S686LQT6T,K1:9KJL21T0QJ,K1:AAN7QOV9EA,K1:HR3EZB17BI,K1:NS3OZT14QT,K1:ZAD9OKH9JC}",1,OMEGA-3-CARBOXYLIC ACIDS,14,Epanova; Epanova®; Epanova® (omega-3 carboxylic acids); Epanova™ (Omega-3 Free Fatty Acids); Omega-3 carboxylic acids,intervention; otherName,unii:F85N2YHE4E; inchikey:MBMBGCFOFBJSGT-KUBAVDMBSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:144O8QL0L1,K1:R3D835XVCR}",1,DICLOFENAC EPOLAMINE,7,Diclofenac epolamine; Flector; Flector Patch; diclofenac epolamine; flector,intervention; otherName,unii:X5F8EKL9ZG; inchikey:DCOPUUMXTXDBNB-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:17ERJ0MKGI,K1:80M03YXJ7I}",1,Sacubitril / Valsartan,121,Entresto; Entresto (Sacubitril and Valsartan Tablets 97mg/103mg); Entresto 100 mg; Entresto 50 mg; Entresto tablet,intervention; otherName,unii:688RNR55GH; inchikey:ACWBQPMHZXGDFX-QFIPXVFZSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:19GBJ60SN5,K1:7J8897W37S}",1,NABIXIMOLS,62,Cannabinoids; GW-1000-02; Nabiximols; Sativex; Sativex(Registered Trademark),intervention; otherName; stored,unii:K4H93P747O; inchikey:QHMBSVQNZZTUGM-ZWKOTPCHSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:1EJ6Z6Q368,K1:EOR26LQQ24}",2,"Bempedoic Acid, Ezetimibe",5,Bempedoic Acid + Ezetimibe; Bempedoic Acid / Ezetimibe; Bempedoic Acid / Ezetimibe Oral Tablet; Bempedoic Acid/Ezetimibe 180 MG-10 MG Oral Tablet; bempedoic acid-ezetimibe,intervention; otherName,unii:1EJ6Z6Q368; inchikey:HYHMLYSLQUKXKP-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:1J444QC288,K1:80M03YXJ7I}",2,Amlodipine / Valsartan,12,Amlodipine 10 mg &valsartan 160 mg (Exforge); Amlodipine 10 mg + Valsartan 160 mg; Amlodipine 10mg+Valsartan 160mg; Amlodipine 5mg/Valsartan 80 mg; Amlodipine+valsartan,intervention; otherName,unii:80M03YXJ7I; inchikey:ACWBQPMHZXGDFX-QFIPXVFZSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:1L4806J2QF,K1:W9WZN9A0GM}",2,"Adapalene, Benzoyl Peroxide",5,"Adapalene, benzoyl peroxide; Adapalene/Benzoyl Peroxide; adapalene/benzoyl peroxide",intervention; otherName,unii:W9WZN9A0GM; inchikey:OMPJBNCRMGITSC-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:1ULL0QJ8UC,K1:8I7IO46IVQ}",2,"Dapagliflozin, Saxagliptin",2,Dapagliflozin 10 mg + Saxagliptin 5 mg; dapagliflozin and saxagliptin,intervention,unii:9GB927LAJW; inchikey:QGJUIPDUBHWZPV-SGTAVMJGSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:1ULL0QJ8UC,K1:9100L32L2N}",2,"Dapagliflozin, Metformin",8,Dapagliflozin + Metformin; Dapagliflozin/Metformin,intervention,none,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:23521W1S24,K1:9EM05410Q9}",3,AMOXICILLIN/CLAVULANIC ACID,41,400 mg Amoxicillin + 57 mg Clavulanic Acid/ 5 ml; Amoxicillin + clavulanic acid; Amoxicillin - clavulanic acid; Amoxicillin / Clavulanic acid; Amoxicillin / Clavulanic acid 875mg / 125mg,intervention; otherName,unii:804826J2HU; inchikey:LSQZJLSUYDQPKJ-NJBDSQKTSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:23OW28RS7P,K1:R9M4FJE48E}",3,QUINUPRISTIN/DALFOPRISTIN,2,Synercid; Synercid®,intervention; otherName,inchikey:WTHRRGMBUAHGNI-LCYNINFDSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS}",2,"Abacavir, Dolutegravir, Lamivudine",1,Abacavir/Dolutegravir/Lamivudine,otherName,unii:DKO1W9H7M1; inchikey:RHWKPHLQXYSBKR-BMIGLBTASA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1}",2,Dolutegravir and Lamivudine,1,Dolutegravir (DTG) and lamivudine (3TC),intervention,unii:DKO1W9H7M1; inchikey:RHWKPHLQXYSBKR-BMIGLBTASA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:2WTB3V159F,K1:F0R1QK73KB}",2,CYANOCOBALAMIN CO 58,7,"Vitamin B; Vitamin B (riboflavin, vitamin B2); Vitamin B capsule; vitamin B",stored,unii:U0E93N6V2A; inchikey:XIMXJQOPHNZJDD-VBTHXZBGSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:3N2N8OOR7X,K1:9DLQ4CIU6V}",3,IPRAGLIFLOZIN L-PROLINE,1,Ipragliflozin L-proline,intervention,unii:M6N3GK48A4; inchikey:AHFWIQIYAXSLBA-RQXATKFSSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N}",2,Linagliptin and Metformin,3,Linagliptin and Metformin,intervention; otherName,none,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:4071IF7E93,K1:OP0UW79H66}",1,Methylcobalamin,12,Methylcobalamin; Methylcobalamin (methylB12); Methylcobalamin Injection(WP205); methylcobalamin,intervention; otherName,unii:BR1SN1JS2W; inchikey:XIMXJQOPHNZJDD-MEWWDOPBSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:423D2T571U,K1:81K9V7M3A3}",3,MARVELON,11,Marvelon; Marvelon®; marvelon,intervention; otherName,unii:81K9V7M3A3; inchikey:RPLCPCMSCLEKRS-BPIQYHPVSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:46627O600J,K1:KR87B45RGH}",2,"Carbidopa, Levodopa",29,Carbidopa / Levodopa; Carbidopa Levodopa; Carbidopa-Levodopa; Carbidopa-Levodopa (100mg/25mg):; Carbidopa-Levodopa 25 Mg-100 Mg Oral Tablet,intervention; otherName,unii:MNX7R8C5VO; inchikey:TZFNLOMSOLWIDK-JTQLQIEISA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:4G9EDB6V73,K1:C3ZUM5A33F}",3,AMXT-1501 DICAPRATE,3,AMXT 1501 Dicaprate,intervention; otherName,unii:T9GPE23KZ9; inchikey:USNCWPSRPOWEBG-SSEXGKCCSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:4G9EDB6V73,K1:R7EZ772VG2}",1,ENLICITIDE DECANOATE,25,Enlicitide Decanoate; Enlicitide decanoate; enlicitide decanoate,intervention; otherName,unii:PSR59MCX5M; inchikey:ZJMSWDDEBKNMLX-HMPNVHCESA-O,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:4TI98Z838E,K1:5B2546MB5Z,K1:T18F433X4S}",1,"Elagolix Sodium, Estradiol, Norethindrone",1,Oriahnn,otherName,unii:T18F433X4S; inchikey:VIKNJXKGJWUCNN-XGXHKTLJSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:4Z8Y51M438,K1:Q42T66VG0C}",2,PENICILLIN G PROCAINE,2,bicillin,otherName,unii:17R794ESYN; inchikey:JGSARLDLIJGVTE-MBNYWOFBSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:5UVC90J1LK,K1:6HG8UB2MUY}",2,DIATRIZOATE MEGLUMINE,3,Diatrizoate; Diatrizoate Meglumine; Meglumine diatrizoate,intervention; otherName,unii:3X9MR4N98U; inchikey:YVPYQUNUQOZFHG-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6287WC5J2L,K1:V7NW98OB34}",3,Phytoestrogen,2,Phytoestrogen; phytoestrogen,intervention,inchikey:ZZIALNLLNHEQPJ-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6315412YVF,K1:6HG8UB2MUY}",2,DELAFLOXACIN MEGLUMINE,12,Delafloxacin; delafloxacin,intervention,unii:N7V53U4U4T; inchikey:DYDCPNMLZGFQTM-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:63937KV33D,K1:65R938S4DV}",2,ERYTHROMYCIN LACTOBIONATE,5,Erythrocin; Erythromycin Lactobionate; Erythromycin lactobionate; erythromycin lactobionate,intervention; otherName,unii:33H58I7GLQ; inchikey:ULGZDMOVFRHVEP-RWJQBGPGSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6C282481IP,K1:SZB83O1W42}",1,ERTUGLIFLOZIN PIDOLATE,39,ERTUGLIFLOZIN PIDOLATE; Ertugliflozin; Ertugliflozin 1 mg; Ertugliflozin 10 mg; Ertugliflozin 10 mg tablet,otherName; stored,unii:MLU731K321; inchikey:MCIACXAZCBVDEE-CUUWFGFTSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6DC9Q167V3,K1:A0JWA85V8F}",1,Atorvastatin Calcium Propylene Glycol Solvate,753,10mg Atorvastatin; 10mg atorvastatin; ATORVASTATIN; ATORVASTATIN 80 mg; Atorvastatin,intervention; otherName,unii:YRZ789OWMI; inchikey:XUKUURHRXDUEBC-KAYWLYCHSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6DC9Q167V3,K1:YO603Y8113}",2,Darunavir Propylene Glycolate,81,DARUNAVIR; Darunavir; Darunavir (DRV); Darunavir (DRV/r); Darunavir(DRV),intervention; otherName,unii:6M6D7F3VC7; inchikey:CJBJHOAVZSMMDJ-HEXNFIEUSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC}",2,FOSAPREPITANT DIMEGLUMINE,102,100 mg MK-0517 (PS80); EMEND; EMEND®; EMEND™; Emend,intervention; otherName,unii:D35FM8T64X; inchikey:BARDROPHSZEBKC-OITMNORJSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
