corpus_key,corpus_display_name,corpus_tier,corpus_unii,corpus_inchikey,inxight_record,normalised_name,inxight_unii,inxight_inchikey,ambiguous_pages_for_name,confirmation
K1:40S1VHN69B,Bleomycin,2,40S1VHN69B,,frdb-compound:112:BLEOMYCIN,bleomycin,,,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:6UXW23996M,Cyclophosphamide (anhydrous),2,6UXW23996M,CMSMOCZEIVJLDB-UHFFFAOYSA-N,frdb-compound:114:CYCLOPHOSPHAMIDE,cyclophosphamide,8N3DW7272P,PWOQRKCAHTVFLB-UHFFFAOYSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:ER09126G7A,Lornoxicam,2,ER09126G7A,WLHQHAUOOXYABV-UHFFFAOYSA-N,frdb-compound:114:CYCLOPHOSPHAMIDE,cyclophosphamide,8N3DW7272P,PWOQRKCAHTVFLB-UHFFFAOYSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:A01LX40298,Methapyrilene,1,00S42N58OM,HNJJXZKZRAWDPF-UHFFFAOYSA-N,frdb-compound:270:METHAPYRILENE FUMARATE,methapyrilene,KJ5I25TXYL,OLGIEIJNOQGBSS-VQYXCCSOSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:2URQ2N32W3,Calcium Lactate,2,2URQ2N32W3,MKJXYGKVIBWPFZ-UHFFFAOYSA-L,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:5792C4VMFZ,Calcium Palmitate,3,5792C4VMFZ,HRBZRZSCMANEHQ-UHFFFAOYSA-L,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:7UJQ5OPE7D,Carbonate Ion,1,7UJQ5OPE7D,BVKZGUZCCUSVTD-UHFFFAOYSA-N,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:86117BWO7P,Calcium Citrate Anhydrous,1,86117BWO7P,FNAQSUUGMSOBHW-UHFFFAOYSA-H,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:8EKI9QEE2H,Calcium Iodide,2,8EKI9QEE2H,UNMYWSMUMWPJLR-UHFFFAOYSA-L,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:97Z1WI3NDX,"Calcium Phosphate, Unspecified Form",3,97Z1WI3NDX,,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:9E7R5L6H31,Oxalic Acid,2,9E7R5L6H31,MUBZPKHOEPUJKR-UHFFFAOYSA-N,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:9G34HU7RV0,Edetic Acid,2,7FLD91C86K,KCXVZYZYPLLWCC-UHFFFAOYSA-N,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:C7X2M0VVNH,LIME,3,8CZS546954,BRPQOXSCLDDYGP-UHFFFAOYSA-N,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:E934B3V59H,Calcium Sulfate Anhydrous,2,WAT0DDB505,OSGAYBCDTDRGGQ-UHFFFAOYSA-L,frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,30,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
