corpus_key,corpus_display_name,corpus_tier,corpus_unii,corpus_inchikey,gtopdb_ligand_id,gtopdb_name,gtopdb_inchikey,gtopdb_chembl_id,gtopdb_pubchem_cid,matched_on_source_name,normalised_name,ambiguous_pages_for_name,confirmation,interactions_pending
K1:615637S5PE,NEIHULIZUMAB,3,615637S5PE,,10013,AbGn-168H,,,,AbGn-168H,abgn 168h,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:ND470TT8Y3,Acimtamig,3,ND470TT8Y3,,10067,AFM13,,,,AFM13,afm13,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:3G6834I4PF,Tadekinig alfa,3,3G6834I4PF,,10077,tadekinig alfa,,,,tadekinig alfa,tadekinig alfa,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:6QVL057INT,Cemiplimab,1,6QVL057INT,,10090,cemiplimab,,,,cemiplimab,cemiplimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,4
K1:6QVL057INT#rwlc,Cemiplimab-Rwlc,2,6QVL057INT,,10090,cemiplimab,,,,cemiplimab,cemiplimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,4
K1:6MB0YNA8DJ,BQ-788 Free Acid,3,44OLL8XEJ4,LPAHKJMGDSJDRG-DJYQTOCQSA-N,1010,BQ788,LNGMSNLRAISCCZ-IITZRFRKSA-N,,3081333,BQ 788,bq 788,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:QOG25L6Z8Z,Spartalizumab,3,QOG25L6Z8Z,,10140,spartalizumab,,,,spartalizumab,spartalizumab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:22PQS5K5TY,CCX354,3,22PQS5K5TY,ZIMLRKWQDLVPEK-UHFFFAOYSA-N,10164,CCX354,WSVDLXWYJRCDBZ-UHFFFAOYSA-N,,135565361,CCX354,ccx354,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:C3VX249T6L,Ravulizumab,2,C3VX249T6L,,10168,ravulizumab,,,,ravulizumab,ravulizumab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:C3VX249T6L#cwvz,Ravulizumab-Cwvz,2,C3VX249T6L,,10168,ravulizumab,,,,ravulizumab,ravulizumab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:88WBI2D80S,Vantictumab,3,88WBI2D80S,,10197,vantictumab,,,,vantictumab,vantictumab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,5
K1:LT369U66CE,Ibalizumab,1,LT369U66CE,,10208,ibalizumab,,,,ibalizumab,ibalizumab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:LT369U66CE#uiyk,Ibalizumab-Uiyk,2,LT369U66CE,,10208,ibalizumab,,,,ibalizumab,ibalizumab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:496K5Z02NW,Volociximab,3,496K5Z02NW,,10236,volociximab,,,,volociximab,volociximab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:WDT28B7071,BMS-986120,3,WDT28B7071,,10269,BMS-986120,MINMDCMSHDBHKG-UHFFFAOYSA-N,,72190270,BMS-986120,bms 986120,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:6YSJ329777,Strychnos Ignatii Whole,3,6YSJ329777,,10292,AM12,OVIAJBSVWWYJSD-UHFFFAOYSA-N,,137553166,AM-12,am 12,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:J2VZ07J96K,Polymyxin b,2,J2VZ07J96K,,10338,polymyxin B,WQVJHHACXVLGBL-UHFFFAOYSA-N,CHEMBL241797,4868,polymyxin B,polymyxin b,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:42HQ15W1ZF,Tibulizumab,3,42HQ15W1ZF,,10350,tibulizumab,,,,tibulizumab,tibulizumab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:MED485W763,Namilumab,3,MED485W763,,10370,namilumab,,,,namilumab,namilumab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
