key,tier,displayName,normalised_name,unii_held_by_corpus,pubchem_cid,pubchem_inchikey,cids_returned_for_name,corpus_cid,corpus_cid_agrees,confirmation
COMBO:NAME:caprylic capric triglyceride,2,Caprylic/Capric Triglyceride,caprylic capric triglyceride,C9H2L21V7U,93356,STORWMDPIHOSMF-UHFFFAOYSA-N,3,91757308,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
"COMBO:{K1:1ULL0QJ8UC,K1:9100L32L2N}",2,"Dapagliflozin, Metformin",dapagliflozin metformin,,56841156,JVHXJTBJCFBINQ-AWGDKMGJSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:05JZI7B19X,2,Carboxymethylcellulose,carboxymethylcellulose,05JZI7B19X,24748,VJHCJDRQFCCTHL-UHFFFAOYSA-N,1,24748,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:0T8392U5N1,3,Glucose Oxidase,glucose oxidase,0T8392U5N1,206,WQZGKKKJIJFFOK-UHFFFAOYSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:14GUK8I73Z,3,Policapram,policapram,14GUK8I73Z,32775,LCJRHAPPMIUHLH-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:1693AM5SBN,3,Danshen,danshen,1693AM5SBN,5281793,YMGFTDKNIWPMGF-UCPJVGPRSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:185M5I2ZZN,3,TOLEVAMER SODIUM,tolevamer,185M5I2ZZN,58817179,LZNNAMNPSXBDOT-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:1Q953B4O4F,2,Mate,mate,1Q953B4O4F,118958443,FUTPZUMYPODEDE-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:1TBM83QR9S,3,Bentracimab,bentracimab,1TBM83QR9S,9800692,PNVYHTHOCKTJCO-JOCBIADPSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:23R93M6Y64,3,Chitosan Oligosaccharide,chitosan oligosaccharide,23R93M6Y64,16213812,QLTSDROPCWIKKY-PMCTYKHCSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:269XH13919,2,Nux Vomica,nux vomica,269XH13919,441071,QMGVPVSNSZLJIA-FVWCLLPLSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:2ALA66NS64,1,Survodutide,survodutide,2ALA66NS64,168429725,MEDXQFAHWBMVIM-YIUAJOCSSA-N,3,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:2DMT128M1S,2,Cetearyl Alcohol,cetearyl alcohol,2DMT128M1S,62238,UBHWBODXJBSFLH-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:2EFX479K2Y,3,Vicatertide,vicatertide,2EFX479K2Y,49764848,MLCMYVUVOHSNFD-WVMYFBOZSA-N,1,49764848,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:2HLC17MX9G,2,Agalsidase alfa,agalsidase alfa,2HLC17MX9G,52918379,KUBARPMUNHKBIQ-VTHUDJRQSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:2Y53S6ATLU,2,Dimethicone 350,dimethicone 350,2Y53S6ATLU,24705,CXQXSVUQTKDNFP-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:33WDQ7T81E,2,Dalbavancin Hydrochloride,dalbavancin,33WDQ7T81E,16134627,KGPGQDLTDHGEGT-SZUNQUCBSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:36W3E5TAMG,1,Glucomannan,glucomannan,36W3E5TAMG,24892726,LUEWUZLMQUOBSB-FSKGGBMCSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:37515NWH9U,2,Tilactase,tilactase,37515NWH9U,439353,WQZGKKKJIJFFOK-FPRJBGLDSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:3899510F8M,3,Gitalin amorphous,gitalin amorphous,3899510F8M,131750165,APSWDBKJUOEMOA-MTEWDWANSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:3C617U1K19,3,Bucelipase alfa,bucelipase alfa,3C617U1K19,160315322,PUUAYGFHOHGGPX-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:3R5UFO57X5,3,Nisotirostide,nisotirostide,3R5UFO57X5,171118544,FUJAXTAKFUGOHA-ZIVFTAJSSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:438UC14NDQ,3,Dalanated insulin,dalanated insulin,438UC14NDQ,70678557,YAJCHEVQCOHZDC-QMMNLEPNSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:4A5OM7PI18,3,TOLEVAMER POTASSIUM SODIUM,tolevamer,4A5OM7PI18,58817179,LZNNAMNPSXBDOT-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:4DVS4AG4DF,2,Interferon alfa-2b,interferon alfa 2b,4DVS4AG4DF,71306834,MIXCUJKCXRNYFM-UHFFFAOYSA-M,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:4QQN74LH4O,2,Graphite,graphite,4QQN74LH4O,5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:4X4HLN92OT,3,Tribulus,tribulus,4X4HLN92OT,10125785,MUKYLHIZBOASDM-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:55J167EEON,3,Catechu,catechu,55J167EEON,9064,PFTAWBLQPZVEMU-DZGCQCFKSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:5RG113V7K3,3,Bevonescein,bevonescein,5RG113V7K3,167312358,QOJOBKQIRSTJPM-VAIPJCBFSA-N,1,167312358,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:5YB9IXQ9FG,3,Methocidin,methocidin,5YB9IXQ9FG,5749,GFRUPHOKLBPHTQ-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:61H83WZX3U,3,QS-21,qs 21,61H83WZX3U,72809956,DRHZYJAUECRAJM-UHFFFAOYSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:639T22V8VD,3,AVIDIN,avidin,639T22V8VD,641528,SBUOHGKIOVRDKY-SCSAIBSYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:63POE2M46Y,2,Elm,elm,63POE2M46Y,137321182,IUMALAAYPYPBAP-RYYFEHCXSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:64FS3BFH5W,1,Epoetin alfa,epoetin alfa,64FS3BFH5W,92043599,CJKGNDLRMLFWEX-IUJNAFBCSA-N,1,11751549,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:6GRV67N0U2,2,Diamond,diamond,6GRV67N0U2,5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:73G3354J8W,3,Eloralintide,eloralintide,73G3354J8W,175663130,RLBIFQNAUXZCQB-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:7A055A9QRR,3,Talactoferrin alfa,talactoferrin alfa,7A055A9QRR,5619,VQLPLYSROCPWFF-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:7AUD376O4W,3,Pegtarazimod,pegtarazimod,7AUD376O4W,172677524,RHYRSQJYHDQJHH-OZXJSYINSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:7MQ2FPB8BJ,3,Enavermotide,enavermotide,7MQ2FPB8BJ,168510685,ZNDDLBOWVYWTNO-AHSGEXSTSA-N,1,68816,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:7XIY785AZD,1,Insulin glulisine,insulin glulisine,7XIY785AZD,168324397,RCHHVVGSTHAVPF-ZPHPLDECSA-N,2,16136701,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:85H0HZU99M,2,Povidone-Iodine,povidone iodine,85H0HZU99M,410087,CPKVUHPKYQGHMW-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:895O8QKF18,3,Gataparsen,gataparsen,895O8QKF18,129858699,BZRZNGDLBBZGMQ-UHFFFAOYSA-N,1,91865465,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:8M7V7Q6537,2,Pegunigalsidase alfa,pegunigalsidase alfa,8M7V7Q6537,121488171,CQPWQUAJPPFCDP-ROUUACIJSA-N,1,121488171,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:8N4GJY7Y56,3,ETAFILCON A,etafilcon a,8N4GJY7Y56,91932556,NLAIHECABDOZBR-UHFFFAOYSA-M,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:8P20S56HZI,2,CALCIUM ALGINATE,calcium alginate,8P20S56HZI,75059443,OKHHGHGGPDJQHR-UHFFFAOYSA-L,1,44630049,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:95HR524N2M,2,Iron Dextran,iron dextran,95HR524N2M,105075,MVZXTUSAYBWAAM-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:981TME683S,2,Ropeginterferon alfa-2b,ropeginterferon alfa 2b,981TME683S,86278347,LICFWYDUJZDCLK-DJNXLDHESA-N,1,86278347,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:98DE7VN88D,2,Mirvetuximab soravtansine,mirvetuximab soravtansine,98DE7VN88D,91810695,ZOHXWSHGANNQGO-DSIKUUPMSA-N,1,91810695,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:9VK7V8762D,3,Sennoside,sennoside,9VK7V8762D,656822,IPQVTOJGNYVQEO-JLDSCGAUSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:9X7O8V25IT,2,Collagenase,collagenase,9X7O8V25IT,75007581,YRQNKMKHABXEJZ-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:A0426J905J,2,Secretin human,secretin human,A0426J905J,16129665,KKNIUBFRGPFELP-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:A370TYK9KO,3,Glucoamylase,glucoamylase,A370TYK9KO,10475633,VXYZBLXGCYNIHP-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:AX6MG4H2RT,3,CC-94676,cc 94676,AX6MG4H2RT,149429863,YUVGVJYLOFTILT-NHYGQJMQSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:B697894SGQ,2,Polyethylene Glycol 400,polyethylene glycol 400,B697894SGQ,174,LYCAIKOWRPUZTN-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:BCB1002X86,3,TAS-1553,tas 1553,BCB1002X86,132203319,DUYRWEBTZNUILI-DIFFPNOSSA-N,1,132203319,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:BIC0KCT1E9,3,Actaplanin,actaplanin,BIC0KCT1E9,16132360,PFEBYWJUETVBLJ-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:CCX72L6NY6,3,Kava Kava,kava kava,CCX72L6NY6,5899068,GTEXBOVBADJOQH-DUXPYHPUSA-N,1,170205,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:D05HXK6R3G,2,Comfrey,comfrey,D05HXK6R3G,6440495,MTHHNSCIBYQVSB-AWNIVKPZSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:D78KBY7BRU,3,Petrelintide,petrelintide,D78KBY7BRU,172915807,TVOIUFVYEVVHCS-HJODGROVSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:D8G495PL3W,3,Vezocolmitide,vezocolmitide,D8G495PL3W,175772080,IYZPSKQQQWDBBG-ZZADNGCVSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:E1NC1JVS3O,2,Politef,politef,E1NC1JVS3O,8301,BFKJFAAPBSQJPD-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:F8H3J9KSY9,3,Astodrimer,astodrimer,F8H3J9KSY9,9856730,KKRXDNYRUZGPFM-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:FQ3DRG0N5K,2,Pancreatin,pancreatin,FQ3DRG0N5K,284483,KQGYUJZLKGSELN-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:FV4Y0JO2CX,3,KEYHOLE LIMPET HEMOCYANIN,keyhole limpet hemocyanin,FV4Y0JO2CX,168009928,NECYLMLMGRVXJM-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
