key,tier,displayName,kind,unii,corpus_inchikey,pubchem_cid_for_unii,pubchem_inchikey_for_unii,skeletons_match
"COMBO:{IK:BRLQWZUYTZBJKN-UHFFFAOYSA-N,K1:506T60A25R}",3,GLUSOFERRON,unii-record-is-a-different-substance,R79WUI68IB,FBPFZTCFMRRESA-JGWLITMVSA-N,171553,VGDATRQLXLLOSX-MFOKLRKYSA-N,False
"COMBO:{IK:DNIAPMSPPWPWGF-VKHMYHEASA-N,K1:1ULL0QJ8UC}",1,DAPAGLIFLOZIN PROPANEDIOL,unii-record-is-a-different-substance,887K2391VH,JVHXJTBJCFBINQ-ADAARDCZSA-N,24906252,GOADIQFWSVMMRJ-UPGAGZFNSA-N,False
"COMBO:{IK:DSFGXPJYDCSWTA-SECBINFHSA-N,K1:2679MF687A}",3,Xantinol Nicotinate,unii-record-is-a-different-substance,392I8XB05H,DSFGXPJYDCSWTA-SECBINFHSA-N,13626940,GEPMAHVDJHFBJI-SBSPUUFOSA-N,False
"COMBO:{IK:JAZBEHYOTPTENJ-RCHUDCCISA-N,IK:OQOCQFSPEWCSDO-RCHUDCCISA-N,IK:YUFFSWGQGVEMMI-RCHUDCCISA-N}",3,OMEGA-3-PENTAENOIC ACIDS,unii-record-is-a-different-substance,317SQ4W8IJ,YUFFSWGQGVEMMI-RCHUDCCISA-N,156009449,MSHVEAAKYBMOTM-VVUKEZRKSA-N,False
"COMBO:{IK:SBFXHXZNBNFPHV-CROXOCCCSA-N,K1:05D48LUM4Z,K1:202229IR8Y,K1:IK4C1OC8NE}",2,ERGOLOID MESYLATES,unii-record-is-a-different-substance,X3S33EX3KW,DEQITUUQPICUMR-HJPBWRTMSA-N,592735,YLXBZBPHTNJZQE-UHFFFAOYSA-N,False
"COMBO:{K1:00A9JB14O6,K1:2027T69J24}",3,METESIND GLUCURONATE,unii-record-is-a-different-substance,8EC044476N,CVEGTZWWWRJCFK-UHFFFAOYSA-N,9852216,WGYHOPIXAFLRPR-LRDBBFHQSA-N,False
"COMBO:{K1:01704YP3MO,K1:HN3OFO5036}",3,AMINOPHENAZONE CYCLAMATE,unii-record-is-a-different-substance,RM5BP192F9,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,170322,NPCNIYOIXLZTQI-UHFFFAOYSA-N,False
"COMBO:{K1:04Z20NMK31,K1:5A614L51CT}",2,INOSINE PRANOBEX,unii-record-is-a-different-substance,W1SO0V223F,UGQMRVRMYYASKQ-KQYNXXCUSA-N,135449284,YLDCUKJMEKGGFI-QCSRICIXSA-N,False
"COMBO:{K1:071P4J77HF,K1:GN5P7K3T8S}",3,CLOFEZONE,unii-record-is-a-different-substance,TPT3MH65LD,VYMDGNCVAMGZFE-UHFFFAOYSA-N,6443874,FNOZOEQGHOYGSF-UHFFFAOYSA-N,False
"COMBO:{K1:0HU2UI27HF,K1:TE7660XO1C}",1,Glycine Propionyl-L-Carnitine,unii-record-is-a-different-substance,8KVN59D5FL,UFAHZIUFPNSHSL-MRVPVSSYSA-N,87469756,UXXCWGVLNFBBAY-DDWIOCJRSA-N,False
"COMBO:{K1:0I55128JYK,K1:TE7660XO1C}",1,THEOPHYLLINE SODIUM GLYCINATE,unii-record-is-a-different-substance,2S36N8T753,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,23663537,AIJQWRAOMFRHTQ-UHFFFAOYSA-M,False
"COMBO:{K1:0I8Y3P32UF,K1:724L30Y2QR}",3,BERBERINE URSODEOXYCHOLATE,unii-record-is-a-different-substance,VM8KQ3W8GM,RUDATBOHQWOJDD-UZVSRGJWSA-N,137552085,FHZVFXJRSFLYDY-FUXQPCDDSA-M,False
"COMBO:{K1:0J48LPH2TH,K1:9G64RSX1XD}",3,CO-ZIDOCAPT,unii-record-is-a-different-substance,YQ0UGU4SE2,JZUFKLXOESDKRF-UHFFFAOYSA-N,159328,SFIUYASDNWEYDB-HHQFNNIRSA-N,False
