key,tier,displayName,has_unii,has_inchikey,is_combination
COMBO:NAME:astragalus exscapus flowering fruiting,3,Astragalus Exscapus Whole Flowering/Fruiting,True,False,True
COMBO:NAME:bordetella pertussis fimbriae 2 3 antigen,3,Bordetella Pertussis Fimbriae 2/3 Antigen,True,False,True
COMBO:NAME:cairina moschata heart liver autolysate,2,Cairina Moschata Heart/Liver Autolysate,True,False,True
COMBO:NAME:comocladia dentata bark leaf,2,Comocladia Dentata Bark/Leaf,True,False,True
COMBO:NAME:euonymus atropurpureus branch bark root bark,3,Euonymus Atropurpureus Branch Bark/Root Bark,True,False,True
COMBO:NAME:ferment complex 6 pf,3,Ferment Complex 6/Pf,True,False,True
COMBO:NAME:follitropin alfa beta,1,Follitropin Alfa/Beta,True,False,True
COMBO:NAME:grindelia camporum flower leaf,3,Grindelia Camporum Flower/Leaf,True,False,True
COMBO:NAME:hamamelis virginiana root bark stem bark,2,Hamamelis Virginiana Root Bark/Stem Bark,True,False,True
COMBO:NAME:hawthorn leaf with flower,2,Hawthorn Leaf with Flower,True,False,True
COMBO:NAME:human botulinum neurotoxin a b immune globulin,3,Human Botulinum Neurotoxin A/B Immune Globulin,True,False,True
COMBO:NAME:influenza a virus a croatia 10136rv 2023 x 425a antigen,3,Influenza A Virus A/Croatia/10136rv/2023 X-425a Antigen,True,False,True
COMBO:NAME:influenza a virus a darwin 6 2021,3,Influenza A Virus A/Darwin/6/2021 Whole,True,False,True
COMBO:NAME:influenza a virus a darwin 9 2021 ivr 228 antigen,3,Influenza A Virus A/Darwin/9/2021 Ivr-228 Antigen,True,False,True
COMBO:NAME:influenza a virus a darwin 9 2021 ivr 228 hemagglutinin antigen,3,Influenza A Virus A/Darwin/9/2021 Ivr-228 Hemagglutinin Antigen,True,False,True
COMBO:NAME:influenza a virus a guangdong maonan swl1536 2019 cnic 1909 antigen,3,Influenza A Virus A/Guangdong-Maonan/Swl1536/2019 Cnic-1909 Antigen,True,False,True
COMBO:NAME:influenza a virus a hong kong 2671 2019 ivr 208 antigen,3,Influenza A Virus A/Hong Kong/2671/2019 Ivr-208 Antigen,True,False,True
COMBO:NAME:influenza a virus a michigan 105 2025 san 049a antigen,3,Influenza A Virus A/Michigan/105/2025 San-049a Antigen,True,False,True
