page_a,page_b,width,jaccard,indexable_a,indexable_b
adrenals,andrographis,390,0.9762,false,false
adrenals,circada,390,0.9762,false,false
adrenals,eclipta,390,0.9762,false,false
adrenals,exopeptidase,390,0.9762,false,false
adrenals,fringetree,390,0.9762,false,false
adrenals,gorse,390,0.9762,false,false
adrenals,grain,390,0.9762,false,false
adrenals,hemidesmus,390,0.9762,false,false
adrenals,jatoba,390,0.9762,false,false
adrenals,millettia,390,0.9762,false,false
adrenals,peptidase,390,0.9762,false,false
adrenals,pokeweed,390,0.9762,false,false
adrenals,pseudostellaria,390,0.9762,false,false
adrenals,rupturewort,390,0.9762,false,false
adrenals,siler,390,0.9762,false,false
adrenals,testes,390,0.9762,false,false
andrographis,circada,390,0.9762,false,false
andrographis,eclipta,390,0.9762,false,false
andrographis,exopeptidase,390,0.9762,false,false
andrographis,fringetree,390,0.9762,false,false
andrographis,gorse,390,0.9762,false,false
andrographis,grain,390,0.9762,false,false
andrographis,hemidesmus,390,0.9762,false,false
andrographis,jatoba,390,0.9762,false,false
andrographis,millettia,390,0.9762,false,false
andrographis,peptidase,390,0.9762,false,false
andrographis,pokeweed,390,0.9762,false,false
andrographis,pseudostellaria,390,0.9762,false,false
andrographis,rupturewort,390,0.9762,false,false
andrographis,siler,390,0.9762,false,false
andrographis,testes,390,0.9762,false,false
circada,eclipta,390,0.9762,false,false
circada,exopeptidase,390,0.9762,false,false
circada,fringetree,390,0.9762,false,false
circada,gorse,390,0.9762,false,false
circada,grain,390,0.9762,false,false
circada,hemidesmus,390,0.9762,false,false
circada,jatoba,390,0.9762,false,false
circada,millettia,390,0.9762,false,false
circada,peptidase,390,0.9762,false,false
circada,pokeweed,390,0.9762,false,false
circada,pseudostellaria,390,0.9762,false,false
circada,rupturewort,390,0.9762,false,false
circada,siler,390,0.9762,false,false
circada,testes,390,0.9762,false,false
eclipta,exopeptidase,390,0.9762,false,false
eclipta,fringetree,390,0.9762,false,false
eclipta,gorse,390,0.9762,false,false
eclipta,grain,390,0.9762,false,false
eclipta,hemidesmus,390,0.9762,false,false
eclipta,jatoba,390,0.9762,false,false
eclipta,millettia,390,0.9762,false,false
eclipta,peptidase,390,0.9762,false,false
eclipta,pokeweed,390,0.9762,false,false
eclipta,pseudostellaria,390,0.9762,false,false
eclipta,rupturewort,390,0.9762,false,false
eclipta,siler,390,0.9762,false,false
eclipta,testes,390,0.9762,false,false
exopeptidase,fringetree,390,0.9762,false,false
exopeptidase,gorse,390,0.9762,false,false
exopeptidase,grain,390,0.9762,false,false
exopeptidase,hemidesmus,390,0.9762,false,false
exopeptidase,jatoba,390,0.9762,false,false
exopeptidase,millettia,390,0.9762,false,false
exopeptidase,peptidase,390,0.9762,false,false
exopeptidase,pokeweed,390,0.9762,false,false
exopeptidase,pseudostellaria,390,0.9762,false,false
exopeptidase,rupturewort,390,0.9762,false,false
exopeptidase,siler,390,0.9762,false,false
exopeptidase,testes,390,0.9762,false,false
fringetree,gorse,390,0.9762,false,false
fringetree,grain,390,0.9762,false,false
fringetree,hemidesmus,390,0.9762,false,false
fringetree,jatoba,390,0.9762,false,false
fringetree,millettia,390,0.9762,false,false
fringetree,peptidase,390,0.9762,false,false
fringetree,pokeweed,390,0.9762,false,false
fringetree,pseudostellaria,390,0.9762,false,false
fringetree,rupturewort,390,0.9762,false,false
fringetree,siler,390,0.9762,false,false
fringetree,testes,390,0.9762,false,false
gorse,grain,390,0.9762,false,false
gorse,hemidesmus,390,0.9762,false,false
gorse,jatoba,390,0.9762,false,false
gorse,millettia,390,0.9762,false,false
gorse,peptidase,390,0.9762,false,false
gorse,pokeweed,390,0.9762,false,false
gorse,pseudostellaria,390,0.9762,false,false
gorse,rupturewort,390,0.9762,false,false
gorse,siler,390,0.9762,false,false
gorse,testes,390,0.9762,false,false
grain,hemidesmus,390,0.9762,false,false
grain,jatoba,390,0.9762,false,false
grain,millettia,390,0.9762,false,false
grain,peptidase,390,0.9762,false,false
grain,pokeweed,390,0.9762,false,false
grain,pseudostellaria,390,0.9762,false,false
grain,rupturewort,390,0.9762,false,false
grain,siler,390,0.9762,false,false
grain,testes,390,0.9762,false,false
hemidesmus,jatoba,390,0.9762,false,false
hemidesmus,millettia,390,0.9762,false,false
hemidesmus,peptidase,390,0.9762,false,false
hemidesmus,pokeweed,390,0.9762,false,false
hemidesmus,pseudostellaria,390,0.9762,false,false
hemidesmus,rupturewort,390,0.9762,false,false
hemidesmus,siler,390,0.9762,false,false
hemidesmus,testes,390,0.9762,false,false
jatoba,millettia,390,0.9762,false,false
jatoba,peptidase,390,0.9762,false,false
jatoba,pokeweed,390,0.9762,false,false
jatoba,pseudostellaria,390,0.9762,false,false
jatoba,rupturewort,390,0.9762,false,false
jatoba,siler,390,0.9762,false,false
jatoba,testes,390,0.9762,false,false
millettia,peptidase,390,0.9762,false,false
millettia,pokeweed,390,0.9762,false,false
millettia,pseudostellaria,390,0.9762,false,false
millettia,rupturewort,390,0.9762,false,false
millettia,siler,390,0.9762,false,false
millettia,testes,390,0.9762,false,false
peptidase,pokeweed,390,0.9762,false,false
peptidase,pseudostellaria,390,0.9762,false,false
peptidase,rupturewort,390,0.9762,false,false
peptidase,siler,390,0.9762,false,false
peptidase,testes,390,0.9762,false,false
pokeweed,pseudostellaria,390,0.9762,false,false
pokeweed,rupturewort,390,0.9762,false,false
pokeweed,siler,390,0.9762,false,false
pokeweed,testes,390,0.9762,false,false
pseudostellaria,rupturewort,390,0.9762,false,false
pseudostellaria,siler,390,0.9762,false,false
pseudostellaria,testes,390,0.9762,false,false
rupturewort,siler,390,0.9762,false,false
rupturewort,testes,390,0.9762,false,false
siler,testes,390,0.9762,false,false
adrenals,african-snakeroot,390,0.9647,false,false
adrenals,agaricus-mushroom,390,0.9647,false,false
adrenals,boerhavia-diffusa,390,0.9647,false,false
adrenals,broom-corn,390,0.9647,false,false
adrenals,green-onion,390,0.9647,false,false
adrenals,jujube-seeds,390,0.9647,false,false
adrenals,kuding-tea,390,0.9647,false,false
adrenals,lactococcus-casei,390,0.9647,false,false
adrenals,lactococcus-rhamnosus,390,0.9647,false,false
adrenals,massularia-acuminata,390,0.9647,false,false
adrenals,oxytropis-falcate,390,0.9647,false,false
adrenals,pacific-yew,390,0.9647,false,false
adrenals,palm-wax,390,0.9647,false,false
adrenals,pseudomonas-calcis,390,0.9647,false,false
adrenals,rehmannia-elata,390,0.9647,false,false
adrenals,short-buchu,390,0.9647,false,false
adrenals,sichuan-lovage,390,0.9647,false,false
adrenals,taxillus-chinensis,390,0.9647,false,false
adrenals,thymus-satureioides,390,0.9647,false,false
adrenals,tiger-nut,390,0.9647,false,false
adrenals,valine-pyroglutamate,390,0.9647,false,false
adrenals,white-willow,390,0.9647,false,false
adrenals,wild-bergamot,390,0.9647,false,false
african-snakeroot,andrographis,390,0.9647,false,false
african-snakeroot,circada,390,0.9647,false,false
african-snakeroot,eclipta,390,0.9647,false,false
african-snakeroot,exopeptidase,390,0.9647,false,false
african-snakeroot,fringetree,390,0.9647,false,false
african-snakeroot,gorse,390,0.9647,false,false
african-snakeroot,grain,390,0.9647,false,false
african-snakeroot,hemidesmus,390,0.9647,false,false
african-snakeroot,jatoba,390,0.9647,false,false
african-snakeroot,millettia,390,0.9647,false,false
african-snakeroot,peptidase,390,0.9647,false,false
african-snakeroot,pokeweed,390,0.9647,false,false
african-snakeroot,pseudostellaria,390,0.9647,false,false
african-snakeroot,rupturewort,390,0.9647,false,false
african-snakeroot,siler,390,0.9647,false,false
african-snakeroot,testes,390,0.9647,false,false
agaricus-mushroom,andrographis,390,0.9647,false,false
agaricus-mushroom,circada,390,0.9647,false,false
agaricus-mushroom,eclipta,390,0.9647,false,false
agaricus-mushroom,exopeptidase,390,0.9647,false,false
agaricus-mushroom,fringetree,390,0.9647,false,false
agaricus-mushroom,gorse,390,0.9647,false,false
agaricus-mushroom,grain,390,0.9647,false,false
agaricus-mushroom,hemidesmus,390,0.9647,false,false
agaricus-mushroom,jatoba,390,0.9647,false,false
agaricus-mushroom,millettia,390,0.9647,false,false
agaricus-mushroom,peptidase,390,0.9647,false,false
agaricus-mushroom,pokeweed,390,0.9647,false,false
agaricus-mushroom,pseudostellaria,390,0.9647,false,false
agaricus-mushroom,rupturewort,390,0.9647,false,false
agaricus-mushroom,siler,390,0.9647,false,false
agaricus-mushroom,testes,390,0.9647,false,false
andrographis,boerhavia-diffusa,390,0.9647,false,false
andrographis,broom-corn,390,0.9647,false,false
andrographis,green-onion,390,0.9647,false,false
andrographis,jujube-seeds,390,0.9647,false,false
andrographis,kuding-tea,390,0.9647,false,false
andrographis,lactococcus-casei,390,0.9647,false,false
andrographis,lactococcus-rhamnosus,390,0.9647,false,false
andrographis,massularia-acuminata,390,0.9647,false,false
andrographis,oxytropis-falcate,390,0.9647,false,false
andrographis,pacific-yew,390,0.9647,false,false
andrographis,palm-wax,390,0.9647,false,false
andrographis,pseudomonas-calcis,390,0.9647,false,false
andrographis,rehmannia-elata,390,0.9647,false,false
andrographis,short-buchu,390,0.9647,false,false
andrographis,sichuan-lovage,390,0.9647,false,false
andrographis,taxillus-chinensis,390,0.9647,false,false
andrographis,thymus-satureioides,390,0.9647,false,false
andrographis,tiger-nut,390,0.9647,false,false
andrographis,valine-pyroglutamate,390,0.9647,false,false
andrographis,white-willow,390,0.9647,false,false
andrographis,wild-bergamot,390,0.9647,false,false
boerhavia-diffusa,circada,390,0.9647,false,false
boerhavia-diffusa,eclipta,390,0.9647,false,false
boerhavia-diffusa,exopeptidase,390,0.9647,false,false
boerhavia-diffusa,fringetree,390,0.9647,false,false
boerhavia-diffusa,gorse,390,0.9647,false,false
boerhavia-diffusa,grain,390,0.9647,false,false
boerhavia-diffusa,hemidesmus,390,0.9647,false,false
boerhavia-diffusa,jatoba,390,0.9647,false,false
boerhavia-diffusa,millettia,390,0.9647,false,false
boerhavia-diffusa,peptidase,390,0.9647,false,false
boerhavia-diffusa,pokeweed,390,0.9647,false,false
boerhavia-diffusa,pseudostellaria,390,0.9647,false,false
boerhavia-diffusa,rupturewort,390,0.9647,false,false
boerhavia-diffusa,siler,390,0.9647,false,false
boerhavia-diffusa,testes,390,0.9647,false,false
broom-corn,circada,390,0.9647,false,false
broom-corn,eclipta,390,0.9647,false,false
broom-corn,exopeptidase,390,0.9647,false,false
broom-corn,fringetree,390,0.9647,false,false
broom-corn,gorse,390,0.9647,false,false
broom-corn,grain,390,0.9647,false,false
broom-corn,hemidesmus,390,0.9647,false,false
broom-corn,jatoba,390,0.9647,false,false
broom-corn,millettia,390,0.9647,false,false
broom-corn,peptidase,390,0.9647,false,false
broom-corn,pokeweed,390,0.9647,false,false
broom-corn,pseudostellaria,390,0.9647,false,false
broom-corn,rupturewort,390,0.9647,false,false
broom-corn,siler,390,0.9647,false,false
broom-corn,testes,390,0.9647,false,false
circada,green-onion,390,0.9647,false,false
circada,jujube-seeds,390,0.9647,false,false
circada,kuding-tea,390,0.9647,false,false
circada,lactococcus-casei,390,0.9647,false,false
circada,lactococcus-rhamnosus,390,0.9647,false,false
circada,massularia-acuminata,390,0.9647,false,false
circada,oxytropis-falcate,390,0.9647,false,false
circada,pacific-yew,390,0.9647,false,false
circada,palm-wax,390,0.9647,false,false
circada,pseudomonas-calcis,390,0.9647,false,false
circada,rehmannia-elata,390,0.9647,false,false
circada,short-buchu,390,0.9647,false,false
circada,sichuan-lovage,390,0.9647,false,false
circada,taxillus-chinensis,390,0.9647,false,false
circada,thymus-satureioides,390,0.9647,false,false
circada,tiger-nut,390,0.9647,false,false
circada,valine-pyroglutamate,390,0.9647,false,false
circada,white-willow,390,0.9647,false,false
circada,wild-bergamot,390,0.9647,false,false
eclipta,green-onion,390,0.9647,false,false
eclipta,jujube-seeds,390,0.9647,false,false
eclipta,kuding-tea,390,0.9647,false,false
eclipta,lactococcus-casei,390,0.9647,false,false
eclipta,lactococcus-rhamnosus,390,0.9647,false,false
eclipta,massularia-acuminata,390,0.9647,false,false
eclipta,oxytropis-falcate,390,0.9647,false,false
eclipta,pacific-yew,390,0.9647,false,false
eclipta,palm-wax,390,0.9647,false,false
