page_a,page_b,width,jaccard,indexable_a,indexable_b
blue-vervain,vervain,390,0.9881,false,false
celastrus,cyanostane,390,0.9762,false,false
celastrus,dragonhead,390,0.9762,false,false
celastrus,jaboticaba,390,0.9762,false,false
celastrus,lactalbumin,390,0.9762,false,false
celastrus,lucuma,390,0.9762,false,false
celastrus,magnolia,390,0.9762,false,false
celastrus,melia,390,0.9762,false,false
celastrus,melitidine,390,0.9762,false,false
celastrus,mycozyme,390,0.9762,false,false
celastrus,noni,390,0.9762,false,false
celastrus,notopterygium,390,0.9762,false,false
celastrus,phaseolamin,390,0.9762,false,false
celastrus,tejocote,390,0.9762,false,false
celastrus,turmerones,390,0.9762,false,false
celastrus,vervain,390,0.9762,false,false
cyanostane,dragonhead,390,0.9762,false,false
cyanostane,jaboticaba,390,0.9762,false,false
cyanostane,lactalbumin,390,0.9762,false,false
cyanostane,lucuma,390,0.9762,false,false
cyanostane,magnolia,390,0.9762,false,false
cyanostane,melia,390,0.9762,false,false
cyanostane,melitidine,390,0.9762,false,false
cyanostane,mycozyme,390,0.9762,false,false
cyanostane,noni,390,0.9762,false,false
cyanostane,notopterygium,390,0.9762,false,false
cyanostane,phaseolamin,390,0.9762,false,false
cyanostane,tejocote,390,0.9762,false,false
cyanostane,turmerones,390,0.9762,false,false
cyanostane,vervain,390,0.9762,false,false
dragonhead,jaboticaba,390,0.9762,false,false
dragonhead,lactalbumin,390,0.9762,false,false
dragonhead,lucuma,390,0.9762,false,false
dragonhead,magnolia,390,0.9762,false,false
dragonhead,melia,390,0.9762,false,false
dragonhead,melitidine,390,0.9762,false,false
dragonhead,mycozyme,390,0.9762,false,false
dragonhead,noni,390,0.9762,false,false
dragonhead,notopterygium,390,0.9762,false,false
dragonhead,phaseolamin,390,0.9762,false,false
dragonhead,tejocote,390,0.9762,false,false
dragonhead,turmerones,390,0.9762,false,false
dragonhead,vervain,390,0.9762,false,false
jaboticaba,lactalbumin,390,0.9762,false,false
jaboticaba,lucuma,390,0.9762,false,false
jaboticaba,magnolia,390,0.9762,false,false
jaboticaba,melia,390,0.9762,false,false
jaboticaba,melitidine,390,0.9762,false,false
jaboticaba,mycozyme,390,0.9762,false,false
jaboticaba,noni,390,0.9762,false,false
jaboticaba,notopterygium,390,0.9762,false,false
jaboticaba,phaseolamin,390,0.9762,false,false
jaboticaba,tejocote,390,0.9762,false,false
jaboticaba,turmerones,390,0.9762,false,false
jaboticaba,vervain,390,0.9762,false,false
lactalbumin,lucuma,390,0.9762,false,false
lactalbumin,magnolia,390,0.9762,false,false
lactalbumin,melia,390,0.9762,false,false
lactalbumin,melitidine,390,0.9762,false,false
lactalbumin,mycozyme,390,0.9762,false,false
lactalbumin,noni,390,0.9762,false,false
lactalbumin,notopterygium,390,0.9762,false,false
lactalbumin,phaseolamin,390,0.9762,false,false
lactalbumin,tejocote,390,0.9762,false,false
lactalbumin,turmerones,390,0.9762,false,false
lactalbumin,vervain,390,0.9762,false,false
lucuma,magnolia,390,0.9762,false,false
lucuma,melia,390,0.9762,false,false
lucuma,melitidine,390,0.9762,false,false
lucuma,mycozyme,390,0.9762,false,false
lucuma,noni,390,0.9762,false,false
lucuma,notopterygium,390,0.9762,false,false
lucuma,phaseolamin,390,0.9762,false,false
lucuma,tejocote,390,0.9762,false,false
lucuma,turmerones,390,0.9762,false,false
lucuma,vervain,390,0.9762,false,false
magnolia,melia,390,0.9762,false,false
magnolia,melitidine,390,0.9762,false,false
magnolia,mycozyme,390,0.9762,false,false
magnolia,noni,390,0.9762,false,false
magnolia,notopterygium,390,0.9762,false,false
magnolia,phaseolamin,390,0.9762,false,false
magnolia,tejocote,390,0.9762,false,false
magnolia,turmerones,390,0.9762,false,false
magnolia,vervain,390,0.9762,false,false
melia,melitidine,390,0.9762,false,false
melia,mycozyme,390,0.9762,false,false
melia,noni,390,0.9762,false,false
melia,notopterygium,390,0.9762,false,false
melia,phaseolamin,390,0.9762,false,false
melia,tejocote,390,0.9762,false,false
melia,turmerones,390,0.9762,false,false
melia,vervain,390,0.9762,false,false
melitidine,mycozyme,390,0.9762,false,false
melitidine,noni,390,0.9762,false,false
melitidine,notopterygium,390,0.9762,false,false
melitidine,phaseolamin,390,0.9762,false,false
melitidine,tejocote,390,0.9762,false,false
melitidine,turmerones,390,0.9762,false,false
melitidine,vervain,390,0.9762,false,false
mycozyme,noni,390,0.9762,false,false
mycozyme,notopterygium,390,0.9762,false,false
mycozyme,phaseolamin,390,0.9762,false,false
mycozyme,tejocote,390,0.9762,false,false
mycozyme,turmerones,390,0.9762,false,false
mycozyme,vervain,390,0.9762,false,false
noni,notopterygium,390,0.9762,false,false
noni,phaseolamin,390,0.9762,false,false
noni,tejocote,390,0.9762,false,false
noni,turmerones,390,0.9762,false,false
noni,vervain,390,0.9762,false,false
notopterygium,phaseolamin,390,0.9762,false,false
notopterygium,tejocote,390,0.9762,false,false
notopterygium,turmerones,390,0.9762,false,false
notopterygium,vervain,390,0.9762,false,false
phaseolamin,tejocote,390,0.9762,false,false
phaseolamin,turmerones,390,0.9762,false,false
phaseolamin,vervain,390,0.9762,false,false
tejocote,turmerones,390,0.9762,false,false
tejocote,vervain,390,0.9762,false,false
turmerones,vervain,390,0.9762,false,false
asparagus-fern,celastrus,390,0.9647,false,false
asparagus-fern,cyanostane,390,0.9647,false,false
asparagus-fern,dragonhead,390,0.9647,false,false
asparagus-fern,jaboticaba,390,0.9647,false,false
asparagus-fern,lactalbumin,390,0.9647,false,false
asparagus-fern,lucuma,390,0.9647,false,false
asparagus-fern,magnolia,390,0.9647,false,false
asparagus-fern,melia,390,0.9647,false,false
asparagus-fern,melitidine,390,0.9647,false,false
asparagus-fern,mycozyme,390,0.9647,false,false
asparagus-fern,noni,390,0.9647,false,false
asparagus-fern,notopterygium,390,0.9647,false,false
asparagus-fern,phaseolamin,390,0.9647,false,false
asparagus-fern,tejocote,390,0.9647,false,false
asparagus-fern,turmerones,390,0.9647,false,false
asparagus-fern,vervain,390,0.9647,false,false
autumn-crocus,celastrus,390,0.9647,false,false
autumn-crocus,cyanostane,390,0.9647,false,false
autumn-crocus,dragonhead,390,0.9647,false,false
autumn-crocus,jaboticaba,390,0.9647,false,false
autumn-crocus,lactalbumin,390,0.9647,false,false
autumn-crocus,lucuma,390,0.9647,false,false
autumn-crocus,magnolia,390,0.9647,false,false
autumn-crocus,melia,390,0.9647,false,false
autumn-crocus,melitidine,390,0.9647,false,false
autumn-crocus,mycozyme,390,0.9647,false,false
autumn-crocus,noni,390,0.9647,false,false
autumn-crocus,notopterygium,390,0.9647,false,false
autumn-crocus,phaseolamin,390,0.9647,false,false
autumn-crocus,tejocote,390,0.9647,false,false
autumn-crocus,turmerones,390,0.9647,false,false
autumn-crocus,vervain,390,0.9647,false,false
bidens-pilosa,celastrus,390,0.9647,false,false
