page_a,page_b,width,jaccard,indexable_a,indexable_b,set_a,set_b
acacia-fiber,soy-fiber,390,0.973,false,false,noindex-sample,noindex-sample
arugula,aspergillopepsin,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,emulsifer,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,glyceride,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,iporuru,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,longan,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,oroxylum,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,porphyra,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,savory,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,semiaquilegia,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,thiosulfanate,390,0.9726,false,false,noindex-sample,noindex-sample
arugula,yarrow,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,emulsifer,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,glyceride,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,iporuru,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,longan,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,oroxylum,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,porphyra,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,savory,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,semiaquilegia,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,thiosulfanate,390,0.9726,false,false,noindex-sample,noindex-sample
aspergillopepsin,yarrow,390,0.9726,false,false,noindex-sample,noindex-sample
emulsifer,glyceride,390,0.9726,false,false,noindex-sample,noindex-sample
emulsifer,iporuru,390,0.9726,false,false,noindex-sample,noindex-sample
emulsifer,longan,390,0.9726,false,false,noindex-sample,noindex-sample
emulsifer,oroxylum,390,0.9726,false,false,noindex-sample,noindex-sample
emulsifer,porphyra,390,0.9726,false,false,noindex-sample,noindex-sample
