page_a,page_b,width,jaccard,indexable_a,indexable_b
chia-protein,hemp-protein,390,0.9649,false,false
arugula,belamcanda,390,0.9643,false,false
arugula,cassia,390,0.9643,false,false
arugula,cedar,390,0.9643,false,false
arugula,condonopsis,390,0.9643,false,false
arugula,cyathula,390,0.9643,false,false
arugula,dipsacus,390,0.9643,false,false
arugula,eschsoltzaxanthone,390,0.9643,false,false
arugula,isatis,390,0.9643,false,false
arugula,lithothamnium,390,0.9643,false,false
arugula,lodhtree,390,0.9643,false,false
arugula,lysophosphtidylcholine,390,0.9643,false,false
arugula,molluscs,390,0.9643,false,false
arugula,mycozyme,390,0.9643,false,false
arugula,phycocyanins,390,0.9643,false,false
arugula,ruscus,390,0.9643,false,false
arugula,tapioca,390,0.9643,false,false
arugula,tremella,390,0.9643,false,false
belamcanda,cassia,390,0.9643,false,false
belamcanda,cedar,390,0.9643,false,false
belamcanda,condonopsis,390,0.9643,false,false
belamcanda,cyathula,390,0.9643,false,false
belamcanda,dipsacus,390,0.9643,false,false
belamcanda,eschsoltzaxanthone,390,0.9643,false,false
belamcanda,isatis,390,0.9643,false,false
belamcanda,lithothamnium,390,0.9643,false,false
belamcanda,lodhtree,390,0.9643,false,false
belamcanda,lysophosphtidylcholine,390,0.9643,false,false
belamcanda,molluscs,390,0.9643,false,false
belamcanda,mycozyme,390,0.9643,false,false
belamcanda,phycocyanins,390,0.9643,false,false
belamcanda,ruscus,390,0.9643,false,false
belamcanda,tapioca,390,0.9643,false,false
belamcanda,tremella,390,0.9643,false,false
cassia,cedar,390,0.9643,false,false
cassia,condonopsis,390,0.9643,false,false
cassia,cyathula,390,0.9643,false,false
cassia,dipsacus,390,0.9643,false,false
cassia,eschsoltzaxanthone,390,0.9643,false,false
cassia,isatis,390,0.9643,false,false
cassia,lithothamnium,390,0.9643,false,false
cassia,lodhtree,390,0.9643,false,false
cassia,lysophosphtidylcholine,390,0.9643,false,false
cassia,molluscs,390,0.9643,false,false
cassia,mycozyme,390,0.9643,false,false
cassia,phycocyanins,390,0.9643,false,false
