key,display_name,tier,model,suppression_classes,cited_classes,present_fields,question_rows
COMBO:NAME:human botulinum neurotoxin a b immune globulin,Human Botulinum Neurotoxin A/B Immune Globulin,3,DEVELOPMENT,S7,S7,1,0
K1:027828ZV5Q,Gold (198au) colloidal,3,DEVELOPMENT,S1,S1,2,0
K1:0R97XIX3OA,Fazadinium,3,DEVELOPMENT,S7,S7,2,0
K1:135FQ40L36,Mannosulfan,3,DEVELOPMENT,S1 S4,S1 S4,2,0
K1:1CB0HBT12C,Carboquone,3,DEVELOPMENT,S1 S4,S1 S4,2,0
K1:290YE8AR51,Trichloroethylene,3,DEVELOPMENT,S1,S1,2,0
K1:3KXW0Y310I,Bezitramide,3,DEVELOPMENT,S1,S1,2,0
K1:5SL0G7R0OK,Anhydrous Dextrose,3,DEVELOPMENT,S7,S7,1,0
K1:5Y48085P9Q,Aprindine,3,DEVELOPMENT,S1,S1,2,0
K1:8BR2SOL3L1,RADIUM RA-223,3,DEVELOPMENT,S1,S1,2,0
K1:92VV7G83ED,ANTIVENIN (CROTALIDAE) POLYVALENT,3,DEVELOPMENT,S7,S7,2,0
K1:953A94Y45B,Levofenfluramine,3,DEVELOPMENT,S8,S8,2,0
K1:AJ1QI6OAU0,Opinercept,3,DEVELOPMENT,S1,S1,2,0
K1:B69U29O7J9,Gitoformate,3,DEVELOPMENT,S1,S1,2,0
K1:B9DMX93Z6X,Seniprutug,3,DEVELOPMENT,S1,S1,2,0
K1:CKS1YQ9W1J,Sodium aurotiosulfate,3,DEVELOPMENT,S1,S1,2,0
K1:DY02T48R2B,ETIRINOTECAN PEGOL TETRATRIFLUTATE,3,DEVELOPMENT,S1 S4,S1 S4,1,0
K1:F3D5D9P25I,Triaziquone,3,DEVELOPMENT,S1 S4,S1 S4,2,0
K1:G9BH09J4JW,Phenoperidine,3,DEVELOPMENT,S1,S1,2,0
K1:GH09PRQ3FU,Bunaftine,3,DEVELOPMENT,S1,S1,2,0
K1:H727SQ6OHQ,ETIRINOTECAN PEGOL TETRAHYDROCHLORIDE,3,DEVELOPMENT,S1 S4,S1 S4,1,0
K1:I7GG1YUC5V,Metildigoxin,3,DEVELOPMENT,S1,S1,2,0
K1:I8266RI90M,P-TOLUENESULFONAMIDE,3,DEVELOPMENT,S1 S4,S1 S4,2,0
K1:ITY7G7Q744,Coccidioides Immitis Spherule,3,DEVELOPMENT,S6,S6,1,0
K1:KC6BL281EN,Proscillaridin,3,DEVELOPMENT,S1,S1,2,0
K1:KGJ2T0N7IQ,Lorcainide,3,DEVELOPMENT,S1,S1,2,0
K1:PQS1L514CF,Ketobemidone,3,DEVELOPMENT,S1,S1,2,0
K1:RYH2T97J77,Ranimustine,3,DEVELOPMENT,S1 S4,S1 S4,2,0
K1:S8U3J5W06N,Alcuronium,3,DEVELOPMENT,S7,S7,2,0
K1:UK6392GD5W,Oxycinchophen,3,DEVELOPMENT,S1,S1,2,0
K1:ULJ82834RE,Tiazofurine,3,DEVELOPMENT,S1 S4,S1 S4,2,0
K1:Y95FRL95FW,Nicomorphine,3,DEVELOPMENT,S1,S1,2,0
K1:Z01IVE25KI,Demecolcine,3,DEVELOPMENT,S1 S4,S1 S4,2,0
K1:Z7489237QT,Cibenzoline,3,DEVELOPMENT,S1,S1,2,0
K2:FBTUMDXHSRTGRV-ALTNURHMSA-N,Zorubicin,3,DEVELOPMENT,S1 S4,S1 S4,2,0
K2:LAHDERDHXJFFJU-RVPOWFKMSA-N,Lorajmine,3,DEVELOPMENT,S1,S1,2,0
K2:WDEFBBTXULIOBB-UHFFFAOYSA-N,Tilidine,3,DEVELOPMENT,S1,S1,2,0
K2:ZQHYKVKNPWDQSL-UHFFFAOYSA-N,Phenazocine,3,DEVELOPMENT,S1,S1,2,0
K3:CHEMBL2108335,Sitimagene ceradenovec,3,DEVELOPMENT,S1 S4,S1 S4,2,0
