schedule_code,item_number,primary_name,substance,reason
MDA-Sch1-Part1-ClassA,12,Benzylmorphine,Benzylmorphine (3-benzylmorphine),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,13,1-Benzylpiperazine,1-Benzylpiperazine (also known as BZP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,24,Cannabinol derivatives,Cannabinol derivatives,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,25,Cannabis and cannabis resin,Cannabis and cannabis resin,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,28,Coca leaf,Coca leaf,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,31,"4-Cyano-2-dimethylamino-4,4-diphenylbutane","4-Cyano-2-dimethylamino-4,4-diphenylbutane",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,32,4-Cyano-1-methyl-4-phenyl-piperidine,4-Cyano-1-methyl-4-phenyl-piperidine,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,36A,"N,N-Diethyl-3-hydroxy-7-methyl-2-oxo-4,6,6a,7,8,9-hexahydroindolo-[4,3-fg]quinoline-9-carboxamide","N,N-Diethyl-3-hydroxy-7-methyl-2-oxo-4,6,6a,7,8,9-hexahydroindolo-[4,3-fg]quinoline-9-carboxamide (also known as 2‑Oxo-3-hydroxy-LSD) and its acyclic secondary and tertiary amide structural isomers",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,40,Dihydroetorphine,Dihydroetorphine,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,87,"N-Methyl-α-ethyl-3,4-(methylenedioxy)phenethylamine","N-Methyl-α-ethyl-3,4-(methylenedioxy)phenethylamine (also known as MBDB)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,88,"N-[α-Methyl-3,4-(methylenedioxy)phenethyl]hydroxylamine","N-[α-Methyl-3,4-(methylenedioxy)phenethyl]hydroxylamine (also known as N-Hydroxy MDA)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,90,"2-Methyl-3-morpholino-1,1-diphenylpropanecarboxylic acid","2-Methyl-3-morpholino-1,1-diphenylpropanecarboxylic acid",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,91,1-Methyl-4-phenylpiperidine-4-carboxylic acid,1-Methyl-4-phenylpiperidine-4-carboxylic acid,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,92,4-Methylaminorex,4-Methylaminorex,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,95,4-Methylthioamphetamine,4-Methylthioamphetamine,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,98,Monoacetylmorphine,Monoacetylmorphine,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,101,Morphine methobromide,"Morphine methobromide, morphine N-oxide and other pentavalent nitrogen morphine derivatives",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,106,Norketamine,Norketamine and its dehydro derivatives,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,121,4-Phenylpiperidine-4-carboxylic acid ethyl ester,4-Phenylpiperidine-4-carboxylic acid ethyl ester,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,124,Poppy-straw and concentrate of poppy-straw,Poppy-straw and concentrate of poppy-straw,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,134A,"6,7,8,14-Tetradehydro-4,5-α-epoxy-6-methoxy-17-methylmorphinan-3-ol","6,7,8,14-Tetradehydro-4,5-α-epoxy-6-methoxy-17-methylmorphinan-3-ol (also known as 3-O-demethylthebaine or Oripavine)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,136,Thebaine,Thebaine,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,138,1-(3-Trifluoromethylphenyl)piperazine,1-(3-Trifluoromethylphenyl)piperazine (also known as TFMPP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1,Acetylfentanyl,Acetylfentanyl (also known as desmethyl fentanyl),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1AA,Acryloylfentanyl,Acryloylfentanyl (also known as Acrylfentanyl),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,2,Alpha-methyl fentanyl,Alpha-methyl fentanyl,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,3,Alpha-methyl fentanyl acetanilide,Alpha-methyl fentanyl acetanilide,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,6,Beta-hydroxy fentanyl,Beta-hydroxy fentanyl,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,7,Beta-hydroxy-3-methyl fentanyl,Beta-hydroxy-3-methyl fentanyl,no FDA UNII record for any name in the entry
