key,tier,page,licenceNumber,productName,componentAsPublished,candidateName,normalisedName
K1:R533ESO2EC,2,Coal Tar,SIN03248P,PREPARED COAL TAR 5% ET SALICYLIC ACID 2% OINTMENT,COAL TAR PREPARED,COAL TAR PREPARED,coal tar prepared
K1:59XE10C19C,2,Fusidic acid,SIN08922P,BALAD OINTMENT 20 mg/g,SODIUM FUSIDATE,SODIUM FUSIDATE,sodium fusidate
K1:9L75099X6R,2,Sodium Fluoride F-18,SIN14436P,SODIUM FLUORIDE F18 INJECTION 10-200 mCi/ml,sodium fluoride F18,sodium fluoride F18,sodium fluoride f18
K1:D9GM7FH652,1,Pyroglutamylaprotinin,SIN07805P,"TRASYLOL INJECTION 500,000 kiu/50 ml",APROTININ,APROTININ,aprotinin
K1:743QUY4VD8,2,Hyaluronidase (HUMAN RECOMBINANT),SIN10302P,HYALASE POWDER FOR INJECTION 1500 iu/ampoule,HYALURONIDASE (OVINE),HYALURONIDASE,hyaluronidase
K1:4ZUXHGUFHH,2,Tantalum Carbide,SIN05853P,ULTRACARBON TABLET 250 mg,MEDICINAL CHARCOAL,MEDICINAL CHARCOAL,medicinal charcoal
K3:CHEMBL2108741,3,Simeticone,SIN16773P,ALVERSIME SOFT CAPSULES,Simeticone,Simeticone,simeticone
K1:54Z8M50D6Q,2,Carbamoylcholine,SIN04572P,MIOSTAT INTRAOCULAR SOLUTION 0.01%,CARBACHOL,CARBACHOL,carbachol
K1:59XE10C19C,2,Fusidic acid,SIN10706P,FORSUDERM OINTMENT 20 mg/g,SODIUM FUSIDATE,SODIUM FUSIDATE,sodium fusidate
K1:59XE10C19C,2,Fusidic acid,SIN14054P,DISUF OINTMENT 2% W/W,Sodium Fusidate micronized,Sodium Fusidate,sodium fusidate
K1:59XE10C19C,2,Fusidic acid,SIN11689P,FOBANCORT OINTMENT,SODIUM FUSIDATE,SODIUM FUSIDATE,sodium fusidate
K1:4ABT0J945J,2,Thiamine Ion,SIN05447P,IBERET-FOLIC-500 TABLET,(Vitamin Layer) Thiamine Mononitrate,Thiamine Mononitrate,thiamine mononitrate
K1:19F5HK2737,2,Pantothenic Acid,SIN05447P,IBERET-FOLIC-500 TABLET,(Vitamin layer) Calcium Pantothenate,Calcium Pantothenate,calcium pantothenate
K1:R4KO0DY52L,1,Chlorhexidine,SIN13278P,PerioChip,Chlorhexidine digluconate,Chlorhexidine digluconate,chlorhexidine digluconate
K1:59XE10C19C,2,Fusidic acid,SIN11805P,FOBAN OINTMENT 2% w/w,SODIUM FUSIDATE,SODIUM FUSIDATE,sodium fusidate
