licenceNumber,productName,activeIngredients,forensicClassification,reason
SIN07177P,FUCON CAPSULE 10 mg,HYOSCINE N-BUTYLBROMIDE,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN08347P,U O CREAM 10%,CARBONYLDIAMIDE (UREA),General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN11621P,SIMCONE CHEWABLE TABLET 80 mg,SIMETHICONE,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN02382P,MYLOM DROPS 40 mg/0.6 ml,SIMETHICONE,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13967P,BioThrax (Anthrax Vaccine Adsorbed) Supension for Injection 50μg/dose (nominal),Anthrax Antigen Protein,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN05199P,EGODERM CREAM,TUMENOL AMMONIUM,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN07433P,HYOSUN SYRUP 5mg/5 ml,HYOSCINE N-BUTYLBROMIDE,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN03486P,SANKAIJO TABLET,POWDERED ALOE&&POWDERED RHUBARB&&POWDERED SENNA LEAF,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN07796P,FUCON INJECTION 20 mg/ml,HYOSCINE N-BUTYLBROMIDE,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN04390P,DESOMEDINE EYE DROPS 1 mg/ml,HEXAMIDINE DI-ISETHIONATE,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14339P,Hirudoid ® Forte Cream 445 mg/ 100g,Mucopolysaccharide Polysulphate,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN04236P,HIRUDOID GEL 300 mg/100 g,MUCOPOLYSACCHARIDE POLYSULPHATE,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN04421P,HIRUDOID CREAM 0.3 g/100 g,MUCOPOLYSACCHARIDE POLYSULPHATE,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN04022P,PINETARSOL SOLUTION 2.3% w/w,TAR,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16108P,GENTECH MOLYBDENUM (99Mo) / TECHNETIUM (99mTc) STERILE GENERATOR,Sodium pertechnetate (99mTc),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12598P,FLUDEOXYGLUCOSE F-18 INJECTION 5 - 20 mCi/ml,FLUORO-2-DEOXY-D-GLUCOSE,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN03619P,AFRICAN SEA-COCONUT COUGH MIXTURE,GLYCYRRHIZA LIQUID EXTRACT&&IPECACUANHA TINCTURE&&SQUILL LIQUID PRO SYRUP&&TOLU SYRUP,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12512P,Octanate 250IU Powder and Solvent for Solution for Injection,COAGULATION FACTOR VIII (HUMAN),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12513P,Octanate 500IU Powder and Solvent for Solution for Injection,COAGULATION FACTOR VIII (HUMAN),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13378P,Pinetarsol Gel 1.6% w/w,Tar,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15096P,"DENGVAXIA, POWDER AND SOLVENT FOR SUSPENSION FOR INJECTION",CYD Dengue Virus Serotype 1&&CYD Dengue Virus Serotype 2&&CYD Dengue Virus Serotype 3&&CYD Dengue Virus Serotype 4,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16636P,YSP HYOSCINE INJECTION 20MG/ML,Hyoscine N-butylbromide,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16274P,"TECHNESCAN PYP, KIT FOR RADIOPHARMACEUTICAL PREPARATION, 20MG/VIAL",Sodium Pyrophosphate Decahydrate,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12151P,TECHNESCAN HDP FOR INJECTION 3 mg/vial,SODIUM OXIDRONATE,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13226P,Euvein 500,Micronized Flavonoidic Fraction equivalent to: Diosmin and Hesperidin,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN02657P,DEXCOPHAN TABLET 15 mg,DEXTROMETHORPHAN HYDROGENBROMIDE,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09790P,LACTEOL FORT SACHET,CULTURE MEDIUM (NEUTRALIZED AND LYOPHILIZED)&&LACTOBACILLUS LB (LYOPHILIZED MICROBIAL BODIES),General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09944P,TUBERCULIN PPD RT 23 AJV,TUBERCULIN PPD RT 23,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14108P,IXIARO Suspension for Injection 0.5ml in pre-filled syringe,JAPANESE ENCEPHALITIS VIRUS STRAIN SA₁₄-14-2 (INACTIVATED),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN11294P,NAABAK EYEDROPS 4.9%,N-ACETYL ASPARTYL GLUTAMIC ACID SODIUM SALT,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN06035P,LIPIODOL ULTRA-FLUIDE INJECTION 38% w/w,ETHYL ESTERS OF IODISED FATTY ACIDS OF POPPY-SEED OIL,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN10494P,Vagisil Medicated Creme,"Lidocaine base, crystalline",General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09864P,MUCON MUCOLYTIC SYRUP 250 mg/5 ml,CARBOXYMETHYLCYSTEINE,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN02058P,Pneumovax 23,PNEUMOCOCCAL POLYSACCHARIDES 23 MOST PREVALENT TYPES,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13492P,ADVATE 250 IU Powder and Solvent for Solution for Injection,rFVIII Octocog Alfa,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13493P,ADVATE 1500 IU Powder and Solvent for Solution for Injection,rFVIII Octocog Alfa,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13496P,ADVATE 1000 IU Powder and Solvent for Solution for Injection,rFVIII Octocog Alfa,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13497P,ADVATE 500 IU Powder and Solvent for Solution for Injection,rFVIII Octocog Alfa,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16565P,HAEMO CAPSULE 100MG,Iron (III) Hydroxide Polymaltose Complex eqv Elemental Iron,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09068P,PROFILNINE FOR INJECTION 500 iu/5 ml,FACTOR IX,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09048P,PROFILNINE FOR INJECTION 1000 iu/10 ml,FACTOR IX,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09049P,PROFILNINE FOR INJECTION 1500 iu/10 ml,FACTOR IX,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14652P,HEPATECT CP SOLUTION FOR INFUSION 50 IU/ML,Human Hepatitis B Immunoglobulin in 50mg/ml human plasma protein (IgG ≥ 96%),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN07876P,VITAMIN B12 INJECTION 1000 mcg/ml,CYANOCOBALAMIN,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15801P,PANVAX® PANDEMIC INFLUENZA VACCINE (ADJUVANTED) 10ML SUSPENSION FOR INJECTION VIAL,"Pandemic Influenza Virus Type A, inactivated and disrupted",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
