source_record,normalised_name,unii,inchikey,candidate_pages,candidate_count
frdb-compound:112:BLEOMYCIN,bleomycin,,,K1:40S1VHN69B,1
frdb-compound:114:CYCLOPHOSPHAMIDE,cyclophosphamide,8N3DW7272P,PWOQRKCAHTVFLB-UHFFFAOYSA-N,K1:6UXW23996M|K1:ER09126G7A,2
frdb-compound:270:METHAPYRILENE FUMARATE,methapyrilene,KJ5I25TXYL,OLGIEIJNOQGBSS-VQYXCCSOSA-N,K1:A01LX40298,1
frdb-compound:332:CALCIUM MANDELATE,calcium,29CS07FZII,GCXSYHGQGJCRRW-UHFFFAOYSA-L,K1:2URQ2N32W3|K1:5792C4VMFZ|K1:7UJQ5OPE7D|K1:86117BWO7P|K1:8EKI9QEE2H|K1:97Z1WI3NDX|K1:9E7R5L6H31|K1:9G34HU7RV0|K1:C7X2M0VVNH|K1:E934B3V59H,30
frdb-compound:354:SULFADIMETHOXINE SODIUM,sulfadimethoxine,49DG2B481W,DQDZQHMCPDUUPC-UHFFFAOYSA-N,K1:30CPC5LDEX,1
frdb-compound:474:QUINACRINE HYDROCHLORIDE,quinacrine,G6242H2NAA,RZFNKJVCPDLQQA-UHFFFAOYSA-N,K1:H0C805XYDE,1
frdb-compound:577:CARBAZOCHROME SALICYLATE,carbazochrome,3H4OD401LF,CELKBRMLNUNCIP-AXAVVADUSA-M,K1:81F061RQS4,1
frdb-compound:592:CLOBETASONE,clobetasone,LT69WY1J6D,XXIFVOHLGBURIG-OZCCCYNHSA-N,K2:FBRAWBYQGRLCEK-RJFLZJKCSA-N,1
frdb-compound:600:DIAMTHAZOLE DIHYDROCHLORIDE,diamthazole,3LF09TBB5W,FZNXAQMQVKBXDR-UHFFFAOYSA-N,K1:2KL01R8ZV1,1
frdb-compound:656:MELENGESTROL,melengestrol,BX98J4T6JU,OKHAOBQKCCIRLO-IBVJIVQJSA-N,K1:4W5HDS3936,1
frdb-compound:723:SITAFLOXACIN,sitafloxacin,9TD681796G,MPORYQCGWFQFLA-ONPDANIMSA-N,K1:3GJC60U4Q8,1
frdb-compound:857:ROSIN,rosin,88S87KL877,,K1:SVS3GU8AY8,1
frdb-compound:868:ACONITIC ACID,aconiticacid,93371T1BXP,,K1:7DB37960CW,1
frdb-compound:893:N-ACETYLMANNOSAMINE,acetylmannosamine,FPD5WTK4TS,KVWIBLJBIFTKIZ-XNJRRJNCSA-N,K1:A1O5EUP7KS|K1:X80PR7P73R,2
frdb-compound:1016:THIAMPHENICOL AMINOACETATE,thiamphenicolaminoacetate,W5H94CY6V6,AMGKHLVPQHMHGQ-ZYHUDNBSSA-N,K1:FLQ7571NPM,1
frdb-compound:1037:NANDROLONE CYCLOHEXYLPROPIONATE,nandrolonecyclohexylpropionate,K4NE48GG1Y,TXLCJMHILCSZJG-QNTYDACNSA-N,K2:REACBNMPQDINOF-YBBIQVIJSA-N,1
frdb-compound:1086:DOCETAXEL,docetaxel,15H5577CQD,XCDIRYDKECHIPE-QHEQPUDQSA-N,K1:699121PHCA|K1:X9N27M888C,2
frdb-compound:1088:LEVOMEFOLATE CALCIUM,levomefolate,A9R10K3F2F,VWBBRFHSPXRJQD-QNTKWALQSA-L,K1:8S95DH25XC,1
frdb-compound:1164:SIBUTRAMINE HYDROCHLORIDE,sibutramine,OGM0YHD1WF,KFNNPQDSPLWLCX-UHFFFAOYSA-N,K1:2K5E83H3LL|K1:WV5EC51866,2
frdb-compound:1244:CLOCORTOLONE,clocortolone,N8ZUB7XE0H,YMTMADLUXIRMGX-RFPWEZLHSA-N,K1:85061HTR8T|K1:QBL8IZH14X,2
frdb-compound:1281:DROPERIDOL LACTATE,droperidol,09NO5N37E0,CUYSTLHETVVORS-UHFFFAOYSA-N,K1:O9U0F09D5X,1
frdb-compound:1356:LOTEPREDNOL,loteprednol,Z8CBU6KR16,YPZVAYHNBBHPTO-MXRBDKCISA-N,K1:I3T12NR296|K1:YEH1EZ96K6,2
frdb-compound:1527:DIFENOXIN HYDROCHLORIDE,difenoxin,VQZ63K01IW,VMIZTXDGZPTKIK-UHFFFAOYSA-N,K1:3ZZ5BJ9F2Q,1
frdb-compound:1600:GLUTETHIMIDE MONOHYDRATE,glutethimide,8C221G270E,UIIRXSRRFRGPPE-UHFFFAOYSA-N,K1:C8I4BVN78E|K1:IN5W64L102,2
frdb-compound:1624:NORELGESTROMIN,norelgestromin,R0TAY3X631,,K1:UM2XKY25DH,1
frdb-compound:1628:OXIGLUTATIONE DISODIUM,oxiglutatione,GY131TX61G,DRFILBXQKYDTFW-JIWRMXRASA-L,K1:ULW86O013H,1
frdb-compound:1676:OMACETAXINE,omacetaxine,84MI6OYN4Z,YMNCVRSYJBNGLD-KURKYZTESA-N,K1:6FG8041S5B,1
frdb-compound:1730:LEVAMFETAMINE SULFATE,levamfetamine,Q0108737R7,PYHRZPFZZDCOPH-GGTCEIRZSA-N,K1:R87US8P740,1
frdb-compound:1818:MITIGLINIDE,mitiglinide,,,K1:D86I0XLB13,1
frdb-compound:1861:FENFLURAMINE HYDROCHLORIDE,fenfluramine,3KC089243P,ZXKXJHAOUFHNAS-UHFFFAOYSA-N,K1:2DS058H2CF|K1:953A94Y45B|K1:E35R3G56OV,3
frdb-compound:1924:QUERCETIN DIHYDRATE,quercetin,53B03V78A6,GMGIWEZSKCNYSW-UHFFFAOYSA-N,K1:9IKM0I5T1E,1
frdb-compound:2003:TRIMETHOBENZAMIDE HYDROCHLORIDE,trimethobenzamide,WDQ5P1SX7Q,WIIZEEPFHXAUND-UHFFFAOYSA-N,K1:W2X096QY97,1
frdb-compound:2047:BORNELONE,bornelone,LU86E5P72A,,K2:WDMFHQNUSVLQMS-XFYQWYMDSA-N,1
frdb-compound:2175:PIPRADROL HYDROCHLORIDE,pipradrol,F6E46VR9Y2,KIFIYUHFHGSNHL-UHFFFAOYSA-N,K1:S6I030E0DA,1
frdb-compound:2198:CEFOSELIS SULFATE,cefoselis,6EY42207VS,LZOLCSVRFKCSEM-ZQCAECPKSA-N,K1:0B50MLU3H1,1
frdb-compound:2234:BUPROPION MALEATE,bupropion,26NV8NXO4A,NJJFBMJGOYCQCX-BTJKTKAUSA-N,K1:01ZG3TPX31,1
frdb-compound:2239:PHENYLPROPANOLAMINE BITARTRATE,phenylpropanolamine,B48FTC099P,NCHHVLCKEUNWNJ-IOJVUJSNSA-N,K1:33RU150WUN|K1:57B9YG5Y1E|K1:7875H6443P|K2:DLNKOYKMWOXYQA-UHFFFAOYSA-N,4
frdb-compound:2274:CHLOROQUINE SULFATE,chloroquine,OE48649K6N,OJPWHUOVKVKBQB-UHFFFAOYSA-N,K1:34P96M7C4K|K1:4QWG6N8QKH|K1:886U3H6UFF,3
frdb-compound:2304:PENTOBARBITAL CALCIUM,pentobarbital,66V4W08X7J,VBJLHIJEIVBIHF-UHFFFAOYSA-L,K1:I4744080IR|K1:U7D0E1VOAM,2
frdb-compound:2320:DICYCLOMINE HYDROCHLORIDE,dicyclomine,CQ903KQA31,GUBNMFJOJGDCEL-UHFFFAOYSA-N,K1:4KV4X8IF6V,1
frdb-compound:2358:ALOSETRON HYDROCHLORIDE,alosetron,2F5R1A46YW,FNYQZOVOVDSGJH-UHFFFAOYSA-N,K1:13Z9HTH115,1
frdb-compound:2370:BROMFENAC SODIUM,bromfenac,8ECV571Y37,PPOSVVJOVKVBPW-UHFFFAOYSA-L,K1:864P0921DW,1
frdb-compound:2372:CARBINOXAMINE FUMARATE,carbinoxamine,1E9GVB07FW,GVNWHCVWDRNXAZ-WLHGVMLRSA-N,K1:40R0UN508P|K1:982A7M02H5,2
frdb-compound:2387:CISAPRIDE MONOHYDRATE,cisapride,VZV0A4I38W,QBYYXIDJOFZORM-LBPAWUGGSA-N;QBYYXIDJOFZORM-IKGOIYPNSA-N,HOLD:existing:cisapride|K1:UVL329170W|K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,3
frdb-compound:2504:TOCAINIDE HYDROCHLORIDE,tocainide,2K7I38CKN5,AMZACPWEJDQXGW-UHFFFAOYSA-N,K1:27DXO59SAN,1
frdb-compound:2570:PARGYLINE HYDROCHLORIDE,pargyline,W70V6I2OMY,BCXCABRDBBWWGY-UHFFFAOYSA-N,K1:9MV14S8G3E,1
frdb-compound:2602:ROSE BENGAL SODIUM,rosebengal,956575SN5L,UWBXIFCTIZXXLS-UHFFFAOYSA-L,K1:1ZPG1ELY14|K1:72HML2UK6J|K1:BIU7Q7W2SH|K1:S3FKL8RY1D,4
frdb-compound:3334:IPRONIAZID PHOSPHATE,iproniazid,8DE00V62TV,YPDVTKJXVHYWFY-UHFFFAOYSA-N,K1:D892HFI3XA,1
frdb-compound:4009:BUNAMIODYL SODIUM,bunamiodyl,NTI7T2IEIE,JNUQEHHAXSHUMD-UHFFFAOYSA-M,K2:CWRBDUIQDIHWJZ-SOFGYWHQSA-N,1
frdb-compound:5358:METHOXYPROMAZINE MALEATE,methoxypromazine,OR0RPY2Y2V,ZWLMLVIUWRUDBD-BTJKTKAUSA-N,K1:A6F645Q9HQ,1
